SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
41000001,8.20,4.75,4,6.75,7.25,4.25,-1,-1,-1
41000002,9.40,5.75,5,7.50,8,3,-1,-1,-1
41000003,2.20,2.50,-1,-1,-1,-1,2.75,4,-1
41000004,2.60,1.50,2.40,-1,-1,-1,2.25,2.75,4.75
41000005,3.40,3.25,3.40,3.50,6.25,1.50,-1,-1,-1
41000006,3,4,-1,-1,-1,-1,2.50,4,-1
41000007,2.40,3,3.40,-1,-1,-1,4.25,3.25,3.25
41000008,4.60,5,2.40,-1,-1,-1,6,6.25,5.75
41000009,2.80,1.25,2.40,-1,-1,-1,4.75,3.25,3.50
41000010,4.20,5.75,2.20,-1,-1,-1,3.25,5,7.25
41000011,1.60,4.25,-1,-1,-1,-1,3.25,4.25,-1
41000012,4.80,4.75,2,-1,-1,-1,3.25,3.25,6.25
41000013,7.40,6.75,7,-1,-1,-1,8,7,8.50
41000014,4.60,5,-1,-1,-1,-1,6.75,-1,-1
41000015,2.40,6,3.20,-1,-1,-1,3.75,5.25,5.25
41000016,2,4.50,2.20,-1,-1,-1,4.25,4.50,5.50
41000017,2.40,6.25,3.20,-1,-1,-1,3.50,3.50,6.25
41000018,-1,7.75,-1,-1,-1,-1,3.75,7.25,-1
41000019,2.60,3.50,3.40,-1,-1,-1,4.75,5,6.50
41000020,2.80,4.75,4,-1,-1,-1,3,5.50,6.75
41000021,3.20,4.50,2.20,-1,-1,-1,3,4.75,6.50
41000022,3.40,3.50,2.20,-1,-1,-1,4.75,4.50,5.25
41000023,2.20,3.75,-1,-1,-1,-1,2.50,5.50,-1
41000024,1.80,2,2.80,-1,-1,-1,2.50,3.50,4
41000025,2.40,2,2.20,-1,-1,-1,4,2,5.75
41000026,5.20,2.50,2.20,-1,-1,-1,4,5.75,6
41000027,7.80,5.25,3.40,6.25,6.50,2,-1,-1,-1
41000028,3.20,3.25,2.80,-1,-1,-1,5,6,5.75
41000029,2.60,6.25,3.60,-1,-1,-1,4,4.25,7.25
41000030,2.20,3.50,-1,-1,-1,-1,2.75,4,-1
41000031,6.40,8,6.80,4.50,5.25,4,-1,-1,-1
41000032,1.80,6,2.60,-1,-1,-1,3.25,4.75,5
41000033,6,6,3.20,4.50,3.50,4.25,-1,-1,-1
41000034,5.80,5.25,3.40,2.50,2.25,3.25,-1,-1,-1
41000035,3.40,5,2.40,-1,-1,-1,2.50,4.50,5.50
41000036,2.20,5.50,2.80,-1,-1,-1,5.25,5.50,7.25
41000037,7.60,7.25,-1,-1,-1,-1,5.75,-1,-1
41000038,5.20,7.25,2.80,-1,-1,-1,5.25,6.75,7.25
41000039,2.80,1.75,2.20,-1,-1,-1,2.25,3.25,5
41000040,3.40,3.25,2.40,-1,-1,-1,2,6,7
41000041,3.20,6.50,3.20,-1,-1,-1,4.75,5.25,7.50
41000042,3.80,6.25,3.40,-1,-1,-1,6.50,7.75,8.25
41000043,3.60,2.50,2.40,-1,-1,-1,2.75,3.50,4
41000044,4,5,3,-1,-1,-1,4.50,5.75,4.75
41000045,3.20,7,2.80,-1,-1,-1,3.50,5.50,7
41000046,5.60,6.50,4.20,-1,-1,-1,5.25,6,6.50
41000047,4,4.25,3.80,-1,-1,-1,2.50,3.75,6.75
41000048,2.80,3,2.40,-1,-1,-1,3,4.25,4.75
41000049,5,5.75,3,-1,-1,-1,6.50,5.50,7.75
41000050,5.60,5.50,2,5,5.25,3,-1,-1,-1
41000051,7,5.75,5.60,5.75,6.75,5.25,-1,-1,-1
41000052,5.40,3.25,2.80,-1,-1,-1,3.25,3.50,5.25
41000053,2.40,3.25,2.20,-1,-1,-1,3.25,6,6
41000054,2,2,-1,-1,-1,-1,2,2.75,-1
41000055,6.20,6.25,4.60,5.75,5.75,4.25,-1,-1,-1
41000056,4.80,5,2.20,-1,-1,-1,5.75,5.25,7
41000057,2.60,3,2.60,-1,-1,-1,2.50,4.50,4.75
41000058,3.40,2.75,-1,-1,-1,-1,3.50,5.50,-1
41000059,5,5.50,5.40,-1,-1,-1,3.75,5.50,6.25
41000060,2,4.75,2.60,-1,-1,-1,4.50,7,8
41000061,2.20,3,-1,-1,-1,-1,1.50,4.75,-1
41000062,1.80,2,-1,-1,-1,-1,2.50,1.50,-1
41000063,3.20,4.25,4,-1,-1,-1,4.50,4.75,7.25
41000064,8.60,5.50,5.60,8.25,7,3.25,-1,-1,-1
41000065,4.40,5,3.20,-1,-1,-1,6.25,5.50,6.75
41000066,6.40,3.25,5.40,-1,-1,-1,4,6.50,7.75
41000067,2.40,5,1.80,-1,-1,-1,3.75,2.75,4
41000068,1.60,2.50,-1,-1,-1,-1,3.50,6,-1
41000069,3.40,4,2.40,-1,-1,-1,2.75,4.75,5.75
41000070,2.40,2.50,3.40,-1,-1,-1,3.50,4.75,4
41000071,5.40,5.25,3,-1,-1,-1,5,7,7.75
41000072,2.60,3.50,3,-1,-1,-1,2.75,3.75,3.50
41000073,7,6.50,4.80,6,6,3,-1,-1,-1
