SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
46000001,4,1.50,2.40,3.25,2.75,2.75,2.25,4.25,4.75
46000002,4.60,5,5,-1,-1,-1,6,7,-1
46000003,4.40,5.50,1.80,4.75,2.25,4,4.50,5.25,8.50
46000004,6.80,5,8.80,-1,-1,-1,5.50,5.50,8
46000005,6.60,6.25,8.60,-1,-1,-1,5,6.25,7.50
46000006,5.20,3.25,2.80,4,6.25,5,-1,-1,-1
46000007,4.20,-1,-1,-1,2.75,3,-1,-1,-1
46000008,3.20,4.75,2.80,-1,-1,-1,3.75,4.75,4.75
46000009,6,4.25,2.40,4.75,4,3,-1,-1,-1
46000010,5.60,5,5.20,3.50,5.75,5,-1,-1,-1
46000011,6.80,5,6.20,5.75,4.25,4,-1,-1,-1
46000012,5.40,5.25,3.60,7.75,4.25,5.25,-1,-1,-1
46000013,2.40,2.75,-1,-1,-1,-1,3,-1,-1
46000014,5,5.50,4,5,5.50,4,-1,-1,-1
46000015,8.20,5.25,5.80,-1,-1,-1,4.25,7,8
46000016,2,5,3.20,-1,-1,-1,4.25,4.75,5
46000017,5.80,6,3.20,5.50,4,2.25,-1,-1,-1
46000018,4.60,4,4.40,-1,-1,-1,3.25,7,7.50
46000019,9,6,7.40,7.50,9,5.50,-1,-1,-1
46000020,7.20,5.75,5.60,7.25,6,5.50,-1,-1,-1
46000021,7.80,5,9.60,7.25,5.75,5,-1,-1,-1
46000022,6.80,5.50,7,-1,-1,-1,5.50,6.25,7.75
46000023,5.60,5.75,3.80,2.75,2.75,2.50,3.50,5,6.75
46000024,3.40,7,2.60,-1,-1,-1,6.25,6.25,6
46000025,6.80,5.50,3.60,-1,-1,-1,5.50,7.25,8
46000026,6.40,5.50,5.80,6.75,4,4.75,-1,-1,-1
46000027,8.20,5,9.20,7.75,4.50,5,-1,-1,-1
46000028,5.40,5.75,-1,-1,-1,-1,5.50,-1,-1
46000029,4.60,3.75,2.20,3,2,2.75,-1,-1,-1
46000030,6,6.75,6.80,-1,-1,-1,5,7.75,8.75
46000031,6.20,5.50,6,6,5,4,-1,-1,-1
46000032,7.40,5.25,5.40,5.25,5.50,5.75,-1,-1,-1
46000033,6,5.50,5.40,4.25,4.50,4,2,5,7.25
