SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
49000001,6.80,5.25,3,6.25,4.25,4.75,-1,-1,-1
49000002,3.60,6,3.60,-1,-1,-1,4.25,7.75,9.25
49000003,3.80,2,3.40,4,3.25,4,-1,-1,-1
49000004,4,3.25,3.40,-1,-1,-1,3,5.75,7.50
49000005,3.60,4,4.40,-1,-1,-1,4.75,7.75,8
49000006,4.60,3.50,3,-1,-1,-1,2,5,6.75
49000007,4.20,4.25,2.80,-1,-1,-1,3.75,5.50,7.75
49000008,7,5.50,3.40,5.25,4.25,4.50,-1,-1,-1
49000009,3,4,3,1.50,3.25,3.75,-1,-1,-1
49000010,5,4.50,4.40,5,4.50,4.75,-1,-1,-1
49000011,6.40,4.50,4.80,5.50,4.50,3.75,-1,-1,-1
49000012,7,5.50,4.20,6.75,6,5.25,-1,-1,-1
49000013,6.80,6.25,4.60,5.25,4.50,4,-1,-1,-1
49000014,5.20,4.75,2.60,-1,-1,-1,4,6.50,6.50
49000015,6.20,3,7,7.25,5,3.25,-1,-1,-1
49000016,6.40,6.50,7.80,5.50,5.25,4.50,-1,-1,-1
49000017,7,6.75,4.40,6.75,5.75,4.75,-1,-1,-1
49000018,5,4.50,3.20,5.25,4.50,4.50,-1,-1,-1
49000019,5.20,3.75,2.20,4.25,4.25,5.25,-1,-1,-1
49000020,6.20,4.25,3.80,6,6.75,5.50,-1,-1,-1
49000021,6,5.50,2.20,-1,-1,-1,4,4.75,5.50
49000022,6.20,6.25,4.40,-1,-1,-1,5.75,7.75,7.75
49000023,5,5.75,4.20,4.75,4.25,3,-1,-1,-1
49000024,5,6.75,4.80,-1,-1,-1,8.25,7.50,8
49000025,6,4.50,3,5.75,6.25,4.75,-1,-1,-1
49000026,2.80,4.75,3.40,-1,-1,-1,3.25,6,7.75
49000027,5.80,7,5.80,5.75,4.75,3.25,-1,-1,-1
49000028,3.60,5.50,4.40,-1,-1,-1,3.25,5.75,8.25
49000029,4.40,4,2.80,-1,-1,-1,4.25,6.25,7
49000030,4,3.75,-1,-1,-1,-1,5.75,6.50,-1
49000031,5,5.25,3.60,-1,-1,-1,4.50,5.25,6.75
49000032,6.40,5,3.40,-1,-1,-1,4.25,6.50,8.25
49000033,5.60,5.50,3.80,5.25,5.25,5.25,-1,-1,-1
49000034,3.20,5,3,-1,-1,-1,4.75,6.50,8.50
49000035,5.80,5,2,6,3.50,3.75,-1,-1,-1
49000036,4.60,5.25,2.60,-1,-1,-1,3.50,3.50,6.25
49000037,3.80,5.25,3.20,-1,-1,-1,4.25,7.25,8.25
49000038,2.20,3,1.80,-1,-1,-1,3.75,6.75,6.75
49000039,8.60,4.50,8,8.50,5.25,6,-1,-1,-1
49000040,6.80,5.50,5,4.50,6.25,5.50,-1,-1,-1
49000041,4,4,3.60,-1,-1,-1,3.50,6.25,8.50
49000042,4.80,4.50,2.80,-1,-1,-1,3.25,4,5.25
49000043,5.80,4.50,3.60,-1,-1,-1,5,6.50,7.25
49000044,6,4.75,4.40,-1,-1,-1,3.25,6.50,7.25
49000045,5.60,5.50,3.20,5.50,5.25,4.75,-1,-1,-1
49000046,5,4.50,4.20,-1,-1,-1,6,6,8.50
49000047,4.60,4.75,2.80,-1,-1,-1,3.75,6.25,8.50
49000048,6.20,5.25,5.40,-1,-1,-1,5.75,7.50,9.25
49000049,5.20,5.75,4.60,4.75,4.75,2.75,-1,-1,-1
49000050,6.60,6,3.40,5,5.50,5.50,-1,-1,-1
49000051,4.40,4.50,1.40,-1,-1,-1,5,7.75,7
49000052,3.40,4.25,3.20,-1,-1,-1,1.50,4.25,4.50
49000053,5.60,3.50,4.60,5.50,5.25,4.50,-1,-1,-1
49000054,5.60,5.50,3.40,-1,-1,-1,3.25,4.75,5
49000055,5.80,5.25,2,-1,-1,-1,4.75,6.75,9
49000056,4.40,6,3.20,3,4.50,2.50,-1,-1,-1
49000057,4,5,5.20,-1,-1,-1,3.50,5.50,8.50
49000058,3.20,5.25,2.60,-1,-1,-1,2.75,4.50,7.50
49000059,3,4.50,1.60,3.25,2.25,2.75,-1,-1,-1
49000060,4.40,4.75,4,4,4.25,4.25,-1,-1,-1
49000061,6.20,5.50,3,-1,-1,-1,3.50,6,7.25
49000062,3.60,3.25,3,-1,-1,-1,5.25,5,7.25
49000063,6.60,5.75,5,-1,-1,-1,6.50,6.50,9
49000064,6.40,4,2.80,-1,-1,-1,4,7.50,7.75
49000065,4.20,4,3.40,2.50,3.75,3.75,-1,-1,-1
49000066,3.40,3.75,3.60,-1,-1,-1,2.75,4.75,5.75
49000067,6.60,6,3.80,6.50,7.25,4.75,-1,-1,-1
49000068,6.40,5.25,3.80,-1,-1,-1,3.50,6,8
49000069,7.40,6,4,6,6,5.50,-1,-1,-1
49000070,6.20,5.50,5.20,5.25,5.50,4.75,-1,-1,-1
49000071,6.60,5.50,4,-1,-1,-1,4.50,6.25,7.50
49000072,4.60,4,2.40,-1,-1,-1,5.25,5.75,7.75
49000073,5.40,4.75,2.60,-1,-1,-1,4.25,6.75,7.75
49000074,4,4.75,-1,-1,-1,-1,3,4.75,-1
49000075,5.20,5,7.20,-1,-1,-1,4.75,6.75,9.75
49000076,3.40,5,3.20,-1,-1,-1,6,7.75,8.50
49000077,5,5,7,5.50,5,4.25,-1,-1,-1
49000078,4.20,4,2.60,-1,-1,-1,3.25,7.25,5.75
49000079,4.40,5.50,3.20,-1,-1,-1,5.25,6,6
49000080,6,5.25,3.20,-1,-1,-1,5,5.75,7.50
49000081,2.60,5,2.80,-1,-1,-1,3.25,5.75,7.25
49000082,5.20,5,4.40,5,4.50,5.25,-1,-1,-1
49000083,3.20,4,1.80,-1,-1,-1,2,5.75,6.25
49000084,6,5.50,4.60,5,6.50,4.25,-1,-1,-1
49000085,7,6.25,4,-1,-1,-1,3.50,6.75,8
49000086,6.60,4.25,5.80,5.75,5,4.25,-1,-1,-1
49000087,5.80,4.75,6,5.75,3.25,5.50,-1,-1,-1
49000088,4.60,4.25,2.40,3,3.25,4.50,-1,-1,-1
49000089,6.20,6.25,5.40,5.50,6,4.75,-1,-1,-1
49000090,6.80,6.25,3,5.50,5.50,4.25,-1,-1,-1
49000091,3.60,5.25,2.80,-1,-1,-1,4,5,5.75
49000092,7.60,5.25,5.20,6.25,5.25,6.25,-1,-1,-1
49000093,4.80,4.50,2.20,3.25,3.25,3.50,-1,-1,-1
49000094,4,5.25,4.20,-1,-1,-1,2.25,6.25,6.25
49000095,4.80,5,4,-1,-1,-1,3.50,7.25,6.25
49000096,7.40,5.25,2.40,-1,-1,-1,4.25,7,8.25
49000097,4.40,3.25,2,-1,-1,-1,2.75,5.75,6.25
49000098,6.40,4.25,2.20,5,3.75,5,-1,-1,-1
49000099,3.20,5.25,2.60,-1,-1,-1,2.75,4.25,6.50
49000100,5.40,5.25,3.80,-1,-1,-1,6.25,7.25,7.75
49000101,5,4.25,3.20,-1,-1,-1,4.25,6.50,8.25
49000102,4.60,6,3.80,-1,-1,-1,6,5,8
49000103,5.40,5.75,4.80,4.75,4.25,5,-1,-1,-1
49000104,7.60,5.25,5.60,7.50,5.75,5.50,-1,-1,-1
49000105,2.20,5.17,4,-1,-1,-1,3.75,5,6.75
49000106,6,3.25,3.60,6,3.50,3.75,-1,-1,-1
49000107,6.40,5.50,4.20,-1,-1,-1,5.50,7,7.50
49000108,5,4.75,5.20,4.50,5.50,3.75,-1,-1,-1
49000109,7.40,5.25,5.40,7,5.75,4.50,-1,-1,-1
49000110,3.20,4.50,3.60,-1,-1,-1,2.75,5.25,5
49000111,6.60,5.25,4.60,6,5.75,5.25,-1,-1,-1
49000112,6.60,6,2.80,-1,-1,-1,6,7.75,8.25
49000113,4,4,3,3,3.75,3.75,-1,-1,-1
49000114,5.20,5.75,5.20,-1,-1,-1,6.50,7.75,8.75
49000115,4.40,5,2.40,-1,-1,-1,3.50,5.50,8.50
