SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
51000001,2.20,5.75,-1,-1,-1,-1,3.25,-1,-1
51000002,5.20,6.75,5.20,-1,-1,-1,4.75,6.50,8
51000003,7.20,6.75,4.40,7.50,5.75,3,-1,-1,-1
51000004,2.20,3.75,-1,-1,-1,-1,2.75,4.25,-1
51000005,5.20,4.75,-1,-1,-1,-1,4,4.25,5.75
51000006,6,4.75,2.80,3.75,2.75,2.75,-1,-1,-1
51000007,5.60,4.50,2.20,5.50,3.50,3.75,-1,-1,-1
51000008,7.40,5,8.80,9,4.25,4.25,-1,-1,-1
51000009,6.40,7,6,-1,-1,-1,4.25,5.75,7.50
51000010,6.60,7,5.20,-1,-1,-1,3.25,7.50,8.50
51000011,5,6.50,8.80,-1,-1,-1,5.25,6.25,8.75
51000012,5.40,7,6.20,-1,-1,-1,3,6.75,7.75
51000013,5.80,6,4.40,-1,-1,-1,7.75,8.25,7.50
51000014,7,6.25,3.60,7,5,4.75,-1,-1,-1
51000015,7.60,5.67,7.60,7.25,3.75,4.25,-1,-1,-1
51000016,5.40,6.67,4.80,3,4.50,3.50,-1,-1,-1
51000017,6.80,6.25,4.40,6,6,4.75,-1,-1,-1
51000018,7.40,9,4.80,-1,-1,-1,7,7.25,9
51000019,7.80,7.25,8.80,8,6.75,6.25,-1,-1,-1
51000020,5.80,5,-1,-1,-1,-1,5,-1,-1
51000021,4.40,4.50,-1,-1,-1,-1,2.25,4.75,5
51000022,6.80,9,5.60,-1,-1,-1,6.75,6.75,7.75
51000023,5.20,5.75,-1,-1,-1,-1,3.50,6.25,-1
51000024,6.80,6.75,7.20,-1,-1,-1,4,6.25,6
51000025,5,6.50,5,-1,-1,-1,5.50,6,7.25
51000026,7.60,5.75,3.40,7.25,6.50,4.50,-1,-1,-1
51000027,7.60,7.25,7.80,-1,-1,-1,6.75,7.75,8
51000028,5.20,6.67,5.20,-1,-1,-1,3.50,5.25,7.50
51000029,8.20,6.83,6.60,6.75,6.50,4.50,-1,-1,-1
51000030,5.60,6.17,4,-1,-1,-1,4.75,6.75,7.25
51000031,7.40,6.25,6.60,6.75,4.75,3,-1,-1,-1
51000032,8.60,6.17,8,8.25,4.50,6,-1,-1,-1
51000033,5.80,6.50,6.60,-1,-1,-1,6.25,6.75,8.75
51000034,8.40,7,6.60,-1,-1,-1,7,7.50,8.75
51000035,3.40,3.75,-1,-1,-1,-1,3.75,-1,-1
51000036,6.20,7.50,7.80,-1,-1,-1,5.25,7.75,7.25
51000037,7,5.50,9.40,-1,-1,-1,4.25,7.25,6.50
51000038,6,6.33,4.80,6,3.25,4,-1,-1,-1
51000039,6.40,6.50,5,-1,-1,-1,4.75,7,8
51000040,7.40,6.50,5.40,6.75,6.75,3.75,-1,-1,-1
51000041,8.20,6.75,7.80,5,7.25,7.50,-1,-1,-1
51000042,-1,4.25,-1,-1,-1,-1,3.25,7.50,-1
51000043,3,3.25,-1,-1,-1,-1,3,7,-1
51000044,5.60,7,7.40,-1,-1,-1,5.50,7.50,7.75
51000045,4,6.75,5.60,-1,-1,-1,5.75,7,7.25
51000046,6.80,7.50,7.20,-1,-1,-1,4,6.50,8
51000047,7.20,5.75,5.20,3.50,6.50,6,-1,-1,-1
51000048,7.40,6,4.20,8,6,5.75,-1,-1,-1
51000049,6,6.25,5,-1,-1,-1,4,6,7
51000050,7.80,5.25,6.20,6.25,5.75,4.75,-1,-1,-1
51000051,7.80,6,5.20,4.25,7,5,-1,-1,-1
51000052,5.40,6,4.60,-1,-1,-1,2.50,6,7.25
51000053,4.60,5,-1,-1,-1,-1,3.75,7.50,5.25
51000054,6.20,7.25,6.60,-1,-1,-1,8,7.50,7.25
51000055,7.40,6.50,7.40,-1,-1,-1,5.75,7,7.50
51000056,4.60,7.25,5.60,-1,-1,-1,7.50,8.50,9
51000057,7.60,6.25,6.40,-1,-1,-1,4.25,6.25,6.75
51000058,4.80,-1,-1,-1,3,5,-1,-1,-1
51000059,4.20,4.67,-1,-1,-1,-1,3.50,8,7
51000060,6.60,7.50,6.60,-1,-1,-1,4.50,6.50,8
51000061,4.40,4,4.80,-1,-1,-1,2.50,6.50,7.50
51000062,5.80,7,4.20,5.50,5.75,2.50,-1,-1,-1
51000063,6.60,7.75,6.60,-1,-1,-1,4.75,6,8.50
51000064,5.40,5.25,6,-1,-1,-1,3.75,5.50,7.50
51000065,5.40,6.50,4.60,3.25,3.50,3.75,-1,-1,-1
51000066,7.80,5,5.40,7,7.75,4,-1,-1,-1
51000067,7,6.17,3.60,5.25,6.75,3.25,-1,-1,-1
51000068,6.80,-1,-1,3.50,3.75,-1,-1,-1,-1
51000069,6.20,4.75,4.80,5.50,3,3.75,-1,-1,-1
51000070,5.40,4,4,-1,-1,-1,3.75,7,7.50
51000071,5.40,7,-1,-1,-1,-1,7.50,-1,-1
51000072,7,5,3.80,-1,-1,-1,4.25,6.25,8
51000073,6.20,6.50,5.20,-1,-1,-1,5.25,6.75,7.50
51000074,7.20,6.75,6.40,7.50,3.75,2.50,-1,-1,-1
51000075,7.20,8,5.40,4.75,7,7,-1,-1,-1
51000076,4.60,7.50,6.20,-1,-1,-1,6,6.50,9
51000077,2.20,5.75,2.60,-1,-1,-1,2.50,4.25,6.50
51000078,7.60,7.25,7.60,6,3.75,4.25,-1,-1,-1
51000079,8.20,6,8,5.75,4.50,4.75,-1,-1,-1
51000080,6.80,7.50,6.80,-1,-1,-1,4,6.25,8.75
51000081,7.60,7.25,6.20,6.75,3.50,3,-1,-1,-1
51000082,7.20,5.50,6.60,5.75,4.50,4.75,-1,-1,-1
51000083,7.80,9,7.40,-1,-1,-1,5.50,6.75,7.50
51000084,2,2.75,1.60,-1,-1,-1,2.75,4.25,4.75
51000085,4.80,5,2.40,-1,-1,-1,5.25,6.50,8.75
51000086,5.60,5.50,4.20,6,6,5,-1,-1,-1
51000087,6.80,5,8.80,6,6.50,4.50,-1,-1,-1
51000088,6,7,6,-1,-1,-1,-1,-1,-1
51000089,5.80,4.25,3.20,-1,-1,-1,4,6.75,8.25
51000090,7.60,6.17,4.60,4,6.75,7,-1,-1,-1
51000091,5.60,3.50,5,3.25,4.75,3.50,-1,-1,-1
51000092,5,4.75,1.60,-1,-1,-1,3.50,5.25,6.25
51000093,5.80,-1,-1,-1,5.75,6.25,-1,-1,-1
51000094,3.80,5,2.80,-1,-1,-1,2.50,4.75,6.75
51000095,7.60,5.50,8.80,-1,-1,-1,5.75,7.75,7.50
51000096,8.40,7.25,8.40,7.25,5,6,-1,-1,-1
51000097,6.40,6.75,6.40,-1,-1,-1,4.50,6,8
51000098,6.40,5.25,3.80,7.50,4,4.75,-1,-1,-1
51000099,8.40,5.25,3.80,7.75,6.75,4.25,-1,-1,-1
51000100,6.20,5.75,4.20,7,6.25,4.75,-1,-1,-1
51000101,3.40,4,-1,-1,-1,-1,2.75,5.50,-1
51000102,5.60,6.25,6.40,-1,-1,-1,5.25,7.50,7.75
51000103,7,6.75,6,-1,-1,-1,4,7.25,8.25
51000104,-1,5,-1,-1,-1,-1,5.50,6.75,-1
51000105,-1,4.50,-1,-1,-1,-1,3.25,6,-1
51000106,7.40,5.50,4.80,7.75,7.25,5.50,-1,-1,-1
51000107,7.80,5.50,5.60,7.75,7.25,4,-1,-1,-1
51000108,6.40,7.50,7.40,-1,-1,-1,3.75,7,7
51000109,6.80,4.75,7.40,5.50,8,7.75,-1,-1,-1
51000110,6.60,5,4.60,5.50,4.25,4.50,-1,-1,-1
51000111,7.80,6,7.20,7,6,4,-1,-1,-1
51000112,4.60,4,4.40,4.75,4.25,3.25,-1,-1,-1
51000113,5.20,3.75,-1,-1,-1,-1,5,6,-1
51000114,6,5.75,5.20,3.50,4,5,-1,-1,-1
51000115,6.80,7,5,5.75,6.75,4.75,-1,-1,-1
51000116,7.40,7.25,3.40,7.25,6.25,4.50,-1,-1,-1
51000117,5.20,6,5,-1,-1,-1,6,8,9.75
51000118,4.60,5.25,2.60,-1,-1,-1,3.25,5.25,8
51000119,7.60,3.75,5,6.25,3.50,3.75,-1,-1,-1
51000120,2.40,3.50,3.20,-1,-1,-1,2.50,3.75,4
51000121,6.40,3.50,-1,-1,-1,-1,5,5.50,-1
51000122,1.80,2.50,-1,-1,-1,-1,3.25,7.25,-1
51000123,8.20,8,6,3.50,7.50,4.50,-1,-1,-1
51000124,8.40,6.25,7.60,5.50,5.25,4.50,-1,-1,-1
51000125,7.60,6.25,5.80,6.25,7.50,5,-1,-1,-1
51000126,7.40,-1,-1,-1,7.75,7.25,-1,-1,-1
51000127,6.40,4.75,3.60,6.25,4,4.75,-1,-1,-1
51000128,4.80,7,2.40,-1,-1,-1,5.25,7.50,8.75
51000129,4.60,5,5.20,4.75,2.75,3.75,-1,-1,-1
51000130,4.60,4,-1,-1,-1,-1,2.75,6,6
51000131,4,5.75,-1,-1,-1,-1,3.25,6.25,-1
51000132,8.20,7.75,4.40,5,7,7,-1,-1,-1
51000133,5.80,4.25,-1,-1,-1,-1,2.75,5,-1
51000134,7.20,5.25,7.20,7.75,6.75,4.75,-1,-1,-1
51000135,7.20,6.25,8.40,7,3.25,4.75,-1,-1,-1
51000136,7,7.75,7,-1,-1,-1,7.25,7.25,9.25
51000137,4.80,7.75,3.60,-1,-1,-1,5.50,6.75,7.50
51000138,6.20,5.75,7,-1,-1,-1,6.50,6.50,8.50
51000139,5,6,7.20,5.75,4.50,4.75,-1,-1,-1
51000140,7,7.25,6.40,5.25,2.75,3,-1,-1,-1
51000141,7.80,6.50,5.20,5.50,4.75,5,-1,-1,-1
51000142,2,3.50,-1,-1,-1,-1,2,4.50,3.75
51000143,6.80,6.75,6.20,-1,-1,-1,5.75,7.50,8.75
51000144,8.20,6,6,7,6.50,3.75,-1,-1,-1
51000145,6.20,7.25,7.20,-1,-1,-1,5.50,7,8
51000146,7.80,6.75,6.20,7,4.25,5.50,-1,-1,-1
51000147,6,4.50,7.60,4,3.50,5.25,-1,-1,-1
51000148,7,6,4.80,6.50,6.25,3.25,-1,-1,-1
51000149,5.20,3.75,-1,-1,-1,-1,2.75,6.25,-1
51000150,6,5,-1,-1,-1,-1,6.25,7.25,7
51000151,5.80,7.50,8.20,-1,-1,-1,8.75,7.50,9
51000152,2.80,4.25,-1,-1,-1,-1,5.25,5.75,3.75
51000153,7,7.25,4.40,4.50,7.75,8.75,-1,-1,-1
51000154,7.20,5.50,6.20,4.75,5.75,6.75,-1,-1,-1
51000155,6,-1,-1,-1,5.75,6.50,-1,-1,-1
51000156,6.20,6.50,5.60,6,6,6,-1,-1,-1
51000157,4.80,8,7,-1,-1,-1,4.25,6.25,8.25
51000158,7,6.50,6,6.25,4.75,6.25,-1,-1,-1
51000159,6.20,7.25,6.60,-1,-1,-1,7,8.50,9
51000160,5.40,4,-1,-1,-1,-1,4.25,5.75,-1
51000161,7.60,6.75,4.60,7.50,5.25,4,-1,-1,-1
51000162,4.40,4.50,2.80,-1,-1,-1,3.25,6.25,4.75
51000163,7.60,7,8.20,-1,-1,-1,4.75,5.50,8
51000164,5.40,5,4.20,4,3.25,5,-1,-1,-1
51000165,8.20,6.25,6,4.50,7.25,8,-1,-1,-1
51000166,3.40,3.75,-1,-1,-1,-1,3.50,6.25,-1
