SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
52000001,5.60,5.50,4,-1,-1,-1,4.50,5.50,7
52000002,4.80,4.75,5,-1,-1,-1,3.50,4.50,7
52000003,9.20,5.75,8.20,9.50,5.75,4.75,-1,-1,-1
52000004,7.20,6.25,8.20,7.25,5.25,5.75,-1,-1,-1
52000005,6.20,7.75,9.60,-1,-1,-1,5.25,7,7.50
52000006,5.80,4.25,5,4.25,4.25,2.75,-1,-1,-1
52000007,7.20,6,7.80,-1,-1,-1,4.75,6.25,8.50
52000008,7.60,7,8.20,-1,-1,-1,6,6,8
52000009,7.60,7.25,8.20,8.50,7.75,5.75,-1,-1,-1
52000010,6.60,6,7,7,3.75,3.50,-1,-1,-1
52000011,6.20,7.25,6.20,-1,-1,-1,7.25,7,8
52000012,8.20,8.25,9.40,-1,-1,-1,5,9,8
52000013,7.40,8.25,8.60,6.75,6.75,5.50,-1,-1,-1
52000014,5,6.25,6,-1,-1,-1,3.25,5.75,8.25
52000015,8.20,6,6.20,6.75,7.75,8.50,-1,-1,-1
52000016,6.60,6.25,8,-1,-1,-1,5,6.50,8.25
52000017,6.20,6.75,9.40,-1,-1,-1,5.75,6.50,8
52000018,7.80,5.50,8,5,5.75,5.25,-1,-1,-1
52000019,5.60,5.50,10,-1,-1,-1,4.25,7.50,7.75
52000020,9,5,5.40,3,7.25,8.75,-1,-1,-1
52000021,7.20,5.25,4.60,4.50,4,4.25,-1,-1,-1
52000022,6.60,7.75,9,-1,-1,-1,7.25,7,7.75
52000023,7.60,8,7.80,-1,-1,-1,4.25,7,8.25
52000024,7,7.50,9.20,-1,-1,-1,5,6.50,8
52000025,7.20,6.75,9.60,-1,-1,-1,6,7.50,9
52000026,6.60,5.50,6.60,-1,-1,-1,4.50,7,8.50
52000027,4,6,2.40,-1,-1,-1,3.75,5.50,6
52000028,8.80,4.75,8.40,6.50,6.50,7.25,-1,-1,-1
52000029,6.20,7.25,9.60,4.50,6,6,-1,-1,-1
52000031,4.80,5.50,3.20,-1,-1,-1,4,6,7.75
52000032,9,4.50,9.60,6.50,4.25,6,-1,-1,-1
52000033,6.20,6.75,8,-1,-1,-1,5,6,8.75
52000034,7.40,5,5.40,7.50,6.25,4.25,-1,-1,-1
52000035,8.40,6.25,9.80,-1,-1,-1,6.25,8,9.75
52000036,6.80,5.25,6.20,5.50,6,5,-1,-1,-1
52000037,5.60,5,6,-1,-1,-1,4,4.50,8
52000038,5.40,5.50,1.40,-1,-1,-1,5,6.50,7.75
52000039,6.40,6.25,9.60,-1,-1,-1,3.75,6.25,6.25
52000040,8,6.25,7,6.25,7,7.25,-1,-1,-1
52000041,8.60,7,8.60,6.75,6.25,4.75,-1,-1,-1
52000042,9,4.50,5.80,8,8.75,4.75,-1,-1,-1
52000043,8.40,5.50,-1,7.75,6.25,4,-1,-1,-1
52000044,3.40,6,5.40,-1,-1,-1,2.75,8,7.75
52000045,8,6.50,6.60,6.25,6.50,4.25,-1,-1,-1
52000046,6.60,5.25,5.40,3.75,4.25,3.75,-1,-1,-1
52000047,6.40,5.25,3.80,-1,-1,-1,4.50,7.25,8
52000048,6.80,5.75,4.20,4,4.75,3.25,-1,-1,-1
52000049,8.20,7.50,8.60,7.75,4.50,4.75,-1,-1,-1
52000050,7.80,7.25,6.20,5.50,6,3.25,-1,-1,-1
52000051,5,3.75,4.80,-1,-1,-1,2.25,5.50,5.50
52000052,4.20,6.25,4.20,-1,-1,-1,4.25,6.25,9
52000053,6.80,5.25,6.60,4.75,5.25,4.75,-1,-1,-1
52000054,6.80,6.50,5,-1,-1,-1,4.50,7.25,7.25
52000055,6.80,6.50,8,6,4.50,8,-1,-1,-1
52000056,9,5.25,8.60,9,8,4.75,-1,-1,-1
52000057,7.60,5,3.80,5.50,5.75,6.25,-1,-1,-1
52000058,7.60,7,9.60,6,6,5,-1,-1,-1
52000059,5.80,6,5.80,-1,-1,-1,5.50,5.75,6.75
52000060,5.40,5.25,7.80,5.50,5.25,6,-1,-1,-1
52000061,8.40,5,8.60,-1,-1,-1,3.75,5.50,6.50
52000062,7.20,7,9.80,-1,-1,-1,4.75,6.25,8.25
52000063,6.40,6.25,7.80,-1,-1,-1,6.25,7.25,7.75
52000064,6.80,8.50,7.60,-1,-1,-1,6,6.25,7
52000065,7.20,5.50,5.60,6,5.75,5,-1,-1,-1
52000066,5,5,6,-1,-1,-1,2.75,4.75,5.75
52000067,6.60,5.50,5.40,4.75,5.25,5,-1,-1,-1
52000068,6.60,4.50,2,6,5.75,5,-1,-1,-1
52000069,7.60,7.25,7.40,-1,-1,-1,5.25,6,8.75
52000070,7.60,5.50,5.20,6.50,5.75,4.50,-1,-1,-1
52000071,9,6.75,2.60,8,9,5.50,-1,-1,-1
52000072,5.60,4.75,4.20,-1,-1,-1,4.50,4.75,6.75
52000073,8,3.25,3.40,5,6.50,4.50,-1,-1,-1
52000074,4.80,4.75,3.40,-1,-1,-1,2.50,7,7.50
52000075,7.40,6,2.60,7.25,6.25,4.50,-1,-1,-1
52000076,8.80,7,9.20,8.25,4.25,4.75,-1,-1,-1
52000077,7.80,6,5.60,-1,-1,-1,6.50,5.50,9.25
52000078,6.60,5,3.80,5,5.50,3.25,-1,-1,-1
52000079,7.20,5.75,5.40,5.25,7,5.75,-1,-1,-1
52000080,7,6.50,5.40,-1,-1,-1,7,7,8.25
52000081,6.80,6,4.20,6,5.75,4.25,-1,-1,-1
52000082,7.60,7.50,6.20,-1,-1,-1,5.25,7.25,8.75
52000083,7.20,8.75,8.20,-1,-1,-1,6.50,7.75,9
52000084,5.60,6.75,4.40,-1,-1,-1,4.50,6.50,8.75
52000085,7.40,6.50,5,7,6.75,4.50,-1,-1,-1
52000086,8.20,5.25,5,6.50,7.25,5,-1,-1,-1
52000087,7.80,7.50,6.80,6.75,9,7.75,-1,-1,-1
52000088,8,5.75,7.60,4,4.50,5.50,-1,-1,-1
52000089,6.40,5.25,4.60,5.25,6.50,6,-1,-1,-1
52000090,6,6.25,5,6.50,5.50,3.75,-1,-1,-1
52000091,6.80,3.50,6.40,5,2.25,3.50,-1,-1,-1
52000092,6.40,4.75,5,5.25,5.75,3.25,-1,-1,-1
52000093,7.40,4.50,5,6.50,6.50,5.75,-1,-1,-1
52000094,6.20,5.25,5.20,-1,-1,-1,4,5.75,7.75
52000095,8.60,6,-1,8.25,8.25,5.50,-1,-1,-1
52000096,6.80,5.75,4.80,4.75,4.50,4.50,-1,-1,-1
52000097,6.20,4,5.60,-1,-1,-1,5,6.50,7
52000098,6.40,6,5.60,6.50,6.75,5.75,-1,-1,-1
52000099,7.80,5.75,6.80,7.75,8,5.75,-1,-1,-1
52000100,6,5.50,6.40,-1,-1,-1,4.75,6.50,8.50
52000101,6.40,5.50,4.80,6.25,6.50,4.75,-1,-1,-1
52000102,8.80,6.25,-1,5.50,7.75,7,-1,-1,-1
52000103,7.60,5.75,6.40,5.50,4,4.25,-1,-1,-1
52000104,7.20,5.75,8.20,5.50,6.75,4.75,-1,-1,-1
52000105,6.60,6,6.80,-1,-1,-1,6.25,6.50,8.50
52000106,5,6.50,3.80,-1,-1,-1,5.75,6,8
52000107,7.20,6.75,3.80,5,5,5.25,-1,-1,-1
52000108,6.20,6.25,4.80,-1,-1,-1,7.25,6.75,8.50
52000109,8.40,6.75,9.80,-1,-1,-1,5.50,7.25,8
52000110,7.20,6.25,7,4.75,5.75,5.25,-1,-1,-1
52000111,7.40,4.75,7.20,6.50,6.75,4.50,-1,-1,-1
52000112,8.80,5.75,9,8.25,7,3.50,-1,-1,-1
52000113,7.20,4.75,5.60,5.50,6.25,4.25,-1,-1,-1
52000114,7,5.25,6.60,6,5.25,4.25,-1,-1,-1
52000115,8.20,7.25,8,-1,-1,-1,6.50,7.25,9.50
52000116,6.60,5.75,6.40,-1,-1,-1,4.25,6.25,8.50
52000117,8.80,5.75,9.60,7,6.75,5.25,-1,-1,-1
52000118,7,5.50,7.20,5.50,5,4.50,-1,-1,-1
52000119,5.80,3.50,4.60,4.75,4.50,3.25,-1,-1,-1
52000120,9.20,5.50,9.40,8.50,7.75,4.50,-1,-1,-1
52000121,7,6.25,7.40,6,4.25,3,-1,-1,-1
52000122,6,5.75,7.60,4,5,4.75,-1,-1,-1
52000123,6,4.75,7.60,-1,-1,-1,6,6.50,7.50
52000124,7.20,3.25,7.20,-1,-1,-1,4,7.50,8.25
52000125,7.20,5.50,5.20,6.50,5.75,5.75,-1,-1,-1
52000126,7.60,4.75,4.40,4.75,4.75,4.25,-1,-1,-1
52000127,8.80,6.25,5.60,6.75,8,5.25,-1,-1,-1
52000128,8,5.50,6.20,5.50,7.75,8.75,-1,-1,-1
52000129,6.60,5.25,8.40,-1,-1,-1,5.75,7.75,8.50
52000130,6.60,5.75,4.20,-1,-1,-1,5.25,6.50,9
52000131,8.20,7,6.20,6.25,6.75,5,-1,-1,-1
52000132,5.60,6.25,7.80,-1,-1,-1,3.25,5,8.25
52000133,7,7.50,9,-1,-1,-1,4.75,7,6.50
52000134,7.40,7.75,6,-1,-1,-1,6.25,6,8.25
52000135,6.60,6.50,3.60,5.75,6.50,3.50,-1,-1,-1
52000136,8.20,6,5,7.75,7.50,5,-1,-1,-1
52000137,6.60,5.75,5.40,6,5.25,5.75,-1,-1,-1
52000138,7.20,4.75,8.80,7.50,4.50,4.50,-1,-1,-1
52000139,8.40,5.50,8.80,7.75,5.25,4.50,-1,-1,-1
52000140,7,6,3.60,4.75,6.75,3.50,-1,-1,-1
52000141,8.40,5,6.80,6.25,7,8.25,-1,-1,-1
52000142,6.20,5.50,6,-1,-1,-1,5.75,7.50,9
52000143,8.20,5.50,5.40,4.50,5.75,4.25,-1,-1,-1
52000144,4.60,5,3.80,-1,-1,-1,3.25,5.50,7.25
52000145,7.40,5,3.40,6.75,6,3,-1,-1,-1
52000146,7,6.25,6.20,6.50,6,5,-1,-1,-1
52000147,8.80,5.50,6,6.50,8.50,9.25,-1,-1,-1
52000148,6,7.75,9.40,-1,-1,-1,3.75,5,7.25
52000149,7.20,6.75,8.60,4,8,7,-1,-1,-1
52000150,8.60,7,7,7,6.50,6.50,-1,-1,-1
52000151,8,7.75,9.20,-1,-1,-1,7,8.50,8.25
52000152,8.80,5.75,8.20,7.75,5.75,6,-1,-1,-1
52000153,7.80,6.50,3.80,7,5.25,4.75,-1,-1,-1
52000154,6.60,6.75,4.80,-1,-1,-1,5.75,6.75,7.25
52000155,5,8.25,5.60,-1,-1,-1,4.50,5.50,7.75
52000156,6.80,6,7.20,4,4.25,5.25,-1,-1,-1
52000157,8,5.75,7,7,4.25,4,-1,-1,-1
52000158,6,5.75,5,-1,-1,-1,4.75,5,7
52000159,6.80,5,3.20,5.25,3.75,4.25,-1,-1,-1
52000160,7,5.25,5.60,5,4.75,5.75,-1,-1,-1
