SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
54000001,0.80,4.50,1.40,-1,-1,-1,2,2.75,4.75
54000002,5.40,4.75,4.40,4.25,5.25,4.50,4.25,7.25,9
54000003,6,6.50,5.20,4.75,4,5.25,-1,-1,-1
54000004,6.60,6,3,6,4.75,4.75,-1,-1,-1
54000005,5.60,-1,-1,-1,4,4.75,-1,-1,-1
54000006,5.60,6.25,3.20,-1,-1,-1,4.25,7.25,8.25
54000007,5,6.75,3.40,-1,-1,-1,5,6,7
54000008,6.20,7.25,2.40,3.75,3.75,3.75,-1,-1,-1
54000009,3.80,5.50,4.20,-1,-1,-1,3.75,6,8.75
54000010,7.80,7,5.20,5.50,5.50,6,-1,-1,-1
54000011,7,5.50,4,5,4.25,3.25,-1,-1,-1
54000012,5.60,7,4,2,2.75,5.25,-1,-1,-1
54000013,5.80,4.75,3.20,4.25,5,4.25,-1,-1,-1
54000014,5.40,5,2.60,-1,-1,-1,2.25,6,5.75
54000015,6.40,6.25,4.20,-1,-1,-1,3.50,6.75,8.25
54000016,7.40,8.25,5.40,-1,-1,-1,6,8,8.50
54000017,6.40,5.25,4,-1,-1,-1,6.50,6.75,9.25
54000018,2.60,3.42,-1,-1,-1,-1,2.50,3,-1
54000019,5.60,5.75,3.20,-1,-1,-1,5.50,6.75,6.50
54000020,7.20,6.75,6,6.75,6.25,3.50,-1,-1,-1
54000021,4.60,5.25,2.60,-1,-1,-1,4.50,6,7.75
54000022,5,5.50,3.80,3.25,2.50,4,-1,-1,-1
54000023,-1,5.25,-1,-1,-1,-1,5.75,5,-1
54000024,2.40,2.50,3,-1,-1,-1,3.50,5.25,5.25
54000025,6.80,5.50,3.20,5,6,6.25,-1,-1,-1
54000026,5,5.75,3,-1,-1,-1,2.50,5.25,7.25
54000027,6.40,-1,-1,-1,5,4.25,-1,-1,-1
54000028,4.60,5.50,1.80,-1,-1,-1,2.75,4.50,6.25
54000029,5.20,5,3.20,-1,-1,-1,5.50,7.75,9.50
