SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
55000001,7.60,6.75,6.60,-1,-1,-1,5.50,6.50,8.25
55000002,5.60,6.25,3.80,-1,-1,-1,4.75,6.50,6.75
55000003,5.80,5.25,2.80,6.75,6.75,6.25,-1,-1,-1
55000004,3.80,6.25,3.60,-1,-1,-1,3.50,5.25,8.25
55000005,6.80,5.50,3.80,-1,-1,-1,3.75,6.75,7.25
55000006,8,7,4,7.25,6.50,6.25,-1,-1,-1
55000007,6.80,7.50,4.60,-1,-1,-1,5,6.75,8.75
55000008,4.60,5,2.40,5,4.25,5,-1,-1,-1
55000009,4.60,4.50,2.80,-1,-1,-1,3.50,5,7.75
55000010,4.80,6.75,4,-1,-1,-1,7.25,6.50,8.50
55000011,6,4.75,3.20,6.75,6.50,4.50,-1,-1,-1
55000012,4.40,6.75,3.20,-1,-1,-1,4.25,5.50,6.75
55000013,7,6.50,4.20,6,6.50,5.75,-1,-1,-1
55000014,6.80,5,4.60,6.75,4.75,5.75,-1,-1,-1
55000015,4.40,4,3.40,-1,-1,-1,3.75,5,7.25
55000016,4.40,5.25,3.80,-1,-1,-1,3.25,5,6
55000017,8,6.75,2.80,6.75,7,4.75,-1,-1,-1
55000018,6.80,8.25,5.80,6.50,3.75,6,-1,-1,-1
55000019,5,6.75,3.60,-1,-1,-1,6.25,6.25,7.75
55000020,3.80,6.75,3.40,3,4.75,4.75,-1,-1,-1
55000021,6.20,7.50,5,-1,-1,-1,5,7,8.75
55000022,7.40,6.75,7.80,5.25,6.50,5.50,-1,-1,-1
55000023,6.60,5,5.20,6.75,6.50,4.50,-1,-1,-1
55000024,5.60,6.75,3.80,5.50,5.75,5.25,-1,-1,-1
55000025,6.20,6.50,3.80,6.25,5.50,6.25,-1,-1,-1
55000026,7.80,8.50,5.80,5,6.25,5.75,-1,-1,-1
55000027,7.20,7.50,7.20,5.75,5.75,6.25,-1,-1,-1
55000028,7.20,6,3.20,6,4.75,5.25,-1,-1,-1
55000029,7.60,7,4.60,5.25,5.25,5.25,-1,-1,-1
55000030,4.60,6.50,3,4.75,5,5.50,-1,-1,-1
55000031,5.20,6.50,3.60,4,3.25,5.25,-1,-1,-1
55000032,6.80,7,5.40,-1,-1,-1,3.50,7,9
55000033,4.60,5.50,2.40,-1,-1,-1,5,6,8
55000034,2.60,3.25,1.80,-1,-1,-1,2.25,3,4
55000035,7.40,7.50,9.20,7.50,7.75,5,-1,-1,-1
55000036,5,6.75,3.60,-1,-1,-1,4.25,7.25,8
