SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
56000001,6.80,5.25,3.80,6,5.25,2.75,-1,-1,-1
56000002,6.60,6.50,4.60,5.75,5.75,3.25,-1,-1,-1
56000003,8.40,6.75,5.20,7,5.50,6,-1,-1,-1
56000004,6.80,7,7.80,-1,-1,-1,4.25,4.50,6
56000005,8,6,3.80,-1,-1,-1,3,5.50,7.75
56000006,5.60,5.50,3.80,4,4.25,4,-1,-1,-1
56000007,7,7.25,3.20,5.75,5.25,5,-1,-1,-1
56000008,5.80,4,3,4.25,4.50,3,-1,-1,-1
56000009,6.80,4.50,3.60,6.25,4.25,4.50,-1,-1,-1
56000010,5.80,5.75,6,-1,-1,-1,3.25,5.25,8.25
56000011,9.20,5.75,6,6.25,8.50,8,-1,-1,-1
56000012,7.80,5,6.40,5.50,5.50,4.25,-1,-1,-1
56000013,6,6.25,4.60,5.25,4.50,3.75,-1,-1,-1
56000014,7.80,8,8.40,7.75,5.50,6.25,-1,-1,-1
56000015,5.40,6.50,3,-1,-1,-1,4.25,7,8.75
56000016,6.20,7,4,4.50,4.50,4.25,-1,-1,-1
56000017,5,6,2.80,-1,-1,-1,5.75,6,7.75
56000018,5.20,5.50,2.80,4.75,4,4,-1,-1,-1
56000019,5.60,4.50,4,3,3.25,4.75,-1,-1,-1
56000020,6.80,5,4.60,5,6,4.50,-1,-1,-1
56000021,5.60,6,5.60,-1,-1,-1,5,6.50,9
56000022,4,6,3.20,-1,-1,-1,5.50,7.75,8
56000023,7,6.25,4.80,5.50,6.50,4.25,-1,-1,-1
56000024,7,5.50,3.60,5.75,3.50,4.25,-1,-1,-1
56000025,8.20,6,4.20,6.50,6.50,3.75,-1,-1,-1
56000026,6.80,7.25,5.40,5.25,6,4.75,-1,-1,-1
56000027,5,6,2.20,-1,-1,-1,2.50,5,6.75
56000028,7.40,6.50,4,-1,-1,-1,5.25,6.25,8.25
56000029,6.80,6.25,4.60,-1,-1,-1,4.50,5.25,8.75
56000030,6.40,6.25,2.60,-1,-1,-1,5.75,5.75,8.25
56000031,5.40,5.50,3.60,-1,-1,-1,4,6.25,7.25
