SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
62000001,4,6.50,5,-1,-1,-1,3.25,5.50,6
62000002,4.60,5.50,3.40,-1,-1,-1,3,5.50,6.75
62000003,6.60,3.25,3.20,7,5,2.75,-1,-1,-1
62000004,7,5.50,3.80,3,4.75,4.25,-1,-1,-1
62000005,3.80,5.25,3,3,2.50,4.50,3.25,4.75,6
62000006,4,2.75,-1,-1,-1,-1,3.75,-1,-1
62000007,5.20,5.50,2.20,-1,-1,-1,5,7,6
62000008,8,5.50,4.40,6,6.50,4,-1,-1,-1
62000009,4.60,-1,-1,-1,2.25,4.75,-1,-1,-1
62000010,4.60,7.25,4.80,-1,-1,-1,3.75,6.25,7
62000011,5,-1,-1,-1,3.75,4.25,-1,-1,-1
62000012,3.80,4.25,-1,-1,-1,-1,5,6.75,-1
62000013,3.40,5,-1,-1,-1,-1,3.25,5,-1
62000014,-1,3.50,-1,-1,-1,-1,3,5,-1
62000015,4.40,5.25,-1,-1,-1,-1,3.25,-1,-1
62000016,5.20,5.75,3.60,-1,-1,-1,3.50,5.25,4.50
62000017,4.60,5.75,4,-1,-1,-1,6,7.50,7.25
62000018,5.40,6,2,-1,-1,-1,3.50,5.50,6.25
62000019,4,6.50,3,-1,-1,-1,3.50,5.50,8.50
62000020,7.80,8,6,7.25,5,5.50,-1,-1,-1
62000021,6.60,7.75,3.80,-1,-1,-1,9.50,9.50,9
62000022,4.80,5.25,3.60,-1,-1,-1,3.75,6.25,6.50
62000023,6.60,6.75,4,4,5,5.75,-1,-1,-1
62000024,4.20,6.75,3,-1,-1,-1,4.75,6.25,8
62000025,5,7.25,5.60,3.50,4.25,3.75,3,5,6
62000026,4.40,5.50,-1,-1,-1,-1,5.25,-1,-1
62000027,1.80,7.50,2.60,-1,-1,-1,2,6,7.50
62000028,6.80,7,4,4.25,6,6.75,-1,-1,-1
62000029,6.80,6.25,2.60,5.75,5.25,5,-1,-1,-1
62000030,2.40,4.75,2.60,-1,-1,-1,3.75,6.50,6
62000031,5.60,6,2.80,-1,-1,-1,4.75,7.50,7.75
62000032,-1,7.50,-1,-1,-1,-1,7.75,8.25,-1
62000033,3.80,4.25,-1,-1,-1,-1,2.75,3.75,-1
62000034,3.20,6,2.60,-1,-1,-1,3.75,7,7.50
62000035,3.80,5.25,2,-1,-1,-1,3.25,7.50,5.75
62000036,4.20,5.75,2.60,-1,-1,-1,5.50,7,6.25
62000037,2.40,4,-1,-1,-1,-1,5.25,4.25,-1
62000038,3.40,6.25,4,-1,-1,-1,5.75,6.50,6.25
62000039,3.60,6,4,-1,-1,-1,5.25,8.50,7.75
62000041,2.40,4.25,-1,-1,-1,-1,2.50,5.25,-1
62000042,4,5.75,2.80,-1,-1,-1,2.25,3.25,6.75
62000043,3.20,3,-1,-1,-1,-1,2.75,4.50,-1
62000044,5.40,6,-1,-1,-1,-1,5,-1,-1
62000045,-1,5,-1,-1,-1,-1,4.25,6,-1
62000046,7.60,7,7.20,-1,-1,-1,4.25,8,6.75
62000047,5,6,3.80,-1,-1,-1,4.75,6,7.75
62000048,4.60,6.75,4.60,-1,-1,-1,9,8,9.75
62000049,3,5.50,3.20,-1,-1,-1,2.75,6.75,6.75
62000050,6,7.50,3.40,-1,-1,-1,9,8,8.25
62000051,5,5.50,2.80,-1,-1,-1,2.75,6,6.75
62000052,6.80,5.25,5.80,4.50,7.25,6,-1,-1,-1
62000053,3.80,5,3.40,-1,-1,-1,4,4.25,6.25
62000054,2.40,4.75,-1,-1,-1,-1,3,-1,-1
