SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
63000001,7.40,4.75,8.60,7,6.50,4.25,-1,-1,-1
63000002,5,5,4.40,6,3.75,5,-1,-1,-1
63000003,7.40,8,8.60,6,5.25,4.25,-1,-1,-1
63000004,4.20,4.50,2.40,3,4,3.75,-1,-1,-1
63000005,3.60,4.25,-1,-1,-1,-1,3.25,3.75,-1
63000006,5.60,4.50,3.80,-1,-1,-1,5.50,7.25,7.25
63000007,3.60,4.25,4.40,-1,-1,-1,5.25,7,4.75
63000008,5,4.50,-1,-1,-1,-1,4.75,-1,-1
63000009,6.20,4.75,5.40,4.75,4.50,7.50,-1,-1,-1
63000010,7.40,4,6.60,5.25,7.25,5.50,-1,-1,-1
63000011,7.20,6,4,4.75,6.25,5,-1,-1,-1
63000012,7,5.50,5.60,-1,-1,-1,5,6.50,7.50
63000013,4,3.25,2.60,-1,-1,-1,5.50,6.25,7.25
63000014,3.60,3.50,2.20,-1,-1,-1,3.25,5.50,6.75
63000015,5.80,5,3.40,4.50,3.75,6.50,-1,-1,-1
63000016,3.20,3.50,3.20,-1,-1,-1,3.25,5.25,6.50
63000017,8,5.75,5.80,6.75,6.50,5.50,-1,-1,-1
63000018,8,7,9.40,6.25,4.50,5,-1,-1,-1
63000019,4.20,4.50,2.60,-1,-1,-1,2,6,6.25
63000020,5.40,5.25,3,-1,-1,-1,4.50,6.50,7.75
63000021,6.80,8.25,9.20,-1,-1,-1,4,8.25,6.75
63000022,4.60,4.25,3,-1,-1,-1,2,5,7.25
63000023,3,2.50,-1,-1,-1,-1,2,3,-1
63000024,4.20,4,4.40,-1,-1,-1,3,5.50,6.25
63000025,4.20,3.75,-1,-1,-1,-1,3.50,-1,-1
63000026,6.80,6.75,8.20,7.75,4.25,5.75,-1,-1,-1
63000027,8,5,3,6.25,5,3.50,-1,-1,-1
63000028,3.60,4.25,2,-1,-1,-1,4.75,5,6.25
63000029,8,7.25,6.60,-1,-1,-1,5.50,8.50,6.75
63000030,5.60,4.50,4.60,3.75,4.50,4.50,-1,-1,-1
63000031,7.60,6.25,3.80,6,6.25,4.50,-1,-1,-1
63000032,4,5,3.40,-1,-1,-1,3,6.25,7
63000033,6,5.50,3.40,2.75,6,7,-1,-1,-1
63000034,6.80,7.50,6,-1,-1,-1,6.25,6.75,6.25
63000035,8.20,7,7.20,-1,-1,-1,4.50,5.75,9
63000036,5.60,3.75,2,4.50,4.75,4,-1,-1,-1
63000037,8.20,7,8.20,7.50,6.75,5.50,-1,-1,-1
63000038,7.60,5.50,7,4.75,7,7.50,-1,-1,-1
63000039,3.20,4.75,3.20,-1,-1,-1,3.25,6.25,8.50
63000040,4.80,5.50,3.60,-1,-1,-1,4.75,7.75,8.50
63000041,7.40,-1,5.60,5.50,4.75,-1,-1,-1,-1
63000042,6.20,6.50,5,-1,-1,-1,3.25,5.50,7
63000043,5.20,4,2,-1,-1,-1,5,8,7
63000044,6.20,4,3.80,3.75,3.25,4,-1,-1,-1
