SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
64000001,6.80,6,3.40,-1,-1,-1,5,6,8
64000002,5,5.50,3.40,-1,-1,-1,4,7.50,7.25
64000003,3,3.25,4.20,-1,-1,-1,2.75,4.75,6
64000004,5.20,4,2.60,-1,-1,-1,4,6.50,7.50
64000005,7.20,6.75,5.40,-1,-1,-1,7.25,7.50,8.75
64000006,3.20,4,2.20,-1,-1,-1,1.75,5.25,7.25
64000007,6,6,4.40,5,5,4.50,-1,-1,-1
64000008,6,6,4,-1,-1,-1,4.50,5.75,8
64000009,5.60,5.50,3.40,-1,-1,-1,5,6.75,9.25
64000010,4.60,4,2.80,-1,-1,-1,4,4.50,7.25
64000011,6,5,3,-1,-1,-1,6.25,6.75,7.75
64000012,4.60,5,3.40,-1,-1,-1,3.75,7.75,7.75
64000013,5.20,5.25,-1,-1,-1,-1,3.25,5.75,-1
64000014,6.20,5.25,3,5.25,5,4,-1,-1,-1
64000015,5,4.50,3,4.25,4.75,4.75,-1,-1,-1
64000016,5.20,5.25,2.20,-1,-1,-1,4.75,5.25,6.50
64000017,7.40,6,3.40,6,5.25,5.25,-1,-1,-1
64000018,2.60,3.75,-1,-1,-1,-1,4.75,5.25,-1
64000019,5.80,6.50,2.20,-1,-1,-1,3,6.75,7.75
64000020,3.20,4.25,2,-1,-1,-1,2.25,6,5
64000021,4.40,5,3.20,-1,-1,-1,3,6.50,6.50
64000022,5.20,6.50,2.60,-1,-1,-1,6,7,8.75
64000023,5.20,5.25,2.80,-1,-1,-1,5,5.50,8.25
64000024,7.80,6.50,5.20,7,7.50,6.25,-1,-1,-1
64000025,6.80,7.50,2,7,6.50,5.75,-1,-1,-1
64000026,6,5.50,2.80,-1,-1,-1,4.25,6.75,6.25
64000027,3,5,2.60,-1,-1,-1,2.50,5,6
64000028,4.80,3.25,2.20,-1,-1,-1,3.75,2.75,6
64000029,6.20,6.25,3.40,-1,-1,-1,8.25,8,8
64000030,5.20,6,4.20,-1,-1,-1,4,7,9
64000031,5.60,6.25,3,-1,-1,-1,5.75,7.25,8.50
64000032,6,6,3,4.25,4.50,4.25,-1,-1,-1
64000033,4.60,4.50,2.60,-1,-1,-1,5,5,7.50
64000034,4.20,5.75,3,-1,-1,-1,5.25,7.25,8.75
64000035,2.60,3.25,-1,-1,-1,-1,2.50,3.50,-1
64000036,4.40,5.50,2.60,-1,-1,-1,3.25,5,7
64000037,6.40,6.25,5.60,-1,-1,-1,6.75,8,8.50
64000038,3.80,5.50,2.80,-1,-1,-1,4.75,7.25,8.25
64000039,6.80,5,3.40,-1,-1,-1,5.75,7,8.50
64000040,6.60,5,3.60,-1,-1,-1,3.25,6.75,8.50
64000041,4.20,5,-1,-1,-1,-1,3.25,5.25,-1
64000042,6.60,7.25,2.40,-1,-1,-1,5.50,7.75,9
64000043,6.40,5.75,3.40,-1,-1,-1,3.75,7.75,8.25
64000044,5,5.25,2.20,-1,-1,-1,4,6.50,7
64000045,4.80,3.75,3.20,-1,-1,-1,4.25,6,7.75
64000046,2.40,3.75,-1,-1,-1,-1,5,3.50,-1
64000047,6.20,6.50,2.40,6.50,3.50,5,-1,-1,-1
64000048,5.40,6.25,2.60,-1,-1,-1,4.75,6.75,8.50
64000049,6.80,6.50,4.60,6,6.50,5.25,-1,-1,-1
64000050,5.60,6.50,4,-1,-1,-1,4.25,6.50,9.25
64000051,3.40,3.50,2.80,-1,-1,-1,2.25,5.25,5.75
64000052,4.20,5,-1,-1,-1,-1,5.25,-1,-1
64000053,6.20,5,2.80,-1,-1,-1,4,7,7.25
64000054,3.80,3,2.20,-1,-1,-1,3.50,5,5.75
64000055,7.20,7,3,5.50,6.75,5,-1,-1,-1
64000056,6.60,6.25,4,-1,-1,-1,3.75,6.75,7.50
64000057,4.40,5,2.40,-1,-1,-1,2.75,5.75,6.75
64000058,4.20,5.50,3.60,-1,-1,-1,4.25,5.75,5.50
64000059,5,6.50,4.40,-1,-1,-1,7.75,8.75,8
64000060,4.80,5.50,4,-1,-1,-1,5.50,8,8.25
64000061,3.80,3,2.40,-1,-1,-1,3.50,5,6
64000062,4.40,5.50,2.20,-1,-1,-1,2.75,5.50,8.25
64000063,3.60,5,3.20,-1,-1,-1,4,6,7.25
64000064,6,5,2.40,-1,-1,-1,4,6,8
64000065,3.80,5,3.20,-1,-1,-1,2.50,4.25,6.75
64000066,4.80,5.50,2.60,-1,-1,-1,4.50,7,5.75
64000067,3.20,5,2,-1,-1,-1,3,4,7.25
64000068,-1,-1,1,-1,4.75,-1,-1,-1,-1
64000069,3.40,6,-1,-1,-1,-1,3.75,5.75,-1
64000070,3.20,5,2.60,-1,-1,-1,3.75,6.75,5.75
64000071,3.60,7.25,-1,-1,-1,-1,2.50,5.75,-1
64000072,3.40,5,2.20,-1,-1,-1,3.25,4.25,6
64000073,2.20,5,-1,-1,-1,-1,3.25,5,-1
64000074,7,4.50,2.40,6.50,6,4.25,-1,-1,-1
64000075,2.60,4.50,-1,-1,-1,-1,3.25,6.50,-1
64000076,5.80,6.25,2.80,-1,-1,-1,6,6.25,8.75
64000077,3.20,6.75,-1,-1,-1,-1,5.75,6.75,-1
64000078,5,5.50,2.40,-1,-1,-1,2.75,6,7.25
64000079,6.20,6,2.40,-1,-1,-1,3.75,6,8.25
64000080,5.40,5.25,4.40,-1,-1,-1,2.75,6,6.50
64000081,7,6.50,2.40,6.25,7.75,5.25,-1,-1,-1
64000082,5.20,4.25,2.60,-1,-1,-1,1.75,5.75,8
64000083,5.40,6.50,-1,4.75,5,4.50,-1,-1,-1
64000084,4.80,5,2.60,-1,-1,-1,4,5,7.25
64000085,7.60,6.50,2.60,7,6.75,4.75,-1,-1,-1
64000086,4.20,4.50,2.20,-1,-1,-1,3,5.25,7.50
64000087,6.20,5.75,2.60,-1,-1,-1,6.75,6,7.75
64000088,3.20,5.75,-1,-1,-1,-1,2.75,3.75,-1
64000089,3,5.25,-1,-1,-1,-1,3.25,4.50,-1
64000090,3.20,5,1.40,-1,-1,-1,3.75,5,7.50
64000091,4.80,7,-1,-1,-1,-1,4.25,7.50,-1
64000092,4,5.75,2.20,-1,-1,-1,4.75,5.75,7.25
64000093,5.40,6,3,-1,-1,-1,8,6.75,8.50
64000094,5.80,5.25,-1,-1,-1,-1,6.25,-1,-1
64000095,6,6.50,2.80,-1,-1,-1,7,7.50,8.75
64000096,5.20,6,3.60,-1,-1,-1,3,5.25,7.50
64000097,5,6.75,3.60,-1,-1,-1,3.75,6.50,7.50
64000098,6.60,5.50,4.60,-1,-1,-1,6,6.50,8.50
64000099,6.60,6.25,5,6.25,6,5.25,-1,-1,-1
64000100,5.80,5.25,2.60,-1,-1,-1,2.50,4.50,8
64000101,4.60,6.25,3.80,-1,-1,-1,4.75,7,8.75
64000102,-1,8,-1,-1,-1,-1,8.25,8,-1
64000103,5,5.75,2.60,5,3.50,3.50,-1,-1,-1
64000104,7,7,4.40,5.50,6.25,6,-1,-1,-1
64000106,4.40,5,-1,-1,-1,-1,4.50,7,-1
64000107,5,6.25,3.80,-1,-1,-1,6.25,6.75,8.50
64000108,7.80,7,4,7.25,6,4.75,-1,-1,-1
64000109,6,6,2.20,-1,-1,-1,4.50,4.75,8.25
64000110,4.40,3.75,2.60,-1,-1,-1,3.25,5.75,7.75
64000111,4.40,6.50,4.60,6.25,6,4,-1,-1,-1
64000112,3.80,6,-1,-1,-1,-1,4.75,5.75,-1
64000113,5.20,5,-1,-1,-1,-1,5,6.50,-1
64000114,2.60,2.50,2.60,-1,-1,-1,3,3.75,5.25
64000115,5.80,5.50,3.60,-1,-1,-1,3.75,6.25,8.75
64000116,4.20,6.25,-1,-1,-1,-1,4,6.75,-1
64000117,3.60,7.25,4,-1,-1,-1,2,5,6.50
64000118,4.60,6,2,-1,-1,-1,2.75,5.25,7.25
64000119,5.40,6.25,4.60,-1,-1,-1,5,7,8.25
64000120,3.40,-1,-1,4.50,4,-1,-1,-1,-1
64000121,7,6.75,3.40,-1,-1,-1,5,6.25,8.75
64000122,4.80,6,3,-1,-1,-1,5.50,4.75,7.25
64000123,3.80,6.50,-1,-1,-1,-1,4.50,6.25,-1
64000124,8.40,6.50,6.60,7.50,7.75,8.50,-1,-1,-1
64000125,2.20,4.50,4,-1,-1,-1,3.75,5.50,5
64000126,4.80,5.50,2.80,-1,-1,-1,4.25,5.25,7.50
64000127,4.40,6.50,5.40,-1,-1,-1,5.50,6.25,8.50
64000128,6.40,6,5,5.75,4.25,4.25,-1,-1,-1
64000129,7.20,5.50,2.60,4,6.25,5.50,-1,-1,-1
64000130,5.20,5,-1,-1,-1,-1,5.50,7.50,-1
64000131,3,5,-1,-1,-1,-1,3.75,4,-1
64000132,3,3,2.40,-1,-1,-1,2.75,5,6.50
