SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
07000001,8.6,6,4.6,7.5,8.5,7,-1,-1,-1
07000002,9.4,7.5,6.8,5.75,8.5,8.5,-1,-1,-1
07000003,5.6,6.75,4,-1,-1,-1,7,8,8.75
07000004,8.2,8.5,9,-1,-1,-1,7,8,9.75
07000005,3,-1,1.4,2,-1,-1,-1,-1,-1
07000006,8.4,6.5,8,-1,-1,-1,4.75,8.5,9
07000007,7,6,4.2,-1,-1,-1,4.5,6.5,9
07000008,6.4,7.5,5.8,-1,-1,-1,6.25,5.75,8.5
07000009,6,4,3,-1,-1,-1,3.5,7.25,8
07000010,8.6,5.5,7.4,5.75,8.25,5.25,-1,-1,-1
07000011,7.8,6.25,6,-1,-1,-1,9.25,7.5,8.25
07000012,7.8,7.5,6.6,-1,-1,-1,5.25,5.75,7.75
07000013,6.2,6.5,4.2,-1,-1,-1,5,8.25,9.75
07000014,9,6,7,8,3.25,5.75,-1,-1,-1
07000015,5.8,6,4.2,-1,-1,-1,3.75,6.25,9
07000016,4.8,5.75,3.8,-1,-1,-1,5,7.25,9
07000017,8,6.5,3.2,-1,-1,-1,4.75,7.25,9.5
07000018,7.2,5.5,3.8,-1,-1,-1,6.25,8,8.75
07000019,9.2,6.5,5.6,8.75,8.75,5.75,-1,-1,-1
07000020,8.4,6.75,8.2,-1,-1,-1,5.5,6.25,8.5
07000021,8.2,5.25,5.2,7.75,6,5,-1,-1,-1
07000022,7.4,7.25,4.6,-1,-1,-1,5.25,6,9.25
07000023,7,5.25,3.4,6.25,5,2.25,-1,-1,-1
07000024,1.8,4.25,-1,-1,-1,-1,3.75,-1,-1
07000025,9.2,7.25,9,-1,-1,-1,7.75,7.75,8
07000026,5.8,6,7.2,-1,-1,-1,6.75,8.25,9
07000027,8.2,6.25,4,7.75,6.75,5,-1,-1,-1
07000028,8.2,4.25,4,7.25,7,3.25,-1,-1,-1
07000029,7.4,4.5,3.6,6.5,5.75,5.25,-1,-1,-1
