SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
10000001,9.2,5.75,5.8,7.75,8.75,3.25,-1,-1,-1
10000002,8.6,8.75,6.8,-1,-1,-1,9,7.75,8.25
10000003,6.6,6.75,7,-1,-1,-1,6,6,8
10000004,9.6,5.5,5,8.25,10,5.25,-1,-1,-1
10000005,3,7,2.8,-1,-1,-1,5,7.5,7
10000006,7.4,8.5,8.6,-1,-1,-1,6.25,8.75,8.75
10000007,2,7,4.2,-1,-1,-1,4.5,6.75,7.25
10000008,8,8.25,6.2,-1,-1,-1,5,8.5,7.25
10000009,8.8,9,8.2,-1,-1,-1,7.25,8.5,8.5
10000010,3.8,5,3.2,-1,-1,-1,5,6.25,7.25
10000011,9.2,7.75,7.6,8.25,5,6.25,-1,-1,-1
10000012,3.8,5,-1,-1,-1,-1,4.5,6.25,-1
10000013,7.6,8,7,-1,-1,-1,5.75,7.25,7.75
10000014,5.8,6.75,6,-1,-1,-1,9,8.5,7.5
10000015,8.2,8.25,5.2,7.5,8,5.25,-1,-1,-1
10000016,9.2,7.5,6,6,8.25,8.5,-1,-1,-1
10000017,8.6,6.5,6.8,3.75,8.5,6.75,-1,-1,-1
10000018,7,7.25,6.2,-1,-1,-1,7.25,7.5,6.5
10000019,9,5.5,3.4,8.5,8,6,-1,-1,-1
10000020,8.2,5.5,9,8.5,8,6.75,-1,-1,-1
10000021,7.4,7.75,7,-1,-1,-1,5.75,7.75,9.25
10000022,8.6,8.5,8.6,-1,-1,-1,4,8,8
10000023,8.4,5,5,5.25,9,7.5,-1,-1,-1
10000024,8,6.5,5.2,3.25,7.5,4.75,-1,-1,-1
10000025,4,6.25,4.6,-1,-1,-1,4.75,6.5,8
10000026,7.8,7.25,6.4,-1,-1,-1,6,7.75,8.75
10000027,6.2,6.75,6.8,-1,-1,-1,5.25,7.5,7.75
10000028,9.6,6.75,9.2,7.75,8.75,7.75,-1,-1,-1
10000029,5.8,8.5,4.6,-1,-1,-1,9,9.25,9
10000030,8.6,8.25,7.8,-1,-1,-1,7.25,8.75,8.5
10000031,3.2,5.75,-1,-1,-1,-1,4.75,5,-1
10000032,7,8,4.4,-1,-1,-1,9.5,8.75,7.75
10000033,4,3.25,-1,-1,-1,-1,3.5,6.75,-1
10000034,5.2,7,-1,-1,-1,-1,6,6.5,-1
10000035,7.4,5.75,4.4,5.5,3.5,3.75,-1,-1,-1
10000036,5.2,5.5,-1,-1,-1,-1,6.25,7.25,-1
10000037,7.4,7.25,-1,-1,-1,-1,4.25,7.25,-1
10000038,9.2,8.25,9.2,9.5,7,5.75,-1,-1,-1
10000039,6.4,5.5,5.2,6.25,4,4.5,-1,-1,-1
10000040,6.8,6.75,-1,-1,-1,-1,6.75,7.25,-1
10000041,9.4,6,8.6,5,9.5,4,-1,-1,-1
10000042,7.6,7.25,4.6,-1,-1,-1,6,7,8
10000043,8,8.5,8.6,-1,-1,-1,4.5,6.5,9.5
10000044,8.8,8.25,5,8,7.75,5.5,-1,-1,-1
10000045,8.2,8.25,4.6,7.75,4.75,3.5,-1,-1,-1
10000046,9.2,5.5,4.8,7.75,8,4.75,-1,-1,-1
10000047,9.4,8,8.2,9,8.25,7,-1,-1,-1
10000048,5.6,5.75,2.6,-1,-1,-1,5.25,7.25,7
10000049,5.6,4.75,-1,-1,-1,-1,5,7,-1
10000050,7.8,5.25,-1,-1,-1,-1,4.25,7.5,-1
10000051,8.4,8.5,7,-1,-1,-1,5.75,8.75,9
10000052,7,8,5.2,-1,-1,-1,5.25,8,8
10000053,8.4,7.75,4.4,8,7.75,3.75,-1,-1,-1
10000054,9.2,7.25,5.2,8.5,8.25,5.5,-1,-1,-1
10000055,8.8,5.75,5.8,8.25,8.5,4.5,-1,-1,-1
10000056,5.6,9,7.8,-1,-1,-1,5.25,6.75,9
10000057,3.2,4,-1,-1,-1,-1,3.5,5.25,-1
10000058,8.2,7.25,5.8,8,8.5,3.75,-1,-1,-1
10000059,9.4,6.25,8.6,8.25,3.25,3.5,-1,-1,-1
10000060,5.4,6.25,-1,-1,-1,-1,4,6.5,-1
10000061,3.8,4.25,-1,-1,-1,-1,2.5,7.25,-1
10000062,9.4,8.25,7.6,7,8.5,7,-1,-1,-1
10000063,7.4,6.25,3.4,5.25,7,5.25,-1,-1,-1
10000064,8,8.5,7.2,-1,-1,-1,5.25,8.5,7.25
10000065,8.2,5.75,5.4,6.25,6.5,4.75,-1,-1,-1
10000066,2.4,3.75,-1,-1,-1,-1,5.25,7.75,-1
10000067,8,7,6.4,7.75,3.75,5,-1,-1,-1
10000068,7.8,6.75,7.8,7.5,5.25,3.75,-1,-1,-1
10000069,4.6,4.25,-1,-1,-1,-1,3.25,6.5,-1
10000070,5,3.75,-1,-1,-1,-1,3,3.75,-1
10000071,8.6,5.25,4.8,8.25,7.75,3.5,-1,-1,-1
10000072,6,3.75,3.6,-1,-1,-1,5,6.75,8.5
10000073,8.8,5.25,8.8,8.25,6,3.5,-1,-1,-1
10000074,4.4,5.25,2.8,-1,-1,-1,4.5,7.25,8
10000075,8.6,5.75,8.2,8.25,5.5,6,-1,-1,-1
10000076,5.6,5.25,-1,-1,-1,-1,5.25,6.5,-1
10000077,8.6,6.25,5,7.25,8.75,4.5,-1,-1,-1
10000078,5.8,6.25,8.8,-1,-1,-1,7.25,8,7.75
10000079,7.6,8,7.6,6,5.5,4.75,-1,-1,-1
10000080,8.8,6.75,6,9.25,8.5,5.75,-1,-1,-1
10000081,3.4,7.5,3.2,-1,-1,-1,9.5,8.5,8.25
10000082,8.4,7.5,9,-1,-1,-1,4,6.5,9
10000083,7,9,5.4,-1,-1,-1,9.25,8,8.5
10000084,8.2,7.75,7.4,8.25,9,8,-1,-1,-1
10000085,3.8,6.5,-1,-1,-1,-1,6.25,7.25,-1
10000086,8.2,8.25,7.2,5.75,8,6.5,-1,-1,-1
10000087,5.2,5.25,-1,-1,-1,-1,5.5,6.25,-1
10000088,2,4.5,-1,-1,-1,-1,4.25,5,-1
10000089,8.8,7.5,7.6,7.25,8.25,8,-1,-1,-1
10000090,5,5.75,-1,-1,-1,-1,4.25,5.75,-1
10000091,7.6,7.75,7,-1,-1,-1,4.25,7,8
10000092,8.2,8.25,8.2,-1,-1,-1,6,7.5,8.25
10000093,8.8,5.5,7.4,8.25,8,6,-1,-1,-1
10000094,6.4,7,-1,-1,-1,-1,2.75,7.25,8.25
