SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
12000001,7.6,7,5,-1,-1,-1,5.75,7.75,8.25
12000002,8.2,6,5.8,7,6.75,4.25,-1,-1,-1
12000003,8,7,3.6,-1,-1,-1,4.5,6.75,8.75
12000004,8.4,6.5,-1,-1,-1,-1,8.5,9.25,9.25
12000005,6.6,6.75,-1,-1,-1,-1,4,6,7
12000006,7.6,5.5,2,3,4.75,3.75,-1,-1,-1
12000007,8.6,9,8.4,-1,-1,-1,7.25,7.75,8.75
12000008,7.6,6,4.6,6,6,6.25,-1,-1,-1
12000009,8.6,7,6.4,-1,-1,-1,3.75,5.25,7.5
12000010,7,7.75,3.8,-1,-1,-1,6.75,7,7.5
12000011,7.8,7.5,3.6,-1,-1,-1,7.25,6.25,8.5
12000012,6.8,6.5,3.6,4,8.5,4,-1,-1,-1
12000013,8,6.25,3,-1,-1,-1,3.5,4.5,8.25
12000014,5.4,7.5,-1,-1,-1,-1,3.5,6.5,-1
12000015,7.6,4.5,3.8,4,8,7.5,-1,-1,-1
12000016,7,8,5.8,-1,-1,-1,5.75,8.25,8.25
12000017,7.8,7,4,-1,-1,-1,5.75,5.75,7.25
12000018,3.4,7,-1,-1,-1,-1,4.25,7,-1
12000019,7.8,6.5,4,7.5,7.5,3.75,-1,-1,-1
12000020,8.8,7.5,6,8,8.5,8.5,-1,-1,-1
12000021,8.4,5.75,5.2,8,8.25,4.5,-1,-1,-1
12000022,7.2,7.25,3.4,4.25,4.25,2.75,-1,-1,-1
12000023,8.6,4.75,3.6,8,7.5,4.25,-1,-1,-1
12000024,7.6,8,5.4,-1,-1,-1,5,7,8.5
12000025,9,7.75,4.8,7,8.5,8.5,-1,-1,-1
12000026,8.6,6,8.6,5.5,7.5,5,-1,-1,-1
12000027,6.8,7,4.2,-1,-1,-1,5.75,6.5,7
12000028,7.6,5.75,5.8,-1,-1,-1,5.25,7.5,8
12000029,6.8,7,5.2,-1,-1,-1,4,5.75,6.5
12000030,4.6,8.5,3.4,-1,-1,-1,9.75,9,8.5
12000031,3,4.25,-1,-1,-1,-1,4,5.5,-1
12000032,7.4,8,7,-1,-1,-1,6.75,6.75,8.25
12000033,8.6,8,5,8.25,7,5,-1,-1,-1
12000034,4.4,7.75,3.4,-1,-1,-1,4.75,6.75,8.25
12000035,8.8,8,6,-1,-1,-1,5.5,7,7
12000036,5.8,6,4,4.75,5,5.5,-1,-1,-1
12000037,8.8,6.5,5.2,8.75,8.5,6,-1,-1,-1
12000038,8.4,7,4,4.75,8,7.5,-1,-1,-1
12000039,8.4,6.5,5.2,8.25,8.25,4.25,-1,-1,-1
12000040,8.2,6.75,7.2,-1,-1,-1,4.5,7.5,8.5
12000041,3.8,6,-1,-1,-1,-1,4.75,5.5,-1
12000042,8.6,7.5,4.2,7.25,8.25,5.25,-1,-1,-1
12000043,4.6,7.5,-1,-1,-1,-1,4.75,6.25,-1
12000044,6.8,8.5,3.2,-1,-1,-1,5.75,7,9
12000045,9,8.25,9.2,-1,-1,-1,6.75,7,8.25
12000046,7.6,8.5,4.6,-1,-1,-1,7,6.75,9
12000047,9,7.25,5.2,7.75,2.75,5,-1,-1,-1
12000048,8.6,8,6.2,-1,-1,-1,5.75,7.25,7.5
12000049,7.4,7.5,4.8,-1,-1,-1,9,8.25,8
12000050,8.4,8.5,5.4,-1,-1,-1,9.75,8,9.25
12000051,7.6,7.75,6.4,-1,-1,-1,7.25,6.75,7.75
12000052,4.4,7,5.2,-1,-1,-1,5.25,7.5,8.25
