SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
13000001,9.4,7,8.6,9.5,8.5,7.5,-1,-1,-1
13000002,8.2,8.75,8.4,-1,-1,-1,7,7.5,8.75
13000003,9.4,7.75,6.8,7.75,7.5,7.75,-1,-1,-1
13000004,8.2,8.25,8.6,-1,-1,-1,6.5,4.5,8
13000005,9.6,9,8.4,-1,-1,-1,8,8.25,9.5
13000006,9,5.25,7.2,-1,-1,-1,6,7.25,8.25
13000007,8.8,7.5,7.4,-1,-1,-1,5,5.5,8.5
13000008,9.2,7.5,8,8.25,5,6.5,-1,-1,-1
13000009,8.4,3.5,9.2,7,8,3.5,-1,-1,-1
13000010,9.4,7.5,8.8,8,6.75,5.25,-1,-1,-1
13000011,9,6,5.2,8.5,7.75,3.75,-1,-1,-1
13000012,8.8,6.5,4.4,8.5,8,6,-1,-1,-1
13000013,8,8.25,6.4,-1,-1,-1,8.5,7.75,8.5
13000014,8,7.75,6.8,-1,-1,-1,4.5,6.5,7.25
13000015,8.4,7.5,5.6,5.25,5.5,6,-1,-1,-1
13000016,9.4,5.75,6.6,7.75,9.25,4.25,-1,-1,-1
13000017,7.8,7.25,5.8,8.75,7.25,3.75,-1,-1,-1
13000018,9,6.75,3.8,7,6,5.25,-1,-1,-1
13000019,9,7.75,5.2,8.25,7.75,5.25,-1,-1,-1
13000020,7,7.25,4.4,3,7.25,7.25,-1,-1,-1
13000021,9.2,6.25,5.8,8.75,8.5,6.25,-1,-1,-1
13000022,8.2,5,8.6,7.75,5.75,5,-1,-1,-1
13000023,8.2,7.5,6.6,8.25,7.75,3.75,-1,-1,-1
13000024,7.8,8,8.4,-1,-1,-1,5.5,7.75,7.75
13000025,8.6,6.75,8.2,8.75,5.25,6,-1,-1,-1
13000026,8.4,6.75,6.4,7.25,8,4,-1,-1,-1
13000027,9.2,5.5,8,8,9.5,8.75,-1,-1,-1
13000028,9,6.75,6.4,4.25,8.5,8.25,-1,-1,-1
13000029,8.4,4.75,6.2,5,8.75,8.5,-1,-1,-1
13000030,9.2,5,8.4,8,4.25,2.5,-1,-1,-1
