SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
15000001,5.8,8.75,6,-1,-1,-1,10,9.25,8.5
15000002,8.8,7.75,9.2,-1,-1,-1,6,8,8.25
15000003,9.2,7.25,5.2,8.5,8.75,4,-1,-1,-1
15000004,8.4,6.5,5.2,8.75,10,5,-1,-1,-1
15000005,8.6,8.5,8.2,-1,-1,-1,6,7.75,7.75
15000006,8.4,6,8.8,8.5,4.25,3.25,-1,-1,-1
15000007,9.4,7,5.4,8.25,8.75,3.25,-1,-1,-1
15000008,8.8,8.5,9.6,-1,-1,-1,5.75,8.25,8.25
15000009,8.4,7.75,7.4,-1,-1,-1,6.25,7,8.75
15000010,9.2,6,6.4,4,8,7.5,-1,-1,-1
15000011,9.2,9,9.2,-1,-1,-1,7,7,7
15000012,5.8,8.25,5.4,-1,-1,-1,9,9.5,8.75
15000013,9.8,8,5,9.25,9.5,4.5,-1,-1,-1
15000014,5.6,8.75,4.8,-1,-1,-1,9.25,9,7
15000015,7.2,8.25,8.2,-1,-1,-1,4.5,6.25,8.25
15000016,5.2,7.5,-1,-1,-1,-1,9,7.75,8.5
15000017,9.2,9,8,-1,-1,-1,5,6.5,7.25
15000018,9.4,6.75,9,9.25,4.75,5.25,-1,-1,-1
15000019,8.8,9,8,-1,-1,-1,5.5,7,8
15000020,9.6,7.25,4.6,8.5,9,5.25,-1,-1,-1
15000021,8.2,7.5,8,-1,-1,-1,8,5.5,7.5
15000022,4.6,8,6,-1,-1,-1,8.5,8.25,7.75
15000023,9,7,7.4,8.75,9.5,5.75,-1,-1,-1
15000024,8.4,8,6,4,8.75,8.25,-1,-1,-1
15000025,9,8,9.4,-1,-1,-1,4.25,6.75,7.5
15000026,9.4,8.25,9.2,-1,-1,-1,7,7.5,9.25
15000027,5,8.5,6.4,-1,-1,-1,10,7.75,8
15000028,8.4,8.25,-1,-1,-1,-1,6.25,7,9.25
15000029,8.8,7.25,4.6,3.75,9.75,9.25,-1,-1,-1
15000030,8.8,6.75,5,8.75,9,3,-1,-1,-1
15000031,8,8.25,8.8,-1,-1,-1,7.25,7.25,8.25
15000032,9,7.25,8.6,8.25,4,4.25,-1,-1,-1
15000033,8.4,8.25,8,-1,-1,-1,3.5,6.5,8.25
15000034,6.4,7,4.2,-1,-1,-1,6.25,5,6.5
15000035,9,8.75,7.6,-1,-1,-1,6.75,6.25,8.5
15000036,7.8,8.75,10,-1,-1,-1,6.25,7.25,8.5
15000037,9.2,8.75,9.8,-1,-1,-1,5,7.75,9
15000038,9.8,7,9.4,8.25,7.75,7,-1,-1,-1
15000039,8.8,9,9.6,-1,-1,-1,5.25,7.75,9
15000040,9.4,6,8,9.25,9.75,4,-1,-1,-1
15000041,9.8,9,9.6,-1,-1,-1,6.25,7.75,8.5
15000042,8.8,7.5,5.8,8.75,9.25,4.75,-1,-1,-1
15000043,4.8,8.5,4.2,-1,-1,-1,9.25,8.75,7.25
15000044,8.6,6.25,8.6,7.75,4,4.25,-1,-1,-1
15000045,9.4,7,4.6,8.75,8.75,5.75,-1,-1,-1
15000046,4.4,8.75,4.2,-1,-1,-1,9.5,9.5,7.5
15000047,6.2,8.25,4.8,-1,-1,-1,8.75,8.25,8.5
15000048,9,9,9.2,-1,-1,-1,7.5,8,9
15000049,9.2,7.5,9.8,7.75,5,6.5,-1,-1,-1
15000050,7.8,8,8.8,-1,-1,-1,5.5,7.75,8.75
15000051,3.6,7,4.2,-1,-1,-1,8.75,8.75,8.75
15000052,9.6,8,6.8,8.5,8,3.75,-1,-1,-1
15000053,9.6,9,8.8,5.5,4.75,3.25,-1,-1,-1
15000054,9.2,8,6.6,-1,-1,-1,7.5,7.5,8.75
15000055,9,8.5,8.4,-1,-1,-1,6.75,9,9
15000056,4,7.5,2.2,-1,-1,-1,9.5,8,8
15000057,4,7.75,3,-1,-1,-1,10,9.5,9
15000058,9,7,6.6,8.25,8.25,4.5,-1,-1,-1
15000059,9.2,6.5,6.4,9,9,6,-1,-1,-1
15000060,7.8,8,7.4,-1,-1,-1,5.5,8,8
15000061,9.4,6.75,8.6,8.25,2.5,2,-1,-1,-1
15000062,9.6,6.5,9.6,9.75,4.5,5,-1,-1,-1
