SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
16000001,9,6.75,5.4,4.5,9.25,8,-1,-1,-1
16000002,8.2,8,7,-1,-1,-1,6.75,9,9.5
16000003,7.4,8.25,8.6,-1,-1,-1,5.75,7.5,9
16000004,8.8,7.5,6.2,7.75,9,6.75,-1,-1,-1
16000005,9.6,8,7.2,9,9.75,8.75,-1,-1,-1
16000006,8,7.5,7.4,5.75,8.75,9.25,-1,-1,-1
16000007,8.8,7.75,6.4,8.5,8.75,6.5,-1,-1,-1
16000008,9.2,7.75,5.2,9,8.25,6.75,-1,-1,-1
16000009,8.4,8.5,5.4,-1,-1,-1,9,9.25,10
16000010,9,8.5,9,-1,-1,-1,7.5,8.25,9.75
16000011,8.8,8.25,5.8,8.25,9,7,-1,-1,-1
16000012,8.4,8.5,4.6,-1,-1,-1,9.5,9.75,9.5
16000013,9,7.25,6,7.25,9.25,8.75,-1,-1,-1
16000014,9,8.75,9.4,-1,-1,-1,8.75,8.5,9.75
16000015,9,9,7,-1,-1,-1,5.5,7.75,9.5
16000016,8.6,9,9.2,-1,-1,-1,7,7.5,8.5
16000017,8.6,7,9.2,9,6.5,6.75,-1,-1,-1
16000018,9,8.5,7.8,6.5,8,5.25,-1,-1,-1
16000019,9.2,8,6.6,8,8.75,6.5,-1,-1,-1
16000020,9,7.25,7,8.5,9.5,6.5,-1,-1,-1
16000021,8.2,9,8.4,-1,-1,-1,7,8.75,9.75
16000022,6,7.5,3,-1,-1,-1,9,9,8.75
16000023,9.4,6.75,8.4,8.25,6.5,6.5,-1,-1,-1
16000024,9.4,7,5,8.75,8.75,5.5,-1,-1,-1
16000025,8.2,7,6,5.25,8.75,7.25,-1,-1,-1
16000026,7,8.25,5.6,-1,-1,-1,4.5,6.75,8
16000027,8.4,8.25,8.8,-1,-1,-1,7,7.5,8.75
16000028,8.8,7,6.2,7.25,9.25,8.75,-1,-1,-1
16000029,8.2,6.5,6.6,8.5,9,5.5,-1,-1,-1
16000030,7.6,8,-1,-1,-1,-1,8,7.25,8.5
16000031,8.4,8.75,8.4,-1,-1,-1,7.25,8.5,9.5
16000032,8.8,7.75,6.6,7.25,8,6,-1,-1,-1
16000033,9.4,9,9,-1,-1,-1,8,7.75,9.75
16000034,8.6,8.5,8.6,-1,-1,-1,6,7.5,8.75
16000035,8.6,9,7,-1,-1,-1,6.75,7.75,9.75
16000036,7.8,8.25,8.4,-1,-1,-1,4.75,6,9
16000037,8.8,8,6,6.75,9.25,8.75,-1,-1,-1
16000038,8.6,8.75,9,-1,-1,-1,7.5,7.5,9
16000039,9.4,8.5,8.8,-1,-1,-1,5.25,7.25,8.5
16000040,9,8.75,8.6,-1,-1,-1,6.5,8,9.25
16000041,8.2,8,8.8,-1,-1,-1,8.75,8.25,8.5
16000042,8,7.75,6.2,-1,-1,-1,9.25,9,9.5
16000043,10,7.25,8.4,9.75,6.5,6.5,-1,-1,-1
16000044,9,7.75,-1,7.5,6.25,5.5,-1,-1,-1
16000045,8.6,8.5,8.2,6.5,8.25,7.25,-1,-1,-1
16000046,9.2,8,6,7,8.75,8.5,-1,-1,-1
16000047,9,8.75,8.6,-1,-1,-1,7.25,8.5,9
16000048,7.6,8.75,5.8,-1,-1,-1,7,9.25,9.25
16000049,8.6,8.75,8.8,-1,-1,-1,6.75,7.5,9.25
16000050,8.2,8.75,9.4,-1,-1,-1,7.75,7.5,9.5
16000051,8.4,8.5,9.2,-1,-1,-1,5.75,8.25,9
16000052,8.4,7.25,6,8,8.25,6.75,-1,-1,-1
16000053,8.4,8.25,10,-1,-1,-1,8.75,8.75,9
16000054,9.4,6.5,8.4,8.75,9.75,8.75,-1,-1,-1
16000055,8,5.75,5.6,7.75,8,5.25,-1,-1,-1
16000056,9.2,6,6.8,8.5,9,4.75,-1,-1,-1
16000057,9.4,8,4.8,7.75,9,8.5,-1,-1,-1
16000058,9.2,8.5,5.6,8.5,8.75,6.25,-1,-1,-1
16000059,7.4,7.25,6,6.5,8,6,-1,-1,-1
16000060,9,8.5,9,8,6,5.75,-1,-1,-1
16000061,9.4,8.5,9.4,-1,-1,-1,9.25,8.75,9.5
16000062,9.4,7.75,7.2,9.5,9.75,6.75,-1,-1,-1
16000063,8.8,7,7.6,7.25,6.5,6,-1,-1,-1
16000064,9.6,7.5,6.6,9,9.5,7.5,-1,-1,-1
16000065,9,7.5,-1,8,9.25,7.75,-1,-1,-1
16000066,9.4,7,6.4,7.25,9.25,9.25,-1,-1,-1
16000067,8.6,7.25,5,7.5,8,5.75,-1,-1,-1
16000068,9.2,7.75,7,9.5,9.75,8.5,-1,-1,-1
16000069,9.4,6.75,8.8,8.5,6.75,7,-1,-1,-1
16000070,9,7.75,6.4,9,9.25,6.75,-1,-1,-1
16000071,7.8,9,5.4,-1,-1,-1,9,10,9.75
16000072,4,8.75,6.4,-1,-1,-1,9.5,8,8.25
16000073,9,7.75,7.8,-1,-1,-1,6.25,7,9.5
16000074,9,6.5,8.4,7.5,6.75,6.75,-1,-1,-1
16000075,8.2,8.5,8,-1,-1,-1,5,8.25,9
16000076,7.2,7,-1,-1,-1,-1,6.75,9.75,9.25
16000077,8.2,8.75,9.4,-1,-1,-1,8,8.25,9.25
16000078,8.4,7.5,7.4,7.25,5.75,6.75,-1,-1,-1
16000079,8.4,7.5,6.4,7.75,9,5.75,-1,-1,-1
16000080,9,8.5,9.2,-1,-1,-1,6.5,7.75,9.75
16000081,8.8,8.25,8,-1,-1,-1,7.75,8.25,10
16000082,9,8,-1,-1,-1,-1,8,8.25,9.5
16000083,9.4,8,9,9,7.75,8,-1,-1,-1
16000085,8.6,8.5,6.6,8.75,7.5,6,-1,-1,-1
16000086,9.2,8.5,5.4,5.75,9,9.5,-1,-1,-1
16000087,9.2,7.75,6.2,9,9,7,-1,-1,-1
16000088,8.6,6,9.6,8,3,3.75,-1,-1,-1
16000090,9.8,7,6,9,9.5,5.75,-1,-1,-1
16000091,8.2,8,5.4,8,6.5,6.5,-1,-1,-1
16000092,8.8,7,8.8,8.75,9,7.75,-1,-1,-1
16000093,6.2,7.75,5,-1,-1,-1,9.25,9.25,9
16000094,8.8,6,8.4,7.75,8.5,7.75,-1,-1,-1
16000095,9.4,6.5,5.8,8.25,8.75,4.75,-1,-1,-1
16000096,8,7,9.4,-1,-1,-1,8.25,7.75,9.5
16000097,9.8,7,9.2,9.75,7.75,8.25,-1,-1,-1
16000098,9.2,8,8.8,7.5,8.25,6.75,-1,-1,-1
16000099,8.8,8.5,9,-1,-1,-1,7,8.75,9
16000100,9,8,6.8,7.5,8.75,8.75,-1,-1,-1
16000101,9.4,7.25,8.4,6,7,7.25,-1,-1,-1
16000102,9.8,7.75,7.6,6.5,9,8.75,-1,-1,-1
16000103,7,8,4.6,-1,-1,-1,9.5,8.75,9.5
16000104,8.2,8.25,7,-1,-1,-1,7.75,9.75,9.5
16000105,8.4,8.5,7.4,-1,-1,-1,5,7,8.75
