SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
23000001,5.6,7,5,-1,-1,-1,4.5,6.75,7.75
23000002,7.6,6.5,5.6,5.75,6.75,4.5,-1,-1,-1
23000003,7.8,6.25,5.4,8.25,7.75,5.5,-1,-1,-1
23000004,9.2,7,9.2,8.25,8.25,7,-1,-1,-1
23000005,9.2,6.5,4.8,8.25,8.75,5.25,-1,-1,-1
23000006,9,7.25,7.8,-1,-1,-1,7,6.5,8.25
23000007,8.2,8.25,7.8,-1,-1,-1,3.75,7.25,8.25
23000008,9.2,6.25,5.4,7.75,9,5,-1,-1,-1
23000009,8,8,8.4,-1,-1,-1,6.25,6,7.5
23000010,8.2,7.25,8.8,-1,-1,-1,2.75,6.25,7
23000011,7.8,7.5,6.8,-1,-1,-1,5.75,7.75,8
23000012,7.6,8,8.6,-1,-1,-1,5.25,7,8
23000013,9,8,7.6,-1,-1,-1,6.5,8,8.25
23000014,8,6,7.8,7.75,6.5,4.5,-1,-1,-1
23000015,8.2,7.25,4.4,-1,-1,-1,3.25,7,6.25
23000016,8.4,8.5,9.6,-1,-1,-1,7.5,7.75,8.25
23000017,8,6.5,6,7.25,4.75,3.25,-1,-1,-1
23000018,9.2,6,5,8.5,8,5,-1,-1,-1
23000019,7.6,6,3.6,7.25,7.75,5,-1,-1,-1
23000020,9,7.5,4.6,8.75,8,5.5,-1,-1,-1
23000021,4.6,7,3.6,-1,-1,-1,7.25,8.5,6.75
23000022,7.2,6,4.8,-1,-1,-1,6,7.5,8.25
23000023,6.6,7.5,5.2,-1,-1,-1,9.75,7.5,7.25
23000024,4.6,4.5,2.4,-1,-1,-1,3.75,6.5,5.75
23000025,7,7.25,4.4,8,8.5,5.75,-1,-1,-1
23000026,6.8,6.25,5.2,-1,-1,-1,4.25,7,7
23000027,7.6,8.5,6.6,-1,-1,-1,5.5,6.75,7.5
23000028,8.4,7.5,9.4,-1,-1,-1,8,7.5,8.5
23000029,8.8,8,5.6,5.75,8.75,9.75,-1,-1,-1
23000030,7,7.75,6.8,-1,-1,-1,3.5,6.25,7
23000031,5.8,8.5,5.6,-1,-1,-1,9.75,7.5,8.75
23000032,5,8,4.8,-1,-1,-1,9.75,8.5,7.75
23000033,7.4,7.5,9.2,-1,-1,-1,5.5,8,7.25
23000034,9.8,6.75,5.6,8.25,9.5,6,-1,-1,-1
23000035,7,4,6.6,7.25,4.25,4.5,-1,-1,-1
23000036,8.6,7.75,8.6,-1,-1,-1,5.5,7.5,8.25
23000037,8.6,7.25,6.2,-1,-1,-1,10,9.5,9.25
23000038,8.6,5.5,2.6,2.75,7.5,7,-1,-1,-1
23000039,4.8,7.75,5.8,-1,-1,-1,8.75,8.5,7.25
23000040,5,7,4,-1,-1,-1,7.25,8.25,7
23000041,7.6,7.5,5,-1,-1,-1,9.25,7.75,7.75
23000042,3.2,7,3.2,-1,-1,-1,4.5,6.5,8.25
23000043,7.8,8.5,6.6,-1,-1,-1,10,9,9.25
23000044,8.6,6.5,5,4.5,7.25,9,-1,-1,-1
23000045,8,6,4.2,6.25,6.25,5.5,-1,-1,-1
23000046,6.6,6,5.2,-1,-1,-1,4.5,6.25,7.5
23000047,8.4,7,7.2,-1,-1,-1,5.25,6.5,8
23000048,7.8,7.25,4.2,4.5,8.5,9.5,-1,-1,-1
23000049,9,6.5,5.2,3,9.25,9.5,-1,-1,-1
23000050,8.4,6.75,5.2,7.25,9,7.5,-1,-1,-1
23000051,9.8,6.25,6.2,8.25,9.25,6.75,-1,-1,-1
23000052,9.2,7,8.8,-1,-1,-1,6.25,9,8.75
23000053,8.4,7.25,5.6,-1,-1,-1,4,6.75,7.5
23000054,8.2,6.25,6.8,7.25,5,4.5,-1,-1,-1
23000055,8.2,6.75,9.2,-1,-1,-1,6,8.5,8.5
23000056,8.6,6,4.2,7.75,7,5,-1,-1,-1
23000057,9.2,7.5,5.6,6.75,9.5,9.75,-1,-1,-1
23000058,4.6,7.5,3.6,-1,-1,-1,5.25,6.75,4.75
23000059,6.6,7.75,8.4,-1,-1,-1,8.5,9.25,8.25
23000060,8.4,6.25,8.6,-1,-1,-1,6,7.75,7.75
23000061,9.6,5.5,4.8,5,9.75,9.75,-1,-1,-1
23000062,6.2,7,3.4,5,4,3,-1,-1,-1
23000063,8,7.75,6.4,-1,-1,-1,7.5,8,8.75
23000064,8.8,6.75,3.4,8,8,3.5,-1,-1,-1
23000065,8,8.25,6,-1,-1,-1,7.75,9,7.5
23000066,8.4,5.75,7.2,7,3.5,4.5,-1,-1,-1
23000067,6.2,6.75,4.4,-1,-1,-1,2.75,6.25,7.5
23000068,6.8,5.5,4.2,4.25,4.5,2,-1,-1,-1
23000069,7,7.5,7.6,-1,-1,-1,4.75,6.75,7.5
23000070,8.2,6.5,4.8,8,8,4.75,-1,-1,-1
23000071,9,6.75,9,7,5.75,6.25,-1,-1,-1
23000072,8.6,5,8.4,7.75,3.25,2.25,-1,-1,-1
23000073,8.8,7.5,5.8,7.75,8.5,6.25,-1,-1,-1
23000074,8.2,7,7,-1,-1,-1,6.5,6.75,9.5
23000075,6,7.25,7.8,-1,-1,-1,9,8,7.75
23000076,8.8,6.5,4.4,8,8.5,6.25,-1,-1,-1
23000077,8.2,6.25,6.8,-1,-1,-1,4.5,6.75,7
23000078,8.6,6.25,4.4,8,5.25,4.5,-1,-1,-1
23000079,8.6,6.5,8.4,-1,-1,-1,3.75,7.25,6
23000080,8.6,6.25,8.4,6.5,5.5,6.5,-1,-1,-1
23000081,8.8,6.75,8.2,8.5,6.75,4.5,-1,-1,-1
23000082,9.8,7,6.2,8.5,10,6.75,-1,-1,-1
