SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
26000001,8.8,6.5,5,6,9.25,8.75,-1,-1,-1
26000002,8.8,8.5,9,-1,-1,-1,6,7.25,8
26000003,9.6,6.5,-1,7.75,8.25,3.75,-1,-1,-1
26000004,8.2,-1,-1,-1,8.25,8.5,-1,-1,-1
26000005,9,9,9,-1,-1,-1,7,8.75,9.75
26000006,1,6.75,6.4,-1,-1,-1,7,7.25,7.5
26000007,9.2,7.75,9,-1,-1,-1,7.75,8.25,8.5
26000008,8.4,8.5,8.4,-1,-1,-1,4.5,6.5,7.75
26000009,9.4,9,8.4,-1,-1,-1,5.5,6.75,7.5
26000010,9.2,9,8.6,-1,-1,-1,4,5.25,8.5
26000011,9.6,8.75,9.4,-1,-1,-1,7.5,7.75,9.5
26000012,9.4,7,6,7.5,9.25,5,-1,-1,-1
26000013,9,9,7.6,-1,-1,-1,6.25,7.5,9.5
26000014,6.2,8.25,5.2,-1,-1,-1,7.75,9,9.5
26000015,8.6,8.75,8.6,-1,-1,-1,4.25,7.25,8.5
26000016,8.6,-1,9,8.75,2.5,-1,-1,-1,-1
26000017,9.2,8,6,8.75,9,5.25,-1,-1,-1
26000018,9.2,8,7.4,-1,-1,-1,5.25,7.25,8.75
26000019,7.6,-1,-1,4.5,7.25,6.5,-1,-1,-1
26000020,8.6,6.75,6.4,4.5,9,9,-1,-1,-1
26000021,8.6,7.5,4.8,8.5,9.25,4.75,-1,-1,-1
26000022,9.2,6.5,-1,6.75,7.25,6.5,-1,-1,-1
26000023,8,7,8.2,7.75,8.75,5.25,-1,-1,-1
26000024,6.8,8,5.6,-1,-1,-1,8.75,7.75,7.5
26000025,7.4,-1,-1,7.25,8.25,-1,-1,-1,-1
26000026,9,-1,-1,7.75,8.75,-1,-1,-1,-1
26000027,6.4,8.75,4.8,-1,-1,-1,6.75,8.25,8
26000028,9.2,8.25,9,9,5,6.5,-1,-1,-1
26000029,8.8,4,9.6,8.5,7.75,6,-1,-1,-1
26000030,3,6.5,5.6,-1,-1,-1,-1,-1,-1
