SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
27000001,7.6,5.25,3,-1,-1,-1,7.25,7.5,9
27000002,8.6,7.5,6.4,-1,-1,-1,9.25,7.25,9.25
27000003,6.6,8,3.4,-1,-1,-1,9.25,8.5,9.25
27000004,8,6.25,4,6.25,8,4,-1,-1,-1
27000005,6,6.25,4,-1,-1,-1,5.25,8,9
27000006,3.2,5.25,3.6,-1,-1,-1,6.75,5.5,7.5
27000007,8.2,8.25,5.6,-1,-1,-1,9,8.25,9.5
27000008,8,6,2.6,-1,-1,-1,6.5,8.25,8.75
27000009,7.4,7.75,4.8,6,6.5,4.5,-1,-1,-1
27000010,5.6,8,4.4,-1,-1,-1,7.5,8,8.5
27000011,7.4,7,5.4,-1,-1,-1,7.25,8.75,9.5
27000012,5,6.5,4.2,-1,-1,-1,5.25,7,7.75
27000013,9.6,7.75,6.2,8,8.75,8.75,-1,-1,-1
27000014,5.4,7,3.4,-1,-1,-1,4,7.75,8
27000015,7,7.5,4.2,-1,-1,-1,5.75,8.5,9.75
27000016,7.8,8.5,6,-1,-1,-1,6,6.75,9.25
27000017,7.8,8.25,3.2,-1,-1,-1,9,9,9
27000018,7,8.25,5,-1,-1,-1,7.5,7,8.75
27000019,5.8,7.5,3,-1,-1,-1,5.25,8.25,9
27000020,7.4,8.75,4.4,-1,-1,-1,8.75,9.25,8.5
27000021,8,7.75,8.4,7.75,6.25,5.5,-1,-1,-1
27000022,8,7,5.4,6.75,6,3.5,-1,-1,-1
27000023,6,8.75,3.6,-1,-1,-1,9,8.75,9.25
27000024,8.8,6,3.8,7.5,7.75,5.75,-1,-1,-1
27000025,8.8,6.75,4.6,-1,-1,-1,6.5,7,9
27000026,8.6,6.25,5,8,7.5,6.5,-1,-1,-1
27000027,6.6,7.25,4.6,-1,-1,-1,5,5.75,8.5
27000028,6.4,8,3.4,-1,-1,-1,6.5,7.5,7.25
27000029,6.4,5.5,3.4,-1,-1,-1,3.5,7.75,8.75
27000030,5,8.5,3.6,-1,-1,-1,8.75,9.25,8.5
27000031,9.2,6.25,7.8,7.5,6.5,6.25,-1,-1,-1
27000032,7.6,7.5,3.8,-1,-1,-1,9.25,9.25,9
27000033,9.4,7,4.4,7.5,8.5,4.5,-1,-1,-1
27000034,6.2,7.75,2.6,-1,-1,-1,8.5,9.25,8.75
27000035,6.6,8,5.2,-1,-1,-1,8.25,9,9.5
27000036,7.4,6.5,2.6,-1,-1,-1,4.5,6.75,9.25
27000037,7,7.25,3.6,-1,-1,-1,8.75,9,9
27000038,7,5.25,5.6,-1,-1,-1,4.75,7,9.5
27000039,9.2,8,7.4,9,5.75,3.75,-1,-1,-1
27000040,3.6,6.25,3.2,-1,-1,-1,8.25,8.5,8.5
27000041,4.8,6.25,3.4,-1,-1,-1,3.75,5.5,8
27000042,8.6,7,5.4,5.5,8.75,6.75,-1,-1,-1
27000043,7.6,6.5,5,-1,-1,-1,4.5,8,8.25
27000044,8.8,5.75,8.2,7.75,5.5,6,-1,-1,-1
27000045,-1,8.25,-1,-1,-1,-1,-1,-1,-1
27000046,6,8.5,2.8,-1,-1,-1,8.75,7.75,8.5
27000047,9,7.5,8.2,9.5,6.75,6.5,-1,-1,-1
27000048,6.2,7.5,3.4,5.5,5.5,5.25,-1,-1,-1
27000049,6.8,6.5,3.8,-1,-1,-1,8.25,7.5,9.75
27000050,8,7.75,5,-1,-1,-1,7.25,6.25,8.5
27000051,7.8,7.75,5.4,-1,-1,-1,9.5,7.25,9.75
27000052,7.8,6.75,4.2,5.75,5.25,4.5,-1,-1,-1
27000053,9,6,4.8,8.75,9.25,7,-1,-1,-1
27000054,7,8,4.6,-1,-1,-1,8.75,8.25,8.75
27000055,8.2,8,7.2,-1,-1,-1,5.75,8.25,8.25
27000056,9.2,7.5,4.2,9,9.25,6,-1,-1,-1
27000057,8.6,6,2.6,7.75,8.25,4.75,-1,-1,-1
27000058,7.2,7,6.6,6,6,4.5,-1,-1,-1
27000059,6.2,7,3.4,-1,-1,-1,7.5,8.5,8.75
27000060,5.6,6.25,2.6,-1,-1,-1,6,7.5,7.5
27000061,8.4,6.25,4.2,-1,-1,-1,7,7.5,8.75
27000062,8,6.75,2.8,-1,-1,-1,8.25,7,9.75
27000063,6,6.5,4.4,-1,-1,-1,9.25,8.25,9.25
27000064,6.2,7.25,3.2,-1,-1,-1,8,7.25,8.5
27000065,7.6,6.25,4,-1,-1,-1,5,7.75,6.25
27000066,8.6,6.5,5.4,7.5,7.25,7.25,-1,-1,-1
27000067,6.6,6.25,3.6,-1,-1,-1,6,8,9
27000068,8.2,7.5,5,-1,-1,-1,6.75,8.5,8.75
27000069,9.4,7.5,4.6,7.75,9,6.25,-1,-1,-1
27000070,7.2,6.75,2.8,-1,-1,-1,3.75,8.25,9
27000071,5.6,8.25,4,-1,-1,-1,7.5,9.75,9
27000072,7.8,7.5,5,-1,-1,-1,4.25,6.5,6.75
27000073,6.2,7.5,5.2,-1,-1,-1,3.75,7,7.5
27000074,9.6,6.5,3.4,9.5,8.5,5.75,-1,-1,-1
27000075,6.8,7,3.8,-1,-1,-1,5.5,7.25,9
27000076,8.8,8.75,7.2,7.5,7.75,6.75,-1,-1,-1
27000077,6.4,6.5,3,-1,-1,-1,5.25,7.25,8.5
27000078,8.8,5.75,2.6,7.25,6.25,5,-1,-1,-1
27000079,7.8,6.25,2.4,6.5,5.25,5,-1,-1,-1
27000080,4.6,7,2,-1,-1,-1,3.5,6.5,8.5
27000081,7,6,4.4,-1,-1,-1,8.25,9,8.75
27000082,3.6,6.5,4.2,-1,-1,-1,5.75,8.25,9
27000083,7.4,6,3.8,-1,-1,-1,4.5,7.25,8.5
27000084,7.4,6.5,2.8,-1,-1,-1,5.5,8,8.75
27000085,6.6,8.25,2.8,-1,-1,-1,7.75,9.5,9.25
27000086,8.6,7.25,4,-1,-1,-1,7.75,8.25,9.5
27000087,8.4,7.75,6.8,5.75,7.5,4,-1,-1,-1
27000088,7.2,9,5.2,-1,-1,-1,9.5,9.75,9.5
27000089,5.6,7.75,3.6,-1,-1,-1,6.5,8,9.25
27000090,7.2,7.5,3.2,-1,-1,-1,5.25,8.5,8.25
27000091,7.6,7,4.4,-1,-1,-1,6.25,7.75,8
27000092,5.8,6.75,3.4,-1,-1,-1,2.75,5.5,5.75
27000093,7.4,7,3,-1,-1,-1,7.5,8.75,9.25
27000094,7.6,8.25,3.4,-1,-1,-1,8.5,8.25,9.5
27000095,7,8.5,2.4,-1,-1,-1,6,7.5,9
27000096,7.4,8.75,4,-1,-1,-1,7.5,7.25,9.75
27000097,8.4,7.5,5,4.5,8,7,-1,-1,-1
27000098,8.8,6.75,3.6,7.5,8.25,4.5,-1,-1,-1
27000099,5.4,6.25,2.8,-1,-1,-1,4.5,6,7.5
27000100,8.6,6.75,4.2,8.5,8,5,-1,-1,-1
27000101,7.2,7.25,3.8,-1,-1,-1,9.25,9.25,9.5
27000102,9.2,7,5.4,7.25,7.5,4.25,-1,-1,-1
27000103,7.6,6.5,3.8,6.75,6,4,-1,-1,-1
27000104,9,7.25,4.2,7.75,8.5,7,-1,-1,-1
27000105,5.2,6.75,2.6,-1,-1,-1,5,7.25,7
27000106,8.8,6.5,3.8,7.75,8.25,6.75,-1,-1,-1
27000107,8.8,8.75,8.2,-1,-1,-1,6.5,8.5,8.5
27000108,8.6,7.75,3.6,6.5,5.25,4,-1,-1,-1
27000109,6.2,7.75,4.6,-1,-1,-1,6.75,7.25,8.25
27000110,8,6.5,3.2,-1,-1,-1,6.5,8.5,8.5
27000111,9.4,6.75,8.4,8.5,8.25,6.5,-1,-1,-1
27000112,7.8,7.5,4.4,5.5,7.75,7.25,-1,-1,-1
27000113,5.8,8,3.6,-1,-1,-1,6.5,7.5,8.5
27000114,6.8,6.75,3.4,-1,-1,-1,8,8.75,9.25
27000115,7.4,6.25,3.8,7.75,7.75,6.5,-1,-1,-1
27000116,6,8.25,3.8,-1,-1,-1,4.75,8.25,8.5
27000117,4.8,8,3,-1,-1,-1,8.25,9,8.75
27000118,5.4,7.25,2.8,-1,-1,-1,6.5,7.75,8.25
27000119,6,6.5,4.8,-1,-1,-1,4.5,7.75,9
27000120,3.2,7,3,-1,-1,-1,4.25,6,8
27000121,7.2,6.75,4.4,-1,-1,-1,8.5,8.5,9.5
27000122,2.4,6,3.8,-1,-1,-1,3.75,7.5,8.25
27000123,9.2,7.25,5.8,5.75,9.5,9.5,-1,-1,-1
27000124,7.8,7,4.8,6.75,7.75,5.75,-1,-1,-1
27000125,8,7,3.4,6.25,7.25,5,-1,-1,-1
27000126,6.4,7.25,3.2,-1,-1,-1,6.5,8,9
27000127,4,7.25,2.6,-1,-1,-1,6.5,7.75,8.5
27000128,9.4,7,4.6,8.5,7.75,5.5,-1,-1,-1
27000129,7.4,7,2.6,-1,-1,-1,9,8,9.25
27000130,5.6,9,4.6,-1,-1,-1,9.75,9.25,9
27000131,6.2,6,4,-1,-1,-1,5.75,7.5,8.25
27000132,4.8,7,5.8,-1,-1,-1,6.25,8.75,8.75
27000133,7.6,7.5,4.8,4.5,4.75,3.25,-1,-1,-1
27000134,6,5.75,4,-1,-1,-1,5.5,6.25,9.5
27000135,9.4,8,8.2,8.25,7,5.5,-1,-1,-1
27000136,7,7,3.8,-1,-1,-1,4.25,7.75,7.75
27000137,6,8.5,4,-1,-1,-1,9.25,9.5,9.75
27000138,9,6,4.6,9,8.75,3.75,-1,-1,-1
27000139,9.2,7.25,3.8,6.5,7.5,8.75,-1,-1,-1
27000140,9.2,7.25,4.6,7.5,8.5,5.5,-1,-1,-1
27000141,8.2,8.25,5.2,-1,-1,-1,8.75,8.25,9.75
27000142,8.4,8.25,5.6,-1,-1,-1,9.25,8.5,9.5
27000143,6,7.5,4.2,-1,-1,-1,6,8.25,9
27000144,7,6.75,3.8,4.75,5,7.75,-1,-1,-1
27000145,6.8,6.75,4,-1,-1,-1,6,7.75,7.5
27000146,8,8.5,4,-1,-1,-1,8.5,8.75,9.5
27000147,9,9,8.2,-1,-1,-1,4.5,7.25,8.25
27000148,6,7.75,5,-1,-1,-1,5.75,6.75,8.5
27000149,5.6,8.25,3.2,-1,-1,-1,6.5,6.75,8.75
27000150,5,8,3.8,-1,-1,-1,6.5,7.75,7.5
27000151,9.2,8.75,8,-1,-1,-1,8.25,9.25,10
27000152,6.8,6.75,4,-1,-1,-1,5,7.75,9.5
27000153,9.2,7,3.4,7,8.5,2.75,-1,-1,-1
27000154,4.8,8,3.6,-1,-1,-1,6,7.75,7.75
27000155,9,6.75,6,9,8.25,6.5,-1,-1,-1
27000156,8,9,7.6,-1,-1,-1,7,8.5,8.5
27000157,5.2,5.5,3.4,-1,-1,-1,5.25,5.75,8.25
27000158,6.8,6.25,4.6,-1,-1,-1,4.75,8,6.75
27000159,8.8,3.75,6.2,7.75,3.25,5,-1,-1,-1
27000160,8.2,7.75,5.2,6.25,4.75,5.5,-1,-1,-1
27000161,5,6.75,3.2,-1,-1,-1,6,5.5,8.75
27000162,6.8,8.5,4.2,-1,-1,-1,6.75,8,9
27000163,7.4,7,4.2,-1,-1,-1,4.5,7.5,9.5
27000164,6.4,7.5,4,-1,-1,-1,4.5,7.5,8.75
27000165,6.2,6.25,4.4,-1,-1,-1,6.75,7.75,8.25
27000166,8.2,6,8,8.5,4,3,-1,-1,-1
27000167,8.2,7.75,4.8,7,6.75,5.75,-1,-1,-1
27000168,7.2,8.25,3.4,-1,-1,-1,8.25,9,8.5
27000169,7.8,7.75,6.4,5.5,8.25,7.5,-1,-1,-1
27000170,4.8,5.5,1.4,-1,-1,-1,3.25,7.5,8.25
27000171,4.8,6.75,2.4,-1,-1,-1,5.25,6.5,8.5
27000172,8.2,8.5,5,-1,-1,-1,8.5,8.5,7.75
27000173,8,8.5,6,-1,-1,-1,8,8,8.25
27000174,8.2,8,2.4,-1,-1,-1,7,6.25,9
27000175,5.2,5.75,3.2,-1,-1,-1,4,8.25,8.75
27000176,5.4,5.75,3.8,-1,-1,-1,4.5,8,9.25
27000177,6.2,8,3.2,-1,-1,-1,8,7.5,9.5
27000178,6,7.25,3.8,-1,-1,-1,7.5,6.5,9.5
27000179,5,7,2.6,-1,-1,-1,5.25,7.25,9
27000180,7.4,8.25,4.4,-1,-1,-1,7,8.75,9.75
27000181,5.6,8,4.4,-1,-1,-1,8.5,8.75,8.25
27000182,5.6,7.25,3,-1,-1,-1,5.5,6.5,7.5
27000183,6,8.25,3.2,-1,-1,-1,7,6.75,8.5
27000184,6.2,7.75,3.6,-1,-1,-1,3.5,7.5,8.75
27000185,4,6,1.8,-1,-1,-1,5.25,7.5,8.5
27000186,9,7.75,5.4,8,8,5.25,-1,-1,-1
27000187,7.2,8.75,4.8,-1,-1,-1,8.5,9.5,9.5
27000188,7.2,6.5,4.2,-1,-1,-1,5,7,8.25
27000189,6,5.5,2.6,-1,-1,-1,4,5.75,8
27000190,8.4,8,6.2,6.75,6.5,6.75,-1,-1,-1
27000191,4.4,8,3.2,-1,-1,-1,9.25,8.75,9.25
27000192,8.2,9,6.8,5,6.75,6,-1,-1,-1
27000193,7.4,5.75,5,-1,-1,-1,8.5,8,8.5
27000194,6.2,4,2.6,-1,-1,-1,3.5,6.25,6.75
27000195,7.4,6,5.2,-1,-1,-1,5.75,8.25,9.25
27000196,5.6,7.25,4.2,-1,-1,-1,6,7.5,9.5
27000197,7.4,7.75,4.2,6.75,6.25,6.25,-1,-1,-1
27000198,5.2,6,3.4,-1,-1,-1,4.5,6.75,7.75
27000199,6.4,8.25,3.8,-1,-1,-1,6,8.25,8
27000200,5.2,6.5,4,-1,-1,-1,4.5,7,7.25
27000201,7.2,7.75,4.2,-1,-1,-1,6.5,8,9.75
27000202,6.2,6.5,4.4,2.75,4,5.75,-1,-1,-1
27000203,7.2,6.75,3.6,-1,-1,-1,5.5,6.5,8.75
27000204,7.8,7.75,3.2,-1,-1,-1,8.25,6.25,9
27000205,9.2,6.75,4.6,6.75,4,2.5,-1,-1,-1
27000206,5.8,7.5,3.2,-1,-1,-1,7,7.75,7.5
27000207,6,7.25,3.2,-1,-1,-1,4.5,7,8
27000208,7.6,8,4.8,-1,-1,-1,7.75,8.5,9.75
27000209,6,5.75,2,-1,-1,-1,6.5,7,8.75
27000210,8,8,3,-1,-1,-1,8.75,8.75,9.5
27000211,6.4,8.5,5,-1,-1,-1,9.25,8.75,8.75
27000212,6.4,7.5,2.4,-1,-1,-1,3.75,7.5,8
27000213,6.6,7.5,5.2,-1,-1,-1,8.25,7.75,10
27000214,5,6.5,3,-1,-1,-1,5.25,8,8.75
27000215,9,6,3.6,8,8.25,3,-1,-1,-1
27000216,7.6,5,2.8,7.75,6.5,5.25,-1,-1,-1
27000217,6.4,7.5,3.2,-1,-1,-1,8.5,8.5,9.75
27000218,6,8.25,3,-1,-1,-1,7.25,8,8.25
27000219,8,7.5,4.6,-1,-1,-1,4.75,6.75,9
