SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
28000001,4.2,2,-1,-1,-1,-1,3,7.5,-1
28000002,4.6,7,5.4,-1,-1,-1,2.5,5.75,6.75
28000003,8.8,8.5,7.4,-1,-1,-1,5,6.25,7.75
28000004,7.2,6.5,5.2,4.25,2.75,4.25,-1,-1,-1
28000005,8,7.5,4.4,-1,-1,-1,4.5,5.25,6.75
28000006,8,8.25,7.8,-1,-1,-1,4.5,6.5,8.25
28000007,3.2,7.08,-1,-1,-1,-1,3.5,6.25,-1
28000008,8.2,7,3.6,2.5,8.75,9,-1,-1,-1
28000010,8.4,8.5,7.2,-1,-1,-1,3.25,6.5,8.25
28000011,7.4,9,7.2,-1,-1,-1,5,5.75,8.5
28000012,8.2,7.75,6.4,-1,-1,-1,5.5,8,8.25
28000013,7.8,8.5,6.2,-1,-1,-1,5,6.75,8
28000014,4.6,7,3.6,3.5,3.25,3.75,-1,-1,-1
28000015,7.8,7.5,3,7.25,8,3.5,-1,-1,-1
28000016,7.6,9,6.8,-1,-1,-1,6.75,7,7.75
28000017,8.4,8.5,5.2,-1,-1,-1,3.25,6,6.5
28000018,8,7.5,6.4,-1,-1,-1,5,6.25,8
28000019,8.2,8,7,-1,-1,-1,6.25,7.75,7
28000020,4.4,7,-1,-1,-1,-1,6.75,8.5,-1
28000021,4.4,4,-1,-1,-1,-1,5.75,7.5,-1
28000022,8,5,4.4,6.75,8.25,5,-1,-1,-1
28000023,4.6,4,-1,-1,-1,-1,4.75,6.5,-1
28000024,7.8,5.25,4,6.75,7.75,4,-1,-1,-1
28000025,3.8,5.5,-1,-1,-1,-1,5,7.25,-1
28000026,7.8,7.75,3.8,6.75,6,3.75,-1,-1,-1
28000027,7,8.75,6,-1,-1,-1,2,6.5,6.75
28000028,7.2,8,6,-1,-1,-1,5,5.75,6.75
28000029,8.8,9,8.2,-1,-1,-1,6.75,6.25,7.5
28000030,7.6,8,5,-1,-1,-1,6,6.75,8
28000031,8.2,7.75,4.6,8.75,9,5.5,-1,-1,-1
28000032,8.6,8.5,6.2,-1,-1,-1,5.75,8.25,8.75
28000033,8.6,8.5,5.6,-1,-1,-1,3.25,6.25,6.5
28000034,7.2,7.5,7.2,-1,-1,-1,5,7.25,7.5
28000035,6,6.5,2.6,5.75,6,3.75,-1,-1,-1
28000036,4.2,5.25,-1,-1,-1,-1,4.25,7.25,-1
28000037,8.2,6.5,6.2,8.5,4.75,4.25,-1,-1,-1
28000038,8.4,7.5,8.2,7.75,5.5,4.75,-1,-1,-1
28000039,9.2,7.25,3.6,8.25,7,5.5,-1,-1,-1
28000040,8.8,8,8.8,8.75,4,6.5,-1,-1,-1
28000041,8.8,8.5,5.6,8.25,2.75,5.75,-1,-1,-1
28000042,7.6,8.5,4.8,-1,-1,-1,5.75,6.5,7.75
28000043,7.6,8.5,4.6,5,8.5,7.5,-1,-1,-1
28000044,8.4,7.75,8.6,9.25,4.25,6.25,-1,-1,-1
28000045,7,6,4.8,3.75,2.5,3,-1,-1,-1
28000046,8,7.75,5,-1,-1,-1,6.5,5.75,7.5
28000047,7.2,7.75,6,-1,-1,-1,5.25,6.25,7.5
28000048,8.4,8.25,5.6,-1,-1,-1,4.5,6.5,7.75
28000049,4,8.5,5.2,-1,-1,-1,9,9,8.75
28000050,9,7.5,6.4,8.75,3.5,4.75,-1,-1,-1
28000051,7.8,8,4.6,-1,-1,-1,3.5,6.75,7.75
28000052,5.4,7.5,2.8,-1,-1,-1,4.75,3.75,5.75
