SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
29000001,8.4,7.25,5.2,4,5.25,5,-1,-1,-1
29000002,9,6.5,5.2,9.25,9,4.25,-1,-1,-1
29000003,8.2,7.25,4,7,5.75,5.25,-1,-1,-1
29000004,6.8,7.25,3,3,4.5,3.5,-1,-1,-1
29000005,8.6,7.25,3.4,8.75,8.75,4.5,-1,-1,-1
29000006,9,7,4.6,3.75,8.5,8.25,-1,-1,-1
29000007,8.6,6,2.4,6.5,4.75,5,-1,-1,-1
29000008,7.8,5.5,2.6,5,6,5,-1,-1,-1
29000009,9.2,8,6.4,6,6.75,6.75,-1,-1,-1
29000010,7.6,7.5,3.8,6.25,5.75,4,-1,-1,-1
29000011,8.8,8.5,6.8,8,5.75,4.5,-1,-1,-1
29000012,7.2,7.75,4.2,5.25,5.75,6.25,-1,-1,-1
29000013,8.2,8.75,4.2,6,7.25,6.75,-1,-1,-1
29000014,7.6,6.5,4.2,6.5,4.5,4.75,-1,-1,-1
29000015,8.2,7.75,3.8,7.5,4.5,4.25,-1,-1,-1
29000016,7.8,7.75,5.6,4.5,5.25,6.5,-1,-1,-1
29000017,9.2,8,7.4,8.25,6,7,-1,-1,-1
29000018,8.4,8.5,6.4,7.5,7.25,5.75,-1,-1,-1
29000019,9.2,7.25,3.8,7.25,7.5,4.25,-1,-1,-1
29000020,8.4,7,3.4,6.25,4.75,6,-1,-1,-1
29000021,7,7,2.6,5.75,5.25,6.75,-1,-1,-1
29000022,8.8,6.75,4,9,8.25,6,-1,-1,-1
29000023,5,8.5,3.8,-1,-1,-1,6,7.75,9
29000024,8.2,7.5,4.6,8,7.75,5,-1,-1,-1
29000025,6.2,7.5,3.6,-1,-1,-1,4,6.5,9
29000026,5.4,7.75,3.8,-1,-1,-1,5.25,7.25,7.5
29000027,6.6,6.5,4,4.75,4.5,5.5,-1,-1,-1
29000028,6.6,5,2.2,-1,-1,-1,3,7.25,7
29000029,8.6,6.5,4,8.75,8,4.75,-1,-1,-1
29000030,6.4,6.25,3.6,4.5,6.25,5.25,-1,-1,-1
29000031,7.6,5.75,3.4,5.5,3.25,4,-1,-1,-1
