SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
35000001,8.6,7.5,3.6,6.75,7.25,4.25,-1,-1,-1
35000002,7.4,9.25,7,-1,-1,-1,9.25,9.25,9.25
35000003,6.8,7.75,6.4,-1,-1,-1,2.75,6,8.25
35000004,8.2,7.5,6,-1,-1,-1,5.75,6,8
35000005,8,7.5,2.4,4.75,7.5,5.25,-1,-1,-1
35000006,9,6.75,5.8,7.5,8,4,-1,-1,-1
35000007,8,7.5,4.4,-1,-1,-1,4.25,7.25,8.25
35000008,5.6,7.25,3.6,-1,-1,-1,3.5,6.75,6.5
35000009,6.4,8.25,5,-1,-1,-1,3.5,7.25,7.75
35000010,3,4,-1,-1,-1,-1,4.5,7,-1
35000011,8,7,4.8,8,5.75,4.25,-1,-1,-1
35000012,7.6,6.25,4.2,7.5,7.25,5.25,-1,-1,-1
35000013,4.4,5.25,-1,-1,-1,-1,4,5.5,-1
35000014,9,6.25,5.6,8.5,8.5,6.5,-1,-1,-1
35000015,7.2,6.25,5.8,6.25,6.75,5.25,-1,-1,-1
35000016,7.2,6.5,4,6.75,6,4.75,-1,-1,-1
35000017,9.2,7.5,7,8.75,8.25,4.5,-1,-1,-1
35000018,9,6.25,6.8,5.5,8.5,8.75,-1,-1,-1
35000019,4.6,6,3,-1,-1,-1,3.5,7,4.5
35000020,7.8,6.75,3,4,5.75,6.25,-1,-1,-1
35000021,6.8,6.75,5,-1,-1,-1,3.25,8,8.5
35000022,7.2,6.75,4.8,-1,-1,-1,4.25,5.75,8.5
35000023,4.4,6.75,3.4,-1,-1,-1,3,6.5,7.25
35000024,6.6,6.75,3,-1,-1,-1,5,7.5,7.75
35000025,8,6.25,4.4,8.75,8.25,5.25,-1,-1,-1
35000026,2.2,0.5,-1,-1,-1,-1,5,3.25,-1
35000027,7.4,6.75,5.2,5.5,6.5,5.5,-1,-1,-1
35000028,9,6,5,7.25,8.75,5.5,-1,-1,-1
35000029,7.6,5.75,3.4,7,7.5,6,-1,-1,-1
35000030,4.6,5.75,3.8,3.5,3.25,2.5,-1,-1,-1
35000031,8.8,7.5,6.2,8,7.5,4,-1,-1,-1
35000032,8.8,8.25,6.6,-1,-1,-1,4,7.5,8.5
35000033,8.2,4.25,2.8,7.25,8,4.75,-1,-1,-1
35000034,7.2,6.25,4.2,7,7,6.25,-1,-1,-1
35000035,7.2,7.25,2.6,-1,-1,-1,7.5,8.5,9
35000036,5,7,4.4,-1,-1,-1,4.5,6.25,8.75
35000037,6.6,7.5,4.6,5.5,6.5,6.25,-1,-1,-1
35000038,8.8,7.25,4,7.25,7.75,5.75,-1,-1,-1
35000039,8.2,7.75,5,-1,-1,-1,6.5,7.75,9.75
35000040,7.4,8,5.4,7,6,5.5,-1,-1,-1
35000041,8.4,6.25,4.4,6.75,8.25,7.5,-1,-1,-1
35000042,7.2,6.5,3,-1,-1,-1,4.75,6,8
35000043,-1,4,-1,-1,-1,-1,6.25,3.75,-1
35000044,6.2,7,3.8,6.25,5.5,4.75,-1,-1,-1
35000045,8.4,6,5.4,6,7.75,5.75,-1,-1,-1
35000046,4,7,3.6,-1,-1,-1,4,6.75,7.75
35000047,6.8,6.25,1.8,-1,-1,-1,4.75,5.75,7.75
35000049,7.8,7.75,6.8,-1,-1,-1,4.5,6.5,8
35000050,-1,8.5,7.4,-1,-1,-1,8.25,-1,-1
35000051,8.8,7.5,5.4,6.5,7.75,8.5,-1,-1,-1
35000052,6.8,7.75,5.2,-1,-1,-1,6.25,7.25,8.5
35000053,8,6.5,5,6.25,7,5,-1,-1,-1
35000054,8.4,6.5,3.4,7.25,7.75,3.75,-1,-1,-1
35000055,8.2,6.75,7.8,7.25,7,4,-1,-1,-1
35000056,8.8,6.75,4.2,7,8.5,6.5,-1,-1,-1
35000057,7.6,3.5,7.2,7,7.5,6,-1,-1,-1
35000058,7.6,6.5,2.2,7,5.75,5.5,-1,-1,-1
35000059,8.6,7.5,3.2,7.75,8,6,-1,-1,-1
35000060,4.6,6,-1,-1,-1,-1,3.5,7.25,-1
35000061,4.8,6,1.6,-1,-1,-1,5,6.75,6.75
35000062,4.4,7.75,5.4,-1,-1,-1,5.5,6.25,9
35000063,8.4,6.5,4.2,7,8,7.25,-1,-1,-1
35000064,5.2,6.75,2.8,-1,-1,-1,4.5,-1,-1
35000065,7.6,5.5,2.2,6,6.25,1.75,-1,-1,-1
35000066,-1,7.75,-1,-1,-1,-1,9,8.75,-1
35000067,5.6,7.5,5,-1,-1,-1,5,6.75,9
35000068,8.2,6.25,5.2,7,8.25,5.5,-1,-1,-1
35000069,7.6,7.5,5,7.25,8,4.25,-1,-1,-1
35000070,8.8,8.25,6.4,8.25,6.25,5.5,-1,-1,-1
35000071,8.2,7.5,6,8.25,7,4.25,-1,-1,-1
