SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
36000001,9.2,7.75,8.6,7.75,7.5,7.25,-1,-1,-1
36000002,9,6,4.2,7,4.5,4.75,-1,-1,-1
36000003,6.4,6.25,5,-1,-1,-1,5.25,8,8.25
36000004,6.4,7.5,3.4,-1,-1,-1,7.25,7.75,9
36000005,8.4,8.25,8,-1,-1,-1,7.5,7.25,9.25
36000006,9,7.75,6,5,9,9.25,-1,-1,-1
36000007,9,7,5,7.5,3.5,5.5,-1,-1,-1
36000008,9.2,6.25,5.2,8.25,9.25,5.25,-1,-1,-1
36000009,9,6.75,9.6,7.5,8.75,7,-1,-1,-1
36000010,8,7.75,9.2,-1,-1,-1,6,8.25,8
36000011,7.4,8.25,4,-1,-1,-1,9,7.25,7.75
36000012,9,5.75,8,8.5,4.5,6.25,-1,-1,-1
36000013,9,6.75,5,6,9.25,9.5,-1,-1,-1
36000014,4.2,5,2.2,-1,-1,-1,2.75,5.25,6.25
36000015,9.2,8,8,8.25,6.75,5.25,-1,-1,-1
36000016,3.2,4.5,2.4,-1,-1,-1,5.5,6.25,7.75
36000017,7,7,7.8,5.5,6,5,-1,-1,-1
36000018,8,6,3.4,4,8,8.5,-1,-1,-1
36000019,6.6,5.25,3,-1,-1,-1,5.25,7.75,7.25
36000020,7.6,6.25,6.8,5.75,4,5.25,-1,-1,-1
36000021,8.8,5,6.6,7.5,9,4,-1,-1,-1
36000022,6,7,3.8,-1,-1,-1,4.25,6.75,8.75
36000023,6.2,8,3,-1,-1,-1,6.25,8.5,8.25
36000024,9,6,4,8,8.25,6,-1,-1,-1
36000025,4.2,4.75,3.6,-1,-1,-1,4,5.75,5.5
36000026,8.6,7.25,8.4,6.75,9,8.5,-1,-1,-1
36000027,8.2,7.25,7,5.75,7.25,8,-1,-1,-1
36000028,6.8,8,8.6,-1,-1,-1,6.5,7,8.75
36000029,8.4,7.5,8,8,7.25,6.5,-1,-1,-1
36000030,6.2,8,7,-1,-1,-1,5.5,8.25,8.75
36000031,5.6,6.75,3,-1,-1,-1,5.5,7.75,7.5
36000032,7.6,5.75,4.2,7,6.5,6.25,-1,-1,-1
36000033,5.6,5.25,3,-1,-1,-1,5,6.5,8.5
36000034,6.4,4,3.6,-1,-1,-1,6.25,7,8.5
36000035,3.2,6,2.8,-1,-1,-1,5.25,6.75,6.25
36000036,8.4,6,4.2,8.5,7.5,7.25,-1,-1,-1
36000037,8.6,5.75,4,7,5.5,4.75,-1,-1,-1
36000038,6.6,6,3,-1,-1,-1,5,8.25,8.25
36000039,8.4,8,7.8,3.75,8,9.5,-1,-1,-1
36000040,4.4,6.25,2.8,-1,-1,-1,4.25,6,6.75
36000041,7.8,7.75,6.6,7,7.75,7.25,-1,-1,-1
36000042,5,6.25,2.6,-1,-1,-1,3.5,5.5,6.25
36000043,9,6.25,9.2,7.5,6.25,5.25,-1,-1,-1
36000044,6,6.25,3.6,-1,-1,-1,4.75,7,7.25
36000045,5,7,1.6,-1,-1,-1,4.75,5.5,5
36000046,8.8,9,8.6,-1,-1,-1,7.25,8,9.5
36000047,8.6,6,5.4,8.75,8.75,5.75,-1,-1,-1
36000048,7.4,6.75,4.4,-1,-1,-1,5,7.5,8.5
36000049,4,6.25,3.2,-1,-1,-1,6.25,5.75,8.25
36000050,8.4,8.75,7.4,-1,-1,-1,9,7,8.75
36000051,7.2,7.75,8,-1,-1,-1,9,8.25,9
36000052,6.8,8.25,4.2,-1,-1,-1,8.25,9.25,9
36000053,5.2,5.75,2.4,-1,-1,-1,3.5,7.75,7.75
36000054,3.8,5.5,2.6,-1,-1,-1,3.75,6,6
36000055,5.2,4.75,3.4,-1,-1,-1,3.25,7.25,7.75
36000056,8,5.5,3.2,6.5,9.25,5,-1,-1,-1
36000057,8.8,7.75,6.8,8.75,9.25,6,-1,-1,-1
36000058,8,5.5,7.4,7,5,4,-1,-1,-1
36000059,3.4,5.75,2.2,-1,-1,-1,5.25,6.25,6
36000060,8,5.75,8.4,6.5,7,4.5,-1,-1,-1
36000061,6.8,6.25,3.8,-1,-1,-1,7,7.25,8.75
36000062,5.8,7.75,3.6,-1,-1,-1,3,7.75,8
36000063,4.4,7.25,3,-1,-1,-1,4.5,7,8
36000064,8.4,9,8.6,-1,-1,-1,5.75,7.25,9
36000065,5,7,4.4,-1,-1,-1,4,6.25,8.75
36000066,4,4,2.2,-1,-1,-1,4.25,6.25,7.5
36000067,5.4,6.5,4,-1,-1,-1,6,7,8.75
36000068,8.4,7.5,7.2,-1,-1,-1,6.25,8,8
36000069,7.4,7.25,7.8,6.25,3.5,5.25,-1,-1,-1
36000070,8.2,5.75,5.8,7.25,8.25,4.25,-1,-1,-1
36000071,8,6,5.4,5,6.75,7.75,-1,-1,-1
36000072,5.8,7.75,5.8,-1,-1,-1,8.75,7.25,9
36000073,8.8,5.75,5.4,8.25,8.5,4.5,-1,-1,-1
36000074,9.4,7,5.4,8.5,8,6,-1,-1,-1
36000075,9,6.5,8,8.75,6.5,5.5,-1,-1,-1
36000076,8.6,7.25,3,7.25,8,5.25,-1,-1,-1
36000077,9.2,6.25,5,8.25,8.75,5,-1,-1,-1
36000078,8.6,6.25,7.4,7.25,5,7.5,-1,-1,-1
36000079,8.2,7.5,8.6,-1,-1,-1,6.75,7.75,8.25
36000080,9,6.5,6.8,7.75,6.75,7.75,-1,-1,-1
36000081,3.6,6.25,2.8,-1,-1,-1,3.5,5.75,7
36000082,5,6.25,2,-1,-1,-1,5.25,6.5,8
36000083,7.8,7,3.6,6.25,5.25,6,-1,-1,-1
36000084,8,6.5,4.8,6.75,5.5,4.25,-1,-1,-1
36000085,8.8,6.25,4.6,8.75,6.75,5.5,-1,-1,-1
36000086,5.2,7,3.4,-1,-1,-1,2,5.25,6.75
36000087,6.8,4.75,3.8,5.25,4,5.25,-1,-1,-1
36000088,4,5,2.4,-1,-1,-1,6.25,6.25,6.75
36000089,6.4,6.25,3.2,5.75,5,5,-1,-1,-1
36000090,8.6,6.5,6,7,6,5.5,-1,-1,-1
36000091,3.8,6,2.4,-1,-1,-1,4.75,4.75,7.25
36000092,9,8,9,-1,-1,-1,8.75,9.25,9.75
36000093,6.6,7.75,4.2,-1,-1,-1,4.75,8,8.25
36000094,4,6.75,3.2,-1,-1,-1,5,7.25,6.75
36000095,8.6,8,5.6,-1,-1,-1,5.75,8,8.5
36000096,9,7.25,6.2,9,9,6,-1,-1,-1
36000097,9,7.25,9.2,7.75,4.75,6,-1,-1,-1
36000098,6.8,7,4.2,-1,-1,-1,6,6.25,9
36000099,5.6,7.75,3,-1,-1,-1,4,5.75,8
36000100,2.8,5.75,2.4,-1,-1,-1,2.75,5,5
36000101,5,6.25,3,-1,-1,-1,5,7,7.25
36000102,8.8,7.25,8.2,8,7.25,6.75,-1,-1,-1
36000103,6.4,7.5,5.8,-1,-1,-1,5.5,7.75,9.25
36000104,7.6,7.5,4.2,-1,-1,-1,8.5,8.5,9.5
36000105,7.4,7,4.2,-1,-1,-1,3.5,8,8.25
36000106,6.2,8,2.8,-1,-1,-1,4.5,8.75,8.5
36000107,8.8,6.25,5.6,6,8.75,8.75,-1,-1,-1
36000108,8.8,7,5.6,7.75,8.75,6.5,-1,-1,-1
36000109,8,6,9.2,7.5,5.5,5.75,-1,-1,-1
36000110,9.2,7.5,5.4,6.25,8,8.25,-1,-1,-1
36000111,5.6,7.75,4.8,-1,-1,-1,6.25,9.5,9
36000112,8.2,6,5.8,-1,-1,-1,3.5,7.5,8.75
36000113,5.2,5.5,2.6,-1,-1,-1,4.25,6.75,8.5
36000114,7.4,6,4,-1,-1,-1,6.5,7.5,8.75
36000115,9,7.5,8.4,-1,-1,-1,4.5,6.75,7.25
36000116,8.6,8.5,8.8,-1,-1,-1,6.75,7.5,8.75
36000117,7.2,7.75,7.8,-1,-1,-1,6.25,7.5,9.5
