SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
37000001,9.2,6.25,7.4,8.5,3.5,5,-1,-1,-1
37000002,8.2,8,8,-1,-1,-1,8,7.5,9.25
37000003,3,5.25,-1,-1,-1,-1,4,4,-1
37000004,8,5,7,7,7.5,5,-1,-1,-1
37000005,8.2,7.75,9.6,-1,-1,-1,6.75,7,9.25
37000006,3,4.5,-1,-1,-1,-1,3.75,6.75,-1
37000007,8.8,4.25,7.2,7.75,5.5,4,-1,-1,-1
37000008,2.4,3,-1,-1,-1,-1,4,4,-1
37000009,3,4,-1,-1,-1,-1,4,6.25,-1
37000010,9.6,6,9.4,9,6.5,7.5,-1,-1,-1
37000011,5.2,5.5,-1,-1,-1,-1,3,7.5,-1
37000012,8.6,7.5,7.8,8.75,5.75,6.25,-1,-1,-1
37000013,8.4,7.25,8,-1,-1,-1,5.75,7,9.25
37000014,9.6,6,9,9,8.25,6.5,-1,-1,-1
37000015,9.6,4.25,5.2,8.25,7,3.75,-1,-1,-1
37000016,8.8,6.25,8.2,7.75,6,5.25,-1,-1,-1
37000017,9,5.25,7.2,6.25,5,4.25,-1,-1,-1
37000018,8.8,7,7.6,7.75,4.75,4.5,-1,-1,-1
37000019,5.8,6.75,-1,-1,-1,-1,4.5,7.5,-1
37000020,9,7,8.6,6.75,8.75,8.5,-1,-1,-1
37000021,2.4,3.5,-1,-1,-1,-1,4,6.5,-1
37000022,9,6,6.6,5.75,9.75,7.75,-1,-1,-1
37000023,6.6,7.25,8.4,-1,-1,-1,6.5,8.25,8.75
37000024,9.2,8.25,8.4,5.25,5,5.5,-1,-1,-1
37000025,8.2,7,6,4,9.25,9,-1,-1,-1
37000026,9,8.25,8.6,7.75,8.75,7.5,-1,-1,-1
37000027,9,4.75,7.2,5.25,9.75,9.5,-1,-1,-1
37000028,9,5.5,8,5.25,9.5,5.75,-1,-1,-1
37000029,8.4,7.75,7.2,7,8.75,9.75,-1,-1,-1
37000030,7.2,6.5,6.8,6.75,7.5,6,-1,-1,-1
37000031,2.4,6.25,-1,-1,-1,-1,3.25,6.5,-1
37000032,9.4,7.5,7.4,5.5,8.5,7.75,-1,-1,-1
37000033,9.2,5,9.2,3.25,9,9.5,-1,-1,-1
37000034,8.6,7,8.2,7.25,4.75,5.25,-1,-1,-1
37000035,8.4,7.25,6.6,7.5,4.75,6.5,-1,-1,-1
37000036,2.8,5.75,-1,-1,-1,-1,3.5,7,-1
37000037,8.4,7.5,8.2,6.75,7.5,6.75,-1,-1,-1
37000038,9.4,7.75,6.6,5.75,9,9.75,-1,-1,-1
