SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
38000001,8.4,8.25,5,6.75,7.75,7,-1,-1,-1
38000002,5.6,8.25,3.4,-1,-1,-1,3.5,7.75,8.75
38000003,6.2,7.75,4,-1,-1,-1,7.5,7.75,8.75
38000004,6.2,6.75,4.6,-1,-1,-1,5.5,7.5,9.25
38000005,7.2,7.5,6.8,-1,-1,-1,7.25,8.5,9.25
38000006,6.4,8,3.8,-1,-1,-1,7.5,8.25,9.5
38000007,7.8,7.75,4.2,-1,-1,-1,8.25,7.25,8.5
38000008,6.4,7.5,4.4,-1,-1,-1,6.25,7.75,8.25
38000009,5.2,6.25,3,-1,-1,-1,4.25,6.75,7
38000010,7.4,6.75,3.8,-1,-1,-1,8,7.75,9.5
38000011,5.8,7,4.2,-1,-1,-1,4.75,6.75,8.25
38000012,4.6,7.75,3.4,-1,-1,-1,6,5.5,7.25
38000013,6,7,3.8,-1,-1,-1,5.25,6.75,9
38000014,6.6,8,5.6,-1,-1,-1,7.5,7.75,9.5
38000015,4.8,5.25,2.6,-1,-1,-1,3.25,5.5,7.75
38000016,8.2,7.5,4.8,-1,-1,-1,6.5,8,10
38000017,7.4,8.25,4.8,-1,-1,-1,7.75,9,9.5
38000018,7.2,9,4,-1,-1,-1,8.25,8.25,9.75
38000019,5.6,6.75,2.2,-1,-1,-1,4.75,5.75,7.5
38000020,7.6,6.75,5.2,-1,-1,-1,9.25,8.75,9.25
38000021,8,7.75,7.8,-1,-1,-1,8.75,9.25,9
38000022,9.4,7,5.2,8,8,8,-1,-1,-1
38000023,8.4,7.25,5,-1,-1,-1,8.75,8,9.75
38000024,7.8,8.25,4.2,-1,-1,-1,8.25,8.75,9.25
38000025,6.4,7.25,4.6,-1,-1,-1,8.5,8,9.5
38000026,8.6,7.5,7,6.25,7.5,6.75,-1,-1,-1
38000027,6.4,7.25,5.4,-1,-1,-1,5.25,6.75,8.25
38000028,5.4,8.25,3.4,-1,-1,-1,5.25,7.5,9.5
38000029,7.4,8.25,6,-1,-1,-1,7.75,7,8.75
38000030,4.6,6.25,3.4,-1,-1,-1,4,7.25,9.25
38000031,5.2,6.5,3.6,-1,-1,-1,5.25,8,9.5
38000032,6.4,8.25,4.6,-1,-1,-1,9.5,8.75,9.25
38000033,4.8,5.75,3.2,-1,-1,-1,5.25,6.25,9
38000034,7,7.25,4.6,-1,-1,-1,8.5,7,8.25
38000035,6.2,6,3.8,-1,-1,-1,5.75,7.25,9.5
38000036,7.6,6.25,4.2,5.5,6.25,6,-1,-1,-1
38000037,8.4,6.75,5.4,7.25,7,6.25,-1,-1,-1
38000038,8.8,8,5.6,7.75,8.5,5.5,-1,-1,-1
38000039,7.4,7.66,4.8,-1,-1,-1,8.5,8.25,9
38000040,8.8,8,6,8,8.5,7,-1,-1,-1
38000041,5.8,9,5.2,-1,-1,-1,7.75,8.75,9.5
38000042,8.2,8.75,6.2,-1,-1,-1,8,9,9.25
38000043,7.2,9,3.8,-1,-1,-1,6.25,7.75,8.75
38000044,6.8,7.83,3.8,-1,-1,-1,6.5,8.5,8.25
38000045,6.6,6.75,4.2,-1,-1,-1,7,7.5,9.25
38000046,5.4,4.75,2.6,-1,-1,-1,3,7,8.5
38000047,6.4,7.25,3,-1,-1,-1,7.75,7.75,8
38000048,7.2,8,3.8,-1,-1,-1,7.25,7.75,8.25
38000049,6.8,8.75,3.6,-1,-1,-1,6.25,7,8.5
38000050,8.4,7.5,6,7.25,8.25,8.25,-1,-1,-1
38000051,7.4,7.5,4.8,-1,-1,-1,6.25,7.25,8.75
38000052,6.6,7.75,3.6,-1,-1,-1,5.75,6.75,8.25
38000053,8,8,7.4,7.25,8.25,8,-1,-1,-1
38000054,5.6,6.5,4,-1,-1,-1,6.75,7.25,9
38000055,6,8.75,4.8,-1,-1,-1,7,7,8.5
38000056,7.4,7.25,4.2,-1,-1,-1,7.25,7.75,7.75
38000057,5.4,6,2,-1,-1,-1,6.25,7.25,7.25
38000058,8.4,6.5,4.8,7.25,7.5,7.5,-1,-1,-1
38000059,8.6,7.25,5.2,7.5,8,7.25,-1,-1,-1
38000060,7.4,8.25,5.4,-1,-1,-1,7.25,8.25,9.5
38000061,7.2,8.25,3.8,-1,-1,-1,6.25,6,9.75
38000062,5.2,7.5,3.2,-1,-1,-1,5,5.5,7.75
38000063,6.6,6.75,4.8,-1,-1,-1,3.75,6.25,8.25
38000064,5.4,7.5,4.2,-1,-1,-1,6,5.75,8.25
38000065,8.2,8,7,7.75,7.75,6,-1,-1,-1
38000066,7.8,7.5,5,-1,-1,-1,8,7,9.25
38000067,7.6,8.5,4,-1,-1,-1,7.5,7.25,8.75
38000068,6.6,8.25,3.8,-1,-1,-1,7,7.25,8.75
38000069,8,7.75,3.4,-1,-1,-1,6,7.25,9.25
38000070,7,8,5,-1,-1,-1,7,8.25,9.5
38000071,7.4,6.5,4.8,-1,-1,-1,7.5,7.75,9.5
38000072,6.6,7.67,4,-1,-1,-1,6.75,7,9
38000073,6,8,4.6,-1,-1,-1,3.5,5.5,7.25
38000074,4.8,6.67,3,-1,-1,-1,4,5.25,7.5
38000075,6.2,8.75,4.6,-1,-1,-1,8.5,8.5,9
38000076,6.4,7,3.8,-1,-1,-1,5.75,7,8
38000077,7.8,7.5,4.6,7,6.25,6.5,-1,-1,-1
38000078,7.6,9,5,-1,-1,-1,6.5,6.75,8.75
38000079,7.2,6.5,4,-1,-1,-1,5.25,8.5,9.25
38000080,7,8.25,4.8,-1,-1,-1,8.75,7,9
38000081,6.8,7,3.8,-1,-1,-1,6.75,8.75,9.25
38000082,6.6,6,3.6,-1,-1,-1,3.25,5.25,7.5
38000083,5.8,7.5,3.8,-1,-1,-1,3.25,6.5,8.75
38000084,7.4,6.5,4.2,-1,-1,-1,6,5.25,8
38000085,6.8,7.5,5.6,-1,-1,-1,5,6.75,8.25
38000086,7,7.25,6.4,-1,-1,-1,8.5,8.25,9.5
38000087,5.2,8.5,4.8,-1,-1,-1,6.75,8.25,8.5
38000088,7,7.75,3.8,-1,-1,-1,7,7.25,8.5
38000089,7.4,8.25,5.4,7.25,7.25,6.5,-1,-1,-1
38000090,4.6,7.5,3.2,-1,-1,-1,7.5,7.75,9.25
38000091,7.4,7.25,4,-1,-1,-1,7.25,8.5,9.5
38000092,7.8,7.25,3.4,-1,-1,-1,6.25,7.75,9.5
38000093,7,7.75,4,-1,-1,-1,7,7.75,8.25
38000094,7.2,6.75,4.2,-1,-1,-1,7.5,8,8
38000095,6.4,7.5,4.6,-1,-1,-1,8.5,7.75,9
38000096,8,7.25,7.4,-1,-1,-1,8.5,7.75,8.75
38000097,7.2,6.5,4.6,-1,-1,-1,7.75,7.75,9.5
38000098,8,7.25,4.2,7,7.75,8,-1,-1,-1
38000099,9,7.25,7.8,7.25,8,6.75,-1,-1,-1
38000100,5.4,6.5,3.2,-1,-1,-1,5.75,7,8.75
38000101,5.6,7.5,3.6,-1,-1,-1,5.25,6,6.5
38000102,8.4,8,5.8,7.75,8,6.75,-1,-1,-1
38000103,8,9,6,7.25,9.25,5.75,-1,-1,-1
38000104,6.6,7,4.4,-1,-1,-1,5.75,6,9.75
38000105,8.2,6.5,4.2,-1,-1,-1,6.75,8,8.75
38000106,5.8,6.5,3,-1,-1,-1,3,6.5,7.25
38000107,8.4,8.25,6.2,8.25,8.75,6.75,-1,-1,-1
38000108,8,7.5,5,5.5,8,7.25,-1,-1,-1
38000109,7.8,7.75,4.8,6,7,5,-1,-1,-1
38000110,6.6,6.5,4.2,-1,-1,-1,6.75,6.75,9.25
38000111,8.2,7,5.8,-1,-1,-1,9,9.5,9.75
38000112,7.8,7.75,5,8.5,8.5,6,-1,-1,-1
38000113,5.6,4.75,2.8,-1,-1,-1,4.75,5.25,4.75
38000114,6,7,5,-1,-1,-1,9.25,8,9
38000115,7.6,8.25,6.2,-1,-1,-1,8.25,7.5,9
38000116,8.4,7.5,4.4,7.25,7.75,6.75,-1,-1,-1
38000117,7.2,7.75,3.6,-1,-1,-1,7,7.75,8.75
38000118,6.8,7.25,3.6,-1,-1,-1,6,7,7.75
38000119,8.4,8,6.4,7.5,8.25,6.25,-1,-1,-1
38000120,8.6,6.75,4.4,7.5,8.5,6.25,-1,-1,-1
38000121,7.2,8,7,-1,-1,-1,7.5,8,8.75
38000122,9,8.5,7.8,8,8.75,8,-1,-1,-1
