SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
39000001,9.8,6,4,8.25,8,5.5,-1,-1,-1
39000002,8.2,6.5,4.4,5.75,4.75,4.75,-1,-1,-1
39000003,8.4,6.75,3.2,-1,-1,-1,4.5,7.25,8.75
39000004,6,5.25,3.4,-1,-1,-1,5.5,7.25,7.5
39000005,8.4,7.5,5.8,8.25,7.75,4.5,-1,-1,-1
39000006,5.8,5,2.2,-1,-1,-1,4.75,5.25,9
39000007,4.2,6.5,2.2,-1,-1,-1,5,6,9
39000008,4.8,6,2.6,-1,-1,-1,5,6.75,8
39000009,5.4,6.75,4.2,-1,-1,-1,4.5,7.5,7.5
39000010,7.6,7.75,6,6.25,5,4.75,-1,-1,-1
39000011,5.6,6.5,3.4,-1,-1,-1,3.5,7,8
39000012,7.8,6.5,5,-1,-1,-1,5.25,6.5,8.25
39000013,3,4.5,3.2,-1,-1,-1,5.5,7.5,7.75
39000014,2.2,2.75,4,-1,-1,-1,4.25,7.25,7
39000015,8.8,7.75,2.6,7.75,7.75,6.25,-1,-1,-1
39000016,1.8,4.25,2.6,-1,-1,-1,4,6.25,9
39000017,9.2,6,6.2,7.5,8.75,8.25,-1,-1,-1
39000018,5,6,2.6,-1,-1,-1,2.5,4.75,6.75
39000019,6.2,8,5.6,-1,-1,-1,8.75,8.25,9
39000020,8.2,7.5,5.8,7.5,8.25,5.25,-1,-1,-1
39000021,8.6,7.75,4.6,-1,-1,-1,4.25,7.75,9.25
39000022,5.8,3.5,3.2,-1,-1,-1,3.25,5.5,5.25
39000023,7,6.25,3,6,4.75,7,-1,-1,-1
39000024,6.8,6.25,3.8,-1,-1,-1,5.75,6.75,9.25
39000025,3.6,2,2.8,-1,-1,-1,6.25,6.5,7.75
39000026,6.4,5.25,2.4,-1,-1,-1,4.5,5,6.75
39000027,4.6,3.25,3.4,-1,-1,-1,5,6.25,8
39000028,7.4,6.25,3.2,-1,-1,-1,7.25,8.5,8.75
39000029,7.2,6.5,4,6.25,4.75,4.25,-1,-1,-1
39000030,9,6,5.6,9.25,9,7.5,-1,-1,-1
39000031,5.2,7,3.4,-1,-1,-1,4.25,6.75,8.5
39000032,8.4,7.75,5.2,-1,-1,-1,8.25,8.25,9.25
39000033,7.6,8,4.8,-1,-1,-1,7.5,8.25,8.75
39000034,6,6.25,3.6,-1,-1,-1,3.5,5.75,6.75
39000035,9.2,7,7.8,8,8.5,8.25,-1,-1,-1
39000036,6.6,7,3.8,-1,-1,-1,8.75,8,9.25
39000037,4.8,6.75,2.6,-1,-1,-1,4.5,7.5,8.25
39000038,9,6.75,6.6,8.5,8.75,6.5,-1,-1,-1
39000039,5.2,6.5,3.2,-1,-1,-1,5.75,7.25,6.25
39000040,4.8,6.75,3.4,-1,-1,-1,4,6.75,7.5
39000041,6,4.25,3.6,-1,-1,-1,4.75,4.25,6.25
39000042,5.4,5.25,2.6,-1,-1,-1,3,5.75,6.25
39000043,6.6,6.5,1.8,-1,-1,-1,4.5,7,9.5
