SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
40000001,5,5.75,2.6,-1,-1,-1,4.25,7,8.25
40000002,3,3.5,2.6,-1,-1,-1,4.25,5,6.75
40000003,5,5.25,2.6,-1,-1,-1,4.25,6.25,8.75
40000004,7.6,6.75,2.8,6.25,7,5.25,-1,-1,-1
40000005,7,8.25,3.2,-1,-1,-1,4.5,7.5,9
40000006,6.4,7.25,4,-1,-1,-1,5,8.5,9.5
40000007,5.4,5.25,3.4,-1,-1,-1,4.25,7.75,7.25
40000008,6.8,6.25,4.4,-1,-1,-1,5.75,6.75,8.75
40000009,4.6,4,3,-1,-1,-1,2.75,6.5,6.5
40000010,5.2,6,3.4,-1,-1,-1,5.25,6.75,6.25
40000011,9,7.5,3.6,6,4.75,6.25,-1,-1,-1
40000012,2.8,3,3.6,-1,-1,-1,2.5,5.5,5.5
40000013,5.2,4.5,3.8,-1,-1,-1,5.25,7,9.25
40000014,4.2,4,3.2,-1,-1,-1,2.75,5.25,5.75
40000015,6.2,6,2.8,-1,-1,-1,5.5,7.25,7
40000016,2.6,3,1.8,-1,-1,-1,3.75,5.75,6.75
40000017,7,6.5,5.8,-1,-1,-1,6.25,7.75,9.5
40000018,4.4,4.5,2.6,-1,-1,-1,3,5,6.5
40000019,3.4,4.5,3,-1,-1,-1,4.25,4.5,6.75
40000020,7,6.75,3.6,-1,-1,-1,5,6.75,7.5
40000021,3.4,2.25,2.4,-1,-1,-1,4.25,4.5,4.5
40000022,3.4,3.25,1.2,-1,-1,-1,2.5,4,4.25
40000023,7.4,5.5,2.6,3,-1,4,-1,-1,-1
40000024,3.8,5,3.2,-1,-1,-1,4.75,8,8.25
40000025,4.6,6,3.6,-1,-1,-1,2,5.25,6
40000026,4.4,5.5,3.2,-1,-1,-1,4.5,7.75,6.75
40000027,2.6,5,3,-1,-1,-1,5,6.5,6.5
40000028,4.4,4.75,2.6,-1,-1,-1,4.75,6,7.5
40000029,7.4,6.75,5.6,-1,-1,-1,6,8,8.75
40000030,2.8,3.5,2.4,-1,-1,-1,3.5,6.5,-1
40000031,7.8,5,7,-1,-1,-1,6.25,8.25,9.25
40000032,7,7.75,4.8,-1,-1,-1,6,8.25,9.25
40000033,6.8,7.33,2.4,7.75,6.5,5.5,-1,-1,-1
40000034,6,6.5,2,-1,-1,-1,4,7.25,8.25
40000035,2.8,6,1.8,-1,-1,-1,3.25,6.25,6.25
40000036,9,7.5,6.2,7.5,7.5,5.5,-1,-1,-1
40000037,6,7.25,3.8,-1,-1,-1,4.5,7,7.5
40000038,4.8,6,-1,-1,-1,-1,5.5,6.5,-1
40000039,7.2,7.25,3.6,-1,-1,-1,7.5,7.75,8.5
40000040,5.6,5.5,3,3.75,4.25,5,-1,-1,-1
40000041,7.8,6.25,3.2,-1,-1,-1,7.25,8.5,9.25
40000042,1.4,3.5,1.6,-1,-1,-1,3.5,6.25,7.25
40000043,6.8,4.75,-1,-1,-1,-1,5.5,-1,-1
40000044,4.4,4,2.6,-1,-1,-1,5.5,6.75,6.75
40000045,3.8,6.25,2.2,-1,-1,-1,6,5.5,7.25
40000046,3.2,5,1.6,-1,-1,-1,3.25,7,6.5
40000047,4,4.25,1.6,-1,-1,-1,3.25,3.75,5.5
40000048,6.2,6.25,2.8,-1,-1,-1,3,5,8
40000049,2.4,4.25,2.2,-1,-1,-1,4.5,2.5,3
40000050,8,7.25,3.8,-1,-1,-1,2.75,6.75,8
40000051,5.2,5.25,1.8,-1,-1,-1,3.5,6.75,7.75
40000052,4.2,4.5,-1,-1,-1,-1,5.25,4.75,-1
40000053,4.2,5.5,2.8,-1,-1,-1,2.25,4.5,4
40000054,4,5.5,2,-1,-1,-1,8,6.25,7.5
40000055,3.2,5.25,1.8,-1,-1,-1,2.5,4,6.25
40000056,4.2,6,2.6,-1,-1,-1,3.5,5.25,5.25
40000057,7.2,6.5,2.8,-1,-1,-1,3.5,4.75,6.75
40000058,9,5.75,5,8.5,8.75,5.75,-1,-1,-1
40000059,5.6,6.25,2.6,-1,-1,-1,4,4.75,6.5
40000060,2.6,4.25,2,-1,-1,-1,4.25,-1,6.25
40000061,4.6,3.5,1.8,-1,-1,-1,3.75,4.25,5
40000062,5.6,5.75,2.6,-1,-1,-1,8.5,7.5,8.75
40000063,5.2,8,3,-1,-1,-1,6.5,7.75,9
40000064,8.4,5.75,6.6,-1,-1,-1,4.5,7,8.5
40000065,8.8,6.25,3.8,7.75,8,5.5,-1,-1,-1
40000066,4.2,6.25,2.2,-1,-1,-1,4,5.75,6.75
40000067,5.4,6.75,3.6,4,4.25,4.75,-1,-1,-1
40000068,8.2,6,4.6,7.5,8,6.75,-1,-1,-1
40000069,5,5.75,3.6,-1,-1,-1,1.5,4.75,7.5
40000070,5.2,5.75,2.8,-1,-1,-1,7.25,8.25,8.75
40000071,9.2,6.5,4.6,8,8.5,5.5,-1,-1,-1
40000072,3.2,2.75,1.6,-1,-1,-1,2.75,6.5,7
40000073,7.6,5.75,3.8,-1,-1,-1,7.25,7.25,9
40000074,4,4,2.4,-1,-1,-1,2,3.5,6.25
40000075,6.6,6,3,-1,-1,-1,5,7.25,8.5
40000076,8,6.5,4.8,-1,-1,-1,6.5,8.5,9.25
40000077,5.4,6,3.4,-1,-1,-1,3.5,7,5.5
40000078,8,7,7.4,-1,-1,-1,-1,-1,-1
40000079,6,6.75,3,-1,-1,-1,6.25,7.75,8.75
40000080,6.6,-1,-1,5.75,4.25,-1,-1,-1,-1
40000081,6,6.5,4.2,-1,-1,-1,4.25,6.75,8.25
40000082,4.4,5.25,2,-1,-1,-1,4.75,6.75,7.25
40000083,8.2,6,4.2,-1,-1,-1,6.75,8,9.25
40000084,6.2,6.5,3.4,-1,-1,-1,5.25,6,9.5
40000085,4,5,3.2,-1,-1,-1,3,5,7.5
40000086,5.6,5.08,2.4,-1,-1,-1,5.5,7,5.5
40000087,2.4,2.25,-1,-1,-1,-1,3.25,4,-1
40000088,7.6,6.25,4.4,6.25,7.5,7.25,-1,-1,-1
40000089,8,5.75,5.2,7.25,4.5,4.25,-1,-1,-1
40000090,-1,7,-1,-1,-1,-1,7.75,9,-1
40000091,3.2,4.5,3.8,-1,-1,-1,3.25,6.5,5.75
40000092,6.2,5.5,2,-1,-1,-1,4.25,6.5,7.75
40000093,6.8,4.5,1.8,5,5.25,6.25,-1,-1,-1
40000094,8.6,7,7.4,8.5,8.25,6.25,-1,-1,-1
40000095,5.6,7.75,4,-1,-1,-1,4.25,8,9.25
40000096,7.8,7.25,4,-1,-1,-1,6.25,8.25,9.25
40000097,6.8,7.5,3,5.5,3.25,5.5,-1,-1,-1
40000098,7.6,6.5,4.6,-1,-1,-1,3.5,7,8.25
40000099,5,5.25,2.6,-1,-1,-1,5.5,5.75,7
40000100,6.8,7,3.4,6.75,7.25,7.5,-1,-1,-1
40000101,5.8,3.25,2.4,-1,-1,-1,2.75,5.75,6.75
40000102,8.4,7.75,4.6,-1,-1,-1,8.75,8,9.5
40000103,7,5.75,4.8,-1,-1,-1,5,7.75,8.75
40000104,5.4,6.25,2.8,4,4.25,4.75,-1,-1,-1
40000105,3.6,6,3.6,2.75,5.25,3.25,-1,-1,-1
40000106,7.4,7.5,3.4,-1,-1,-1,5,9,9.25
40000107,4.6,5.75,2.2,-1,-1,-1,3.5,6.25,6.5
40000108,5.2,5.25,2.4,-1,-1,-1,3.25,5.25,7.25
40000109,3.8,5,2.8,2.75,2.75,5,-1,-1,-1
40000110,7.6,5,5.2,6,7.5,5.5,-1,-1,-1
40000111,4.4,5,3.8,-1,-1,-1,6.75,8,8.25
40000112,8.2,6,2.8,-1,-1,-1,5.25,7.5,9.25
40000113,3.8,6,2.6,-1,-1,-1,2.75,5.75,5.5
40000114,8,5.5,3.2,-1,-1,-1,5.75,5.75,8.5
40000115,4.6,6,3,-1,-1,-1,3.75,6.5,7.25
40000116,7.2,4.75,2.8,6.5,5.25,6,-1,-1,-1
40000117,8.2,6.25,3.2,-1,-1,-1,5.75,6.75,7.5
40000118,8.2,7,5.2,8,7.5,3.75,-1,-1,-1
40000119,7.2,6.25,4,-1,-1,-1,4.75,7.75,6.25
40000120,8,6,3,-1,-1,-1,4.5,6.75,8.5
40000121,4.2,4.75,3.6,-1,-1,-1,4.25,7,7
40000122,5.6,6,1.8,-1,-1,-1,3.75,7.25,7.75
40000123,4.8,5.5,2,3,5.25,4,-1,-1,-1
40000124,6.4,6.75,5.4,-1,-1,-1,5.75,6.5,8.75
40000125,5.4,4.75,2,-1,-1,-1,4.75,7.5,8
40000126,8,6.25,4.8,5.5,6,6,-1,-1,-1
40000127,7,5.25,3.6,4,5.5,6.5,-1,-1,-1
40000128,7,5.75,2.6,-1,-1,-1,3,6.75,7.25
40000129,4.6,3.25,3.4,-1,-1,-1,4.25,7.25,7.75
40000130,6.6,3.75,2.4,-1,-1,-1,2.5,5.5,6.5
40000131,7.2,4.75,3,3.5,3.5,4.5,-1,-1,-1
40000132,4,4.5,3,-1,-1,-1,6.75,8,8
40000133,1.6,3,2.6,-1,-1,-1,2.75,4.75,4.75
40000134,6,5.25,4,4.75,3.25,5.25,-1,-1,-1
40000135,6.6,6.5,2.8,-1,-1,-1,2.5,7,9
40000136,8.2,7,4.8,7.25,8.25,6.5,-1,-1,-1
40000137,5,6,2,4.25,5.25,6,-1,-1,-1
40000138,3.2,4,3.2,-1,-1,-1,3.25,6.25,6.5
40000139,3.8,6.5,1.8,-1,-1,-1,7.25,6,6.75
40000140,6,5,2.6,-1,-1,-1,4.25,7.75,8.75
40000141,4.2,6.5,4.2,-1,-1,-1,4.5,6.25,8.5
40000142,5.6,6,2.6,-1,-1,-1,5,6.75,8.5
40000143,7.8,7,3,-1,-1,-1,6,8.25,9.75
40000144,3.2,4.25,2.2,-1,-1,-1,3,5.25,5
40000145,6.8,6,2.8,-1,-1,-1,5.25,8.25,7.5
40000146,5.6,5.5,2.6,-1,-1,-1,3.75,7.25,9.25
40000147,7.2,5.25,2,-1,-1,-1,4,7,8.75
40000148,7,7,2.4,-1,-1,-1,5,7.5,8
40000149,7.2,5,2.8,-1,-1,-1,5.5,7,8
40000150,5.2,7,2.8,-1,-1,-1,4.25,6.5,8
40000151,4.6,6.75,3.2,-1,-1,-1,4.25,5.75,8
40000152,8.8,8,5.6,8.5,8,5.75,-1,-1,-1
40000153,7.6,6.5,3,5.75,6.75,7.5,-1,-1,-1
40000154,8.2,6.75,2.6,-1,-1,-1,6,8,8.75
40000155,7.8,7.25,2.8,-1,-1,-1,7.75,8.25,9.5
40000156,5,6.5,4.2,-1,-1,-1,3.75,5.75,6.25
40000157,4.4,5.25,2.8,-1,-1,-1,3.75,7.5,7
40000158,7,-1,-1,-1,6.75,6,-1,-1,-1
40000159,5,7.75,3.4,-1,-1,-1,4.25,6.75,7.5
40000160,7.2,7.75,6,6.75,7.25,5.75,-1,-1,-1
40000161,8.8,8,6.2,3.5,4,4.75,-1,-1,-1
40000162,9,7.33,7,-1,-1,-1,-1,-1,-1
40000163,7.6,8,2.8,-1,-1,-1,4.5,7.75,8
40000164,7.4,7.25,5,-1,-1,-1,6.5,8.5,9.25
40000165,5.8,6.75,3,-1,-1,-1,3.25,4.75,7.75
40000166,7,7.75,4.4,-1,-1,-1,5.75,7.5,9.25
40000167,2.4,0.75,-1,-1,-1,-1,4,4.25,-1
40000168,2.2,2,-1,-1,-1,-1,4.25,3.75,-1
40000169,2.6,4,2.2,-1,-1,-1,3.75,5.75,6
