SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
42000001,8.6,8.25,9.2,8.25,7.5,7.25,-1,-1,-1
42000002,6.8,5.75,2.4,-1,-1,-1,3.5,6,7
42000003,9,7.75,6,7.5,8,6.25,-1,-1,-1
42000004,8,7.5,6.6,8,8.5,7,-1,-1,-1
42000005,8.2,9,7,-1,-1,-1,8.25,7.5,9.5
42000006,8.6,7,8.4,9,5.75,6.25,-1,-1,-1
42000007,8,6.75,5.8,8,5.75,6,-1,-1,-1
42000008,7.6,6.25,4,6.75,7.5,4.5,-1,-1,-1
42000009,9.4,8,8.4,8.25,7.5,6.75,-1,-1,-1
42000010,7.8,8.25,6.2,-1,-1,-1,3,6.25,7.5
42000011,8.2,7.5,7,5.75,9,8.25,-1,-1,-1
42000012,5.4,5,4,-1,-1,-1,4.25,6,6.75
42000013,6.8,6.25,3.2,-1,-1,-1,5.5,-1,-1
42000014,9.4,6.75,7,8.25,9,5.75,-1,-1,-1
42000015,8.2,7.5,7.2,7.25,6.5,6.5,-1,-1,-1
42000016,6.4,6.75,-1,-1,-1,-1,6.25,-1,-1
42000017,7.4,7,6.4,-1,-1,-1,4.5,7,9.5
42000018,7.6,7.75,5.6,8,6,6,-1,-1,-1
42000019,8.4,7.75,6.8,7.25,8.25,5.25,-1,-1,-1
42000020,8.2,6.75,6.2,6.5,8,5,-1,-1,-1
42000021,8.6,8.5,7.8,-1,-1,-1,5.75,7.25,8.5
42000022,8.2,8,7.4,-1,-1,-1,5,7.5,9
42000023,8.8,7.75,7.2,8.25,7.25,7.25,-1,-1,-1
42000024,9,9.5,7.8,-1,-1,-1,-1,-1,-1
42000025,8.4,8.5,8.8,-1,-1,-1,5.75,7.5,9
42000026,7,6.25,6,4.5,7.75,8.25,-1,-1,-1
42000027,6.8,7.25,3,-1,-1,-1,5.25,7,8
42000028,8.8,-1,-1,6,5.25,-1,-1,-1,-1
42000029,8.4,8.5,7.8,8.25,7.5,6.5,-1,-1,-1
42000030,8,8,5.8,7.5,8,6.25,-1,-1,-1
42000031,6.8,5.25,5.8,5.5,5.25,4.25,-1,-1,-1
42000032,6.2,-1,-1,-1,6.25,6.25,-1,-1,-1
42000033,8.4,8.5,5.6,7.25,8,6,-1,-1,-1
42000034,8.8,6.25,4.8,5.75,8.25,8.25,-1,-1,-1
42000035,7.6,-1,5.4,5.5,-1,-1,-1,-1,-1
42000036,8.8,6.75,5.2,7.25,7,6.25,-1,-1,-1
42000037,7,7.25,7,6.5,6.75,5.25,-1,-1,-1
42000038,8.2,7.25,5.6,7.5,8,6.5,-1,-1,-1
42000039,8.8,7.5,-1,-1,-1,-1,9.75,-1,-1
42000040,7.6,7.5,-1,-1,-1,-1,5.5,7.5,8.25
42000041,2.6,5.75,-1,-1,-1,-1,5,-1,-1
42000042,9.6,9.5,-1,-1,-1,-1,10,-1,-1
42000043,7.8,7.5,4.6,7,4.25,5.5,-1,-1,-1
42000044,7.6,6.25,5.8,-1,-1,-1,3.75,6.5,8.75
42000045,8,6,6.4,7,7.75,4.75,-1,-1,-1
42000046,7.8,6.75,4.8,3.75,7,3.5,-1,-1,-1
42000047,7.4,6.25,5.4,-1,-1,-1,5.5,6.25,9
42000048,5.8,6,3.4,-1,-1,-1,2.75,6.25,8.75
42000049,8.4,7,6.8,-1,-1,-1,6,7.25,9.25
42000050,8.4,6.25,5.4,8.5,8.25,8.25,-1,-1,-1
42000051,7.4,7.25,5.4,-1,-1,-1,4.5,7.75,9.25
42000052,8.2,-1,-1,7.5,6.75,-1,-1,-1,-1
42000053,5,-1,3.4,1.25,-1,-1,-1,-1,-1
42000054,4.2,8.75,5,-1,-1,-1,4.25,8,8
42000055,7.2,6.25,4.8,-1,-1,-1,5.75,7.25,8.5
42000056,8.6,7.75,6,7.5,8.25,5.75,-1,-1,-1
42000057,8.2,9,6,7.5,7.75,8.5,-1,-1,-1
42000058,7.2,5.75,5.8,-1,-1,-1,5.75,5,9.5
42000059,6.4,-1,-1,4.25,5.75,-1,-1,-1,-1
42000060,7,8.25,6.4,-1,-1,-1,4,6.5,8.75
42000061,6.8,6,3.4,-1,-1,-1,5,6.5,8
42000062,7.8,7.5,7.8,-1,-1,-1,4.75,6.75,8
42000063,1.4,5,2.2,-1,-1,-1,3.25,5,5.5
42000064,9.2,5,4.8,6.5,8,8.75,-1,-1,-1
42000065,6,6,-1,-1,-1,-1,7,-1,-1
42000066,9,9,9,8.5,5.25,5,-1,-1,-1
42000067,6.4,7,3.8,-1,-1,-1,4.5,7.75,9
42000068,6.8,6.5,-1,-1,-1,-1,7.5,-1,-1
42000069,7.8,7.75,6,-1,-1,-1,4.5,6,8.75
42000070,7,8,3.8,7,7.5,7,-1,-1,-1
42000071,8.4,7.25,9.2,8.5,6.25,6.5,-1,-1,-1
42000072,6.8,5.5,6,-1,-1,-1,7.75,9,9.25
42000073,7.4,8,8.2,7.75,7.5,8.25,-1,-1,-1
42000074,7,8.08,3.8,-1,-1,-1,-1,-1,-1
42000075,3.2,5,-1,-1,-1,-1,7,-1,-1
42000076,5,4,-1,-1,-1,-1,4.25,-1,-1
42000077,7.4,6.5,6.6,7.5,6.75,5.5,-1,-1,-1
42000078,8,7.5,5,7,8.25,8,-1,-1,-1
42000079,4.4,5.25,3.8,-1,-1,-1,5.25,6.5,8.75
42000080,8.6,7,4.4,7,6.75,6.5,-1,-1,-1
42000081,8.4,6.75,6.2,6.5,6.25,4.5,-1,-1,-1
42000082,8.2,7.75,-1,-1,-1,-1,7.25,-1,-1
42000083,9.4,8.75,-1,-1,-1,-1,9.5,-1,-1
42000084,6,7.5,6.2,-1,-1,-1,6,6,7.75
42000085,8,6.25,8.6,6,6.75,5.25,-1,-1,-1
42000086,8,6.5,6,-1,-1,-1,8.5,7.5,9.75
42000087,6.8,-1,6.4,5,-1,-1,-1,-1,-1
42000088,8.4,7,7.8,7.75,7.5,7.25,-1,-1,-1
42000089,7.2,7,7.2,6.25,7,6.25,-1,-1,-1
42000090,-1,8.75,-1,-1,-1,-1,8.75,9,-1
42000091,7.8,6.75,7.4,-1,-1,-1,7.5,9.75,9.5
42000092,9,8.5,-1,-1,-1,-1,9,-1,-1
42000093,6.8,6.75,4.4,-1,-1,-1,5.5,7.5,8
42000094,7.4,7.25,5.8,6.75,8,4.75,-1,-1,-1
42000095,8.4,8.5,8.6,7,7,6,-1,-1,-1
42000096,6.6,7,5.6,-1,-1,-1,4,7.5,9
42000097,7.8,8.25,5,6.75,7.5,7,-1,-1,-1
42000098,8.2,5.75,8.2,7.5,7.75,6.5,-1,-1,-1
42000099,7.4,6.5,5.2,-1,-1,-1,6,7.5,8.25
42000100,8,7.25,8.2,7.5,8,6.75,-1,-1,-1
42000101,8,7.75,5,8.5,7.75,6.25,-1,-1,-1
42000102,6.2,5.75,6.6,-1,-1,-1,4.5,6.75,8
42000103,6.8,6.75,5,-1,-1,-1,3.75,6,8
42000104,5.2,7.5,5.8,-1,-1,-1,4.75,7,8.75
42000105,7.8,6.5,7.2,-1,-1,-1,4,6,7.75
42000106,6.6,7.75,4.6,-1,-1,-1,5.25,6.5,8.5
42000107,3.8,5.5,-1,-1,-1,-1,4.25,-1,-1
42000109,6.4,6.5,-1,-1,-1,-1,8.25,-1,-1
42000110,8,6,4.2,-1,-1,-1,5.25,7.75,8.75
42000111,4.6,8.25,6.8,-1,-1,-1,4.5,7,8.5
42000112,8.4,8.75,7.6,-1,-1,-1,6,8.5,9
42000113,7.4,7.25,5.6,7.25,8,7,-1,-1,-1
42000114,8.4,8.5,5.4,-1,-1,-1,6.5,7,8.25
42000115,9,8.25,8.8,8,7,6.5,-1,-1,-1
42000116,8,6.75,5,8,5,3.75,-1,-1,-1
42000117,-1,6.5,-1,-1,-1,-1,-1,-1,-1
42000118,8.6,7.5,7,8.25,5.5,6,-1,-1,-1
42000119,-1,8.5,-1,-1,-1,-1,8.75,7.5,-1
42000120,6.8,5.5,3.8,6.75,4.75,4.25,-1,-1,-1
42000121,8.8,8,7,7.25,8.25,7,-1,-1,-1
42000122,8.4,8,5,7.75,8.5,4,-1,-1,-1
42000123,8.8,8,6.6,6.75,8,8,-1,-1,-1
42000124,9.2,7.5,-1,-1,-1,-1,9.25,-1,-1
42000125,6.8,7.5,5,-1,-1,-1,6.25,6.75,9.25
42000126,6.8,7.5,3.6,7,6.25,4.25,-1,-1,-1
42000127,8.6,5.75,5.8,8.25,8.25,4.5,-1,-1,-1
42000128,8.2,7,7.4,-1,-1,-1,5.25,7,7.5
42000129,9.2,7.25,-1,-1,-1,-1,8.75,-1,-1
42000130,3.2,5.25,-1,-1,-1,-1,3,-1,-1
42000131,7.8,7.5,-1,-1,-1,-1,9.25,-1,-1
42000132,2.4,-1,-1,3,3,-1,-1,-1,-1
42000133,8.2,6,8.8,7.25,6.75,6,-1,-1,-1
42000134,8.2,7,4.8,7,8,6.5,-1,-1,-1
42000135,8.6,6.75,5.8,7.75,7,6.75,-1,-1,-1
42000136,6.6,7,4.6,-1,-1,-1,4.75,6.75,8.25
42000137,7,6.5,5.6,-1,-1,-1,3.25,5.75,7.75
42000138,9,8.25,7,6.5,7.75,6.25,-1,-1,-1
42000139,8.2,7.5,5.4,6.25,7.5,7.75,-1,-1,-1
