SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
44000001,8.4,7.5,4.4,7.75,8,5.5,-1,-1,-1
44000002,7.6,6,-1,7,8.25,6.25,-1,-1,-1
44000003,7,5,4,4.5,4.5,5.75,-1,-1,-1
44000004,7.2,6.75,7.4,-1,-1,-1,9.25,7.5,9.25
44000005,7.6,7,9.2,-1,-1,-1,8.5,8,9
44000006,8.4,6.75,7.4,8.25,6.75,5.75,-1,-1,-1
44000007,7.4,6,6.2,-1,-1,-1,4.25,7.25,8.25
44000008,7.6,7.5,5.6,-1,-1,-1,7.5,8,9.25
44000009,8.6,7.5,9.2,8.5,7.25,7,-1,-1,-1
44000010,6,7,2.8,-1,-1,-1,7.25,8.5,8.75
44000011,4,6.25,-1,-1,-1,-1,5,6.75,-1
44000012,2,6.5,-1,-1,-1,-1,3.75,7,-1
44000013,9.2,7,8.8,9,9.25,7.75,-1,-1,-1
44000014,7.4,7.5,2.8,6.5,6.25,5.75,-1,-1,-1
44000015,6.6,7,3.4,-1,-1,-1,4.5,6.75,8
44000016,8.4,8,6,7.25,7.75,5.75,-1,-1,-1
44000017,7.4,8,7.6,-1,-1,-1,7,7.25,9.25
44000018,6.6,7,-1,-1,-1,-1,5.5,8,-1
44000019,8.6,5.5,7.6,8.75,8.5,7.25,-1,-1,-1
44000020,9,7,5,8,8.25,6.5,-1,-1,-1
44000021,7.2,6.75,5.2,5,7.75,5.25,-1,-1,-1
44000022,6.8,8,4.6,-1,-1,-1,5,6.25,9
44000023,9,6,7.2,7.75,3.75,5.5,-1,-1,-1
44000024,7.4,6,3.6,5.75,6.75,4,-1,-1,-1
44000025,7,6.5,6.2,-1,-1,-1,5.5,7.5,9
44000026,7.8,6.75,6.6,7,7,7.25,-1,-1,-1
44000027,8.8,6.75,6,7.5,8,7.75,-1,-1,-1
44000028,7.4,7.25,4.4,7.25,6,5.75,-1,-1,-1
44000029,7.8,8.25,6.8,7.25,7.75,6,-1,-1,-1
44000030,6.4,8.25,6.4,-1,-1,-1,6,7.75,8.5
44000031,9.6,8.25,9.4,8.5,8.25,8,-1,-1,-1
44000032,7.4,9.25,8.4,-1,-1,-1,9.75,8.75,9
44000033,9,9,7.4,6.5,7.5,5,-1,-1,-1
44000034,5.4,7.5,-1,-1,-1,-1,6.75,7.5,-1
44000035,7.6,7.5,7.2,-1,-1,-1,5.75,8,9.25
44000036,7.4,6.5,6.2,7.5,7.75,6.75,-1,-1,-1
44000037,5,4.5,-1,-1,-1,-1,6.25,8,-1
44000038,8.8,7.25,7.2,5,9,9.75,-1,-1,-1
44000039,7,8.25,7,-1,-1,-1,6.75,8.75,7.75
44000040,7,7.25,3.4,4.75,6.75,5.25,-1,-1,-1
44000041,7.2,7.5,6,-1,-1,-1,6.75,7.25,9
44000042,8,7.75,6.8,6.5,7.5,5.25,-1,-1,-1
44000043,8.8,7,6,6.25,6.5,6.25,-1,-1,-1
44000044,7.4,8,3.6,5,6.25,5.5,-1,-1,-1
44000045,3.8,6,5.4,-1,-1,-1,6.75,7.25,-1
44000046,8.2,6.75,6.6,7.25,7,5.75,-1,-1,-1
44000047,8.8,7.5,6,7.5,7.75,6,-1,-1,-1
44000048,8.4,7.75,8,8.25,7.75,6.25,-1,-1,-1
44000049,8.4,8.25,6.4,7,7.5,7.5,-1,-1,-1
44000050,8.8,8.25,7.4,8,8.25,8.75,-1,-1,-1
44000051,9.4,8.5,8.6,6.75,9,9.25,-1,-1,-1
44000052,6.4,7.75,5.8,-1,-1,-1,4.25,6.5,8.5
44000053,6.6,7.25,-1,-1,-1,-1,6,8,-1
44000054,8.6,8.5,6,4.25,6,7,-1,-1,-1
44000055,2.8,6.5,4.8,-1,-1,-1,3.25,6.75,8.75
44000056,7.8,9,5.4,-1,-1,-1,6.75,9,8.75
44000057,4.4,6.75,4.6,-1,-1,-1,3,7.25,8
44000058,7.4,7.5,6.6,-1,-1,-1,6,7.25,8.75
44000059,7.2,6.75,5,6.5,6.25,7.5,-1,-1,-1
44000060,8.8,6.75,5.6,8,7.75,7.25,-1,-1,-1
44000061,9.2,7.75,4.8,8.75,9,7.25,-1,-1,-1
44000062,6.8,7.25,5,5.5,8.25,6.25,-1,-1,-1
44000063,8.8,6.75,7.4,7.75,7.25,7,-1,-1,-1
44000064,8.4,7.75,6.2,7.5,8.25,6,-1,-1,-1
44000065,7.8,8,9.2,-1,-1,-1,9.25,7,9
44000066,9.2,8.25,9,8.25,8.25,7,-1,-1,-1
