SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
47000001,8.2,6.75,5.8,7.25,7.25,4.5,-1,-1,-1
47000002,8.6,6,6.2,7.25,7,3.5,-1,-1,-1
47000003,6.8,7.75,3.8,-1,-1,-1,4.25,7.25,7.75
47000004,7.8,6.5,6.8,4.5,7,5.75,-1,-1,-1
47000005,8.6,7.25,5,5.5,7.75,5.5,-1,-1,-1
47000006,6.4,7.5,4.2,-1,-1,-1,6,6.25,8.5
47000007,7.4,7.75,4.4,7.25,7.25,4.5,-1,-1,-1
47000008,6,7.25,6.4,-1,-1,-1,4,7.25,8.5
47000009,8.8,8,4.4,7.25,7.25,5,-1,-1,-1
47000010,5.6,6.25,3.2,-1,-1,-1,3,6,7
47000011,5.6,6.75,3,7,3.5,4.5,-1,-1,-1
47000012,7.8,7.5,7.6,3.25,5.75,5,-1,-1,-1
47000013,7.8,6.25,5.2,6.25,5.5,5,-1,-1,-1
47000014,9.2,4,5,7.75,8.75,5.5,-1,-1,-1
47000015,7.8,7.5,6.2,-1,-1,-1,-1,-1,-1
47000016,8.4,6,3.2,8,6.75,5.25,-1,-1,-1
47000017,7.8,7.25,7,7.5,6.5,6.25,-1,-1,-1
47000018,8.6,7.25,7.2,7,7,4.5,-1,-1,-1
47000019,8.4,7,7.4,7.25,6,5,-1,-1,-1
47000020,6.6,8.25,4,-1,-1,-1,4,6,7.5
47000021,3.8,5.5,-1,-1,-1,-1,5,6.5,-1
47000022,4.8,7.25,-1,-1,-1,-1,4.5,7.5,-1
47000023,7.8,7.5,6,-1,-1,-1,7.75,7.75,8.75
47000024,7.2,7,6.4,-1,-1,-1,8.5,6.25,8.25
47000025,6.6,8,7.6,-1,-1,-1,7.25,6.75,8
47000026,8.6,8,7.4,-1,-1,-1,7.5,8.25,9.75
47000027,8.2,7.25,6.8,-1,-1,-1,6.75,8.75,8.5
