SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
48000001,7,7,5,-1,-1,-1,4.75,6.75,9.75
48000002,8.2,7.25,4,7.75,7.75,5.25,-1,-1,-1
48000003,8.4,6,5.2,8,8,7.5,-1,-1,-1
48000004,8.2,7.75,6,7.25,7.75,5.5,-1,-1,-1
48000005,3.4,5.25,-1,-1,-1,-1,1.5,3,-1
48000006,7.4,7,4.2,6,5.75,5.5,-1,-1,-1
48000007,3.6,4,-1,-1,-1,-1,3.25,6.75,-1
48000008,6,4.75,6.2,-1,-1,-1,5.75,7,8
48000009,6.4,5.75,3.8,-1,-1,-1,7.75,7.75,8.25
48000010,9.2,6.25,9,7,8.75,7.5,-1,-1,-1
48000011,7.4,6.25,-1,-1,-1,-1,9,7.25,-1
48000012,8,6.25,3.6,8,8.25,3.25,-1,-1,-1
48000013,7.6,6.25,8.4,6.75,4.25,4.75,-1,-1,-1
48000014,7.2,6.75,5,-1,-1,-1,4.25,7.25,9.5
48000015,7.2,6.75,4.6,-1,-1,-1,4.75,7,9
48000016,8.2,5,5.8,7.5,6,5.5,-1,-1,-1
48000017,8.6,8.5,8.8,8,7,7,-1,-1,-1
48000018,7.2,6.75,3.2,-1,-1,-1,6,7.25,8
48000019,7.2,7,4.6,8,7.25,4.75,-1,-1,-1
48000020,5,5.25,5,3.75,5,3.25,-1,-1,-1
48000021,7.2,5.5,6.6,7.25,7.5,5.25,-1,-1,-1
48000022,8.4,8.25,8.6,6.5,6,6.25,-1,-1,-1
48000023,7.6,5.5,5.6,7,5.5,5.5,-1,-1,-1
48000024,8.6,7,8.4,7.75,4.25,5,-1,-1,-1
48000025,7.4,7,7.6,-1,-1,-1,5.75,6.5,8.25
48000026,3.6,4.25,-1,-1,-1,-1,6,4.75,-1
48000027,8.6,6.25,5.4,8,8,5.25,-1,-1,-1
48000028,8,4.5,9.2,5,8,5.5,-1,-1,-1
48000029,6.2,4.75,-1,-1,-1,-1,7,7.25,-1
48000030,7.2,7,4,6,5,3.75,-1,-1,-1
48000031,5.2,5.25,-1,-1,-1,-1,4.75,6,-1
48000032,7.2,5.25,4.8,-1,-1,-1,7.25,8,9.75
48000033,6,5.75,6.6,-1,-1,-1,5.5,8,8.5
