SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
50000001,8.6,8.5,4.4,6.25,5.75,6.75,-1,-1,-1
50000002,7.2,8,4.4,-1,-1,-1,5.25,6.75,8.75
50000003,6.2,7.75,5,-1,-1,-1,5,6.25,7.75
50000004,5.8,8,4.2,5,4.5,4.5,-1,-1,-1
50000005,8.4,9,6,8.5,7.25,6.25,-1,-1,-1
50000006,3.6,6,4.2,-1,-1,-1,5,6.25,7
50000007,6.8,6.25,5,-1,-1,-1,7.25,8.75,9.75
50000008,7.6,7.75,6,-1,-1,-1,7.25,8.25,8.75
50000009,7.2,7.75,3,5.75,5.25,5.5,-1,-1,-1
50000010,7.2,7.5,3.6,7.75,5.75,6.75,-1,-1,-1
50000011,7.6,7.5,4.2,-1,-1,-1,6.75,8.25,9.25
50000012,6.8,8,5.2,-1,-1,-1,5.75,7,8.75
50000013,7.8,8.25,4,7.5,7.25,7,-1,-1,-1
50000014,7.8,8,4.6,7.5,8,7.25,-1,-1,-1
50000015,8.2,8,3.6,-1,-1,-1,6.25,8.25,9.5
50000016,6.8,7,4,-1,-1,-1,5,6.25,7.75
50000017,9,8.25,8.2,8.5,7.5,7.75,-1,-1,-1
50000018,8.2,7.25,5.4,8.25,7.75,6,-1,-1,-1
50000019,8,7.75,4,7.75,5.75,5,-1,-1,-1
50000020,8,8.5,7.2,7,7,6.5,-1,-1,-1
50000021,8.6,8.25,5.6,8.5,7.75,6.25,-1,-1,-1
50000022,7.2,7,5.6,-1,-1,-1,7.25,6.75,8.5
50000023,6.8,7,3.4,5.5,5.75,5.5,-1,-1,-1
50000024,6.8,6,3.8,-1,-1,-1,5,6.5,8.25
50000025,5.8,7.5,3.8,-1,-1,-1,5.25,7.5,8.75
50000026,8.4,7.42,4.2,8.25,8.75,5,-1,-1,-1
50000027,7.8,6,2,7,6.5,4,-1,-1,-1
50000028,5.6,5.5,3,-1,-1,-1,6,7.5,9
50000029,6.4,8,4,-1,-1,-1,4.5,7.5,9
50000030,7.4,7,3,-1,-1,-1,6.5,6.25,8.75
50000031,8.2,8.75,8.8,5.25,5.25,5.5,-1,-1,-1
50000032,7.4,6,4,-1,-1,-1,4,7,8
50000033,6.4,8,3.6,-1,-1,-1,5,6,8.25
50000034,7,7.5,2.8,-1,-1,-1,5.75,8,8.75
50000035,6.4,6.5,2.4,-1,-1,-1,4.5,7.25,9
50000036,7.8,7,5.8,6.75,6.5,6.5,-1,-1,-1
50000037,5.8,7.25,5,-1,-1,-1,3.5,6,8.25
50000038,6.4,7.75,3.8,6.75,4.25,5.75,-1,-1,-1
50000039,7,7.25,2.4,-1,-1,-1,3.25,6.25,8.75
50000040,7.8,8,5.2,7.75,8.25,7,-1,-1,-1
50000041,7.6,6.75,5.6,6.75,7.5,5.25,-1,-1,-1
50000042,6.2,7,4.4,-1,-1,-1,5,8.25,9
50000043,8.2,8,4.8,9,8.5,5.25,-1,-1,-1
50000044,8.2,6.5,5.6,-1,-1,-1,5.25,7.75,8
50000045,5,7.25,3.8,-1,-1,-1,5.25,6.5,8.5
50000046,5,6.83,3.4,-1,-1,-1,4.25,4.5,7.25
50000047,6.2,7.25,5,7.75,5.25,6.25,-1,-1,-1
50000048,7.8,7.25,5.2,6.75,4.5,5.75,-1,-1,-1
50000049,7.4,7.75,3.8,-1,-1,-1,6.25,7.5,8.75
50000050,8.6,7,7,-1,-1,-1,6.25,9,9.25
50000051,6.8,5.75,5.2,-1,-1,-1,5.25,6.75,9.25
50000052,6.4,6,2.8,-1,-1,-1,6.25,7.5,8.5
50000053,7.2,7,3.8,-1,-1,-1,7.25,7,9
50000054,7.4,8,4,7.75,6,6.75,-1,-1,-1
50000055,7.2,5.25,3.8,-1,-1,-1,4,6.75,9
50000056,7.8,6.25,5.2,7,7.25,4.75,-1,-1,-1
50000057,8,6.5,5,8,8.25,6.5,-1,-1,-1
50000058,7.8,8.25,5.2,7.75,7,5.75,-1,-1,-1
50000059,7.2,8.25,5,-1,-1,-1,3.75,5.75,9
50000060,7,7,3.6,-1,-1,-1,6.25,7.25,9.5
50000061,8.2,7.5,3.4,7.5,6.5,5.25,-1,-1,-1
50000062,5.8,7.5,4.4,8.25,4.5,5.5,-1,-1,-1
50000063,7.6,8,4.4,5,5,5.5,-1,-1,-1
50000064,8.4,7,4.4,7.5,7.25,6.75,-1,-1,-1
50000065,8,8,5.2,7,7.5,5.5,-1,-1,-1
50000066,9.4,9,7.8,7,8.75,8,-1,-1,-1
50000067,8.2,7.75,4.2,7.25,7.5,5.25,-1,-1,-1
50000068,6.6,8,3.2,-1,-1,-1,3.5,6,8.5
50000069,5.2,6.5,3.4,-1,-1,-1,5,6.75,7.5
50000070,5.6,8,3.2,-1,-1,-1,4.25,6,7.5
50000071,7.2,7.5,3.6,7.75,7.25,7.75,-1,-1,-1
50000072,5.2,6.5,4.6,6.75,4.75,3.75,-1,-1,-1
50000073,8,8,5,8.25,8,5.75,-1,-1,-1
50000074,8.2,6,5.8,7.25,7.5,6.5,-1,-1,-1
50000075,8.2,8.5,3.6,7,5.75,6.25,-1,-1,-1
50000076,8.8,7.25,4.8,7.75,6,7.25,-1,-1,-1
50000077,5.6,6.5,4,5,5.5,4.25,-1,-1,-1
50000078,7.4,7.75,3.4,-1,-1,-1,4.25,7.25,7.75
50000079,9.4,8,6.8,7.75,9.5,8.25,-1,-1,-1
50000080,7.6,7.5,4.6,-1,-1,-1,5.25,7,8.75
50000081,8,7.5,3.6,5.25,6.5,4.75,-1,-1,-1
50000082,7.8,5.5,5.8,-1,-1,-1,8,7.25,9.75
50000083,8,6.75,5,5.5,6,5,-1,-1,-1
50000084,7.2,9,3.8,-1,-1,-1,8.5,8.25,9.5
50000085,7.6,7.75,5.4,5,6.25,7.5,-1,-1,-1
50000086,7,7.5,2.6,-1,-1,-1,3.5,6.25,9.25
50000087,7.8,6,4.8,6.75,5.25,5.75,-1,-1,-1
50000088,8.6,8.5,6.4,6.5,8.75,8,-1,-1,-1
50000089,9,8.5,5.6,8.5,7.5,7.5,-1,-1,-1
50000090,4.6,6.5,2.4,-1,-1,-1,5.25,6,7.75
50000091,3.2,6.25,3,-1,-1,-1,4,5.5,7.75
50000092,8.6,7.5,3.8,8.25,6.25,6.5,-1,-1,-1
50000093,7.6,6,3.8,6,5.75,5.75,-1,-1,-1
50000094,8.4,5.5,3.8,-1,-1,-1,5.25,8.25,8.75
50000095,8.6,7.5,3.4,-1,-1,-1,7,7.25,9
50000096,7.8,7.5,5.6,7.75,5.75,5.75,-1,-1,-1
50000097,7.4,7.5,4,-1,-1,-1,5.5,6.5,9
50000098,8.2,8,5.4,7.5,7.75,6.25,-1,-1,-1
50000099,8,7,4.6,7,7,6.25,-1,-1,-1
50000100,7.8,6,6,6.5,6.25,4.5,-1,-1,-1
50000101,5.6,5.5,3.2,-1,-1,-1,4.25,6.5,8.5
50000102,8,6,3.8,6.25,6.5,5.25,-1,-1,-1
50000103,5.8,5.75,3.4,-1,-1,-1,5,7.25,8.75
50000104,8,6,3,6.75,5,6.75,-1,-1,-1
50000105,6.6,6.25,3.4,-1,-1,-1,5.5,6,8
50000106,4.2,7.5,3.6,-1,-1,-1,3.75,3.75,8
50000107,8,7,2.8,4,7.75,7,-1,-1,-1
50000108,7.2,8.5,5.2,6,6.75,7,-1,-1,-1
50000109,6.4,8,4.2,6,5.25,5.75,-1,-1,-1
50000110,6,7.25,3.2,-1,-1,-1,3.5,5.5,8.5
50000111,7.6,8,5.2,8.75,8.25,6,-1,-1,-1
50000112,7,7,3.2,-1,-1,-1,4,6.5,7.5
50000113,6.4,6.25,4.6,-1,-1,-1,5.25,7.5,9.75
50000114,7.6,8,3.2,-1,-1,-1,4.75,7,7.75
50000115,6.8,6.75,4,4,6.25,6,-1,-1,-1
50000116,7.2,8.5,4.4,-1,-1,-1,7,7.5,9
50000117,7.8,9,6.8,7.5,6.5,7.25,-1,-1,-1
50000118,8.2,8.25,4,5.25,8,6.25,-1,-1,-1
50000119,5,8.5,4.2,-1,-1,-1,5.5,6.75,9.5
50000120,8.6,7.75,4.8,7.75,7.25,7,-1,-1,-1
50000121,6.2,7,2,-1,-1,-1,4,6.75,9
50000122,5,7.25,3.2,-1,-1,-1,3.25,7,9
50000123,7.4,6.5,3.6,-1,-1,-1,5.75,7.5,9
50000124,7.8,7.5,5.4,6,7,7.5,-1,-1,-1
50000125,6.4,8,2.2,-1,-1,-1,4.75,6.5,8.25
50000126,7.6,7.5,4.6,7.5,6.5,4.5,-1,-1,-1
50000127,7.8,8,4.8,-1,-1,-1,8.25,8.25,8.5
50000128,7.2,6.5,3.6,-1,-1,-1,4.25,4.5,8.75
50000129,4.8,6,2.4,-1,-1,-1,3.25,5.25,7.5
50000130,5.8,5.5,3.8,-1,-1,-1,5.25,6.75,9.25
50000131,7.4,8.25,4.4,7.75,7.75,6.5,-1,-1,-1
50000132,8,8.5,4.8,6.75,7.75,5.75,-1,-1,-1
50000133,8.4,8.25,6,6.75,7,5.75,-1,-1,-1
50000134,7.8,8.25,3.2,6.25,6.25,6.25,-1,-1,-1
50000135,8.2,8.25,6,5.25,7,6.75,-1,-1,-1
50000136,8.2,9,3.4,6.75,7,6.75,-1,-1,-1
50000137,7.8,6.5,4,6.75,5.75,6,-1,-1,-1
50000138,8,4.25,4,7,6.5,4.5,-1,-1,-1
50000139,6.6,8,3,-1,-1,-1,2.75,6,6.5
50000140,3.4,6.25,4.4,-1,-1,-1,4,5,7.5
50000141,8.2,7.5,5,8,8,5.75,-1,-1,-1
50000142,4.4,6.5,4.2,3.75,5,5.75,-1,-1,-1
50000143,4.6,7,4,-1,-1,-1,4,6.75,7.25
50000144,7.2,7,3.6,-1,-1,-1,5.75,7,8
50000145,8.8,8,5.6,7.75,8.5,6.75,-1,-1,-1
50000146,5.8,6.75,3.6,4.25,3.5,3.75,-1,-1,-1
50000147,8.6,9,7.2,-1,-1,-1,7,7.75,8.75
50000148,8,7,4.4,7.5,6.25,4.5,-1,-1,-1
50000149,7.6,6.75,4.8,8,8,4.75,-1,-1,-1
50000150,7.6,7,3.6,-1,-1,-1,4.5,6,7.75
50000151,8.2,8,4,7,7.75,8.25,-1,-1,-1
50000152,5.8,7,3.4,4.75,5,5.75,-1,-1,-1
50000153,6.2,6,3.6,-1,-1,-1,5,7.5,8.75
50000154,8.4,7.5,4.6,7.75,8,6.25,-1,-1,-1
50000155,5.8,8,3.4,-1,-1,-1,3.25,6,8
50000156,7.8,8,4.8,7,6,4,-1,-1,-1
50000157,4.4,7,3,-1,-1,-1,4.25,6,8.5
50000158,8.6,8.75,8.8,8.25,7.75,8,-1,-1,-1
50000159,7.2,6.5,4,5.25,4.75,6,-1,-1,-1
50000160,8.2,6.5,4.4,8.75,7.5,6.25,-1,-1,-1
50000161,7.8,8.25,3.6,6,6.25,4.25,-1,-1,-1
50000162,7.4,6.67,4.6,4.75,6,6.75,-1,-1,-1
50000163,6.4,7,5.4,7,5.5,4.75,-1,-1,-1
50000164,8.6,8,4.8,7.25,5.5,5.75,-1,-1,-1
50000165,5,8,4,2.75,3.75,2.75,-1,-1,-1
50000166,5.2,6.75,3.2,-1,-1,-1,5.25,7.75,9.75
50000167,7.2,6.75,1.8,-1,-1,-1,6.5,7.5,8.25
50000168,5,6.75,4.2,-1,-1,-1,5.25,5.5,7.25
50000169,6.8,7.5,2.4,-1,-1,-1,6.5,8,9
50000170,5.8,5.5,3.6,-1,-1,-1,4.75,6,7.75
50000171,8.8,8,5.6,8.25,8.25,6.25,-1,-1,-1
50000172,7.8,8.5,3.8,8,6,6.75,-1,-1,-1
50000173,8.8,7.25,6.2,8.25,7,5.5,-1,-1,-1
50000174,7,8,6.6,7,6.5,5.5,-1,-1,-1
50000175,5.2,8.25,2.6,-1,-1,-1,5,6.25,8.5
50000176,8,6.25,5.6,6.75,7.25,6.75,-1,-1,-1
50000177,7.8,8.25,6,-1,-1,-1,7.5,8.5,10
50000178,8.2,8,5.6,5.75,7,5.5,-1,-1,-1
50000179,5.6,7.75,2.4,-1,-1,-1,3.75,6.25,8
50000180,8,7.75,5.4,6.75,6.75,5.25,-1,-1,-1
50000181,8.2,8,5.8,8,8.25,4,-1,-1,-1
50000182,6,5.75,5,6.25,6.25,5.5,-1,-1,-1
50000183,7.6,7,3.2,7,7.25,5.5,-1,-1,-1
50000184,7.6,7,4.8,5.25,6,6.25,-1,-1,-1
50000185,8,8.75,4.4,6.5,8,5.75,-1,-1,-1
50000186,8.2,8,7.2,8.5,7.25,7,-1,-1,-1
50000187,7.2,6.75,4.6,4.75,6.25,4.25,-1,-1,-1
50000188,7.4,7,4.4,5.5,5,4.75,-1,-1,-1
50000189,7,6.75,4.6,-1,-1,-1,4.25,6.75,8.75
50000190,7.8,7.75,3.8,-1,-1,-1,5.25,6.5,9.25
50000191,6,7.5,3.2,-1,-1,-1,4,6.75,8.5
50000192,8.8,7.75,5,8,8.5,8,-1,-1,-1
50000193,6,6.5,3.2,-1,-1,-1,3.25,7.5,8.25
50000194,8.8,7,3.8,7.75,8.75,5.75,-1,-1,-1
50000195,6.2,7.75,3.2,-1,-1,-1,5.5,6.5,8.75
50000196,5.6,6,4.2,-1,-1,-1,6,7.75,9
50000197,7.2,6,3.8,5.25,5,3.75,-1,-1,-1
50000198,7.6,6.75,3.6,-1,-1,-1,6.5,6.75,9.75
50000199,8.2,6.5,6.2,7.5,7,5.25,-1,-1,-1
50000200,7.6,7.75,5.8,6.75,4.25,5,-1,-1,-1
50000201,7.4,7,5.2,6.5,5.5,4,-1,-1,-1
50000202,8.4,7.75,3.4,5.75,5,6.75,-1,-1,-1
50000203,8.2,6.75,4.8,7.25,6.5,7,-1,-1,-1
50000204,8.4,6.75,3.6,6,6.5,6.25,-1,-1,-1
50000205,8.6,7.75,6.2,7.5,6.25,5,-1,-1,-1
50000206,6.8,7.75,3.4,-1,-1,-1,6,8,9.25
50000207,8.8,9,8.8,8.5,6.5,6.25,-1,-1,-1
50000208,6.4,7.75,2.8,-1,-1,-1,5,6.5,9.25
50000209,7.8,8.25,8.2,-1,-1,-1,8.75,9,10
50000210,3,5.5,3.4,-1,-1,-1,4.75,5.5,8
50000211,7,6,4.4,-1,-1,-1,7.5,9,9
50000212,7.4,7,4.6,-1,-1,-1,5.25,7.5,8
50000213,7.4,8,2.6,-1,-1,-1,4.5,8,9.25
50000214,6.2,7.5,3.8,6.25,4.25,5.25,-1,-1,-1
50000215,9,7.25,6.6,7,7.25,6,-1,-1,-1
50000216,6.4,7,3.4,-1,-1,-1,5,6.75,9
50000217,8.4,8,5.4,7.75,8,6,-1,-1,-1
50000218,8,6.75,6.6,7,8.25,8.25,-1,-1,-1
50000219,8,7.75,5,7.25,7.75,6.75,-1,-1,-1
50000220,8,7.25,5,-1,-1,-1,8.75,8.25,9.25
50000221,5.8,6.75,3.6,-1,-1,-1,4.75,6.75,7.5
50000222,6,8.25,2.6,-1,-1,-1,4.5,6.5,9.25
50000223,4,6,1.4,3.25,2.5,4.25,-1,-1,-1
50000224,7,6.5,5.4,7.5,6.25,6,-1,-1,-1
50000225,5.6,7,4.6,-1,-1,-1,7.75,8.5,9.25
50000226,8.4,8,4.4,7.75,7.5,7.75,-1,-1,-1
50000227,8.2,7.5,5.4,8.75,7.75,6.75,-1,-1,-1
50000228,8.6,8,6.2,7.5,7.5,6.75,-1,-1,-1
50000229,6.2,7.75,4.2,3.25,4.25,5,-1,-1,-1
50000230,7.6,8.5,4.2,7,7.25,5.5,-1,-1,-1
50000231,5.8,8.25,3.4,3.75,3.5,4.5,-1,-1,-1
50000232,7.8,8,3.2,-1,-1,-1,7.25,9,9
50000233,7.6,8.5,5.2,7.75,7.5,7.5,-1,-1,-1
50000234,8.6,7.5,3,8.25,6.75,3.75,-1,-1,-1
50000235,8.6,8.75,5.8,5.75,6.75,5.5,-1,-1,-1
50000236,8,8.5,3.8,6.75,5.75,6.5,-1,-1,-1
50000237,4.2,4.75,3,-1,-1,-1,4,7.5,9.25
50000238,7.8,7.75,4.4,6.75,7.5,6.75,-1,-1,-1
50000239,5.4,7.25,4,-1,-1,-1,5.25,8.25,9
50000240,8.6,6.5,3.4,7,8.25,6.75,-1,-1,-1
50000241,6.8,6,3,-1,-1,-1,5,7.75,8.25
50000242,5.2,7.25,4,-1,-1,-1,7.5,6.75,9.75
50000243,5.8,6.5,3.6,-1,-1,-1,4,6.75,8
50000244,7.4,6.5,4.2,5.5,6.5,4.75,-1,-1,-1
50000245,5.2,8,2.6,-1,-1,-1,5,7,7.75
50000246,8.8,8.75,6.4,8.5,7.75,7.25,-1,-1,-1
50000247,8.8,6.75,5.2,8,7,5,-1,-1,-1
50000248,5.2,7.75,3.8,-1,-1,-1,4.75,7.25,9.25
50000249,8.2,7,4.6,8.25,8,7,-1,-1,-1
50000250,6.8,6.75,3,-1,-1,-1,5.25,6.5,8.5
50000251,8,7.5,6.4,7.5,7.75,6.5,-1,-1,-1
50000252,8.4,8.25,5.6,8,7.5,7,-1,-1,-1
50000253,7.6,7.5,5.2,7.75,7.25,5,-1,-1,-1
50000254,6.2,5.5,3.4,-1,-1,-1,6.5,7.75,8.5
50000255,8,7,5.6,-1,-1,-1,7.25,8.5,9.25
50000256,7.2,6.25,4,-1,-1,-1,7.25,7.25,7.75
50000257,6.6,7.75,3,-1,-1,-1,6.25,6.5,9
50000258,6.8,7.5,3,-1,-1,-1,6.75,7.25,8.75
50000259,8.2,7.75,3.8,8,6.75,6,-1,-1,-1
50000260,6.8,9,5.2,-1,-1,-1,5.5,7.75,9.5
50000261,8.2,7,3,7.75,7.5,6.5,-1,-1,-1
