SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
53000001,7.8,7,5.8,7.5,8.25,5,-1,-1,-1
53000002,9,8,7.4,8.75,9,6.25,-1,-1,-1
53000003,8.2,7,8,8.25,6,5.25,-1,-1,-1
53000004,8.6,7,7,8.5,8.5,6.5,-1,-1,-1
53000005,8.6,7.75,4.8,-1,-1,-1,4.25,5.75,8.5
53000006,6.6,5,2.2,2.25,3.75,5.25,-1,-1,-1
53000007,6.4,5,4.6,5,4.25,4.75,-1,-1,-1
53000008,6.8,6.75,3.8,-1,-1,-1,2.75,4.75,8.25
53000009,6.8,7.5,3.8,-1,-1,-1,4.75,6.5,8
53000010,6.2,6.5,3.4,-1,-1,-1,3.25,6.5,8
53000011,7.4,8.25,6.6,-1,-1,-1,8,6.25,9.25
53000012,8.2,7.5,6.2,8,8.25,5.75,-1,-1,-1
53000013,8.8,7,6.4,7.5,8.25,6.5,-1,-1,-1
53000014,7,7.75,5.2,-1,-1,-1,5.5,6.5,8.75
53000015,5.4,7,5.2,-1,-1,-1,4.75,7.75,8.75
53000016,4.6,7.5,3.8,-1,-1,-1,3.75,6,9
53000017,6.8,7,6.2,7.5,7.75,6.25,-1,-1,-1
53000018,6.2,6.5,5.6,-1,-1,-1,8.25,8,9.5
53000019,6.6,6.25,4.4,-1,-1,-1,5,6.75,7.75
53000020,8.2,7.75,5.6,7.75,4.5,4.75,-1,-1,-1
53000021,6.8,8,6,-1,-1,-1,4,6,7.75
53000022,6.2,8.5,4.6,-1,-1,-1,4.75,6.5,9
53000023,6.6,7.25,5.2,-1,-1,-1,8.5,8,9
53000024,9.4,8.25,8.2,8,7.25,7,-1,-1,-1
53000025,7,7.25,6.2,6.75,7.5,5.75,-1,-1,-1
53000026,6,7,3.2,-1,-1,-1,5.5,6.25,8.5
53000027,7.6,8.25,7.2,7,7,5.5,-1,-1,-1
53000028,7.4,8.75,6.4,-1,-1,-1,6.75,8,9
53000029,8,7.5,5.4,-1,-1,-1,5.25,7.25,9
53000030,6.6,8.25,4.2,-1,-1,-1,4.25,5.75,7.5
53000031,8.2,7.5,8.4,7.5,6,6.5,-1,-1,-1
53000032,6.4,6.25,5,-1,-1,-1,6.5,5.75,8
53000033,7.4,6.25,3.2,5.25,5.5,4.25,-1,-1,-1
53000034,6.8,7,4.4,-1,-1,-1,4.5,7.25,6.75
53000035,7.6,8,7,5.75,8.25,5.75,-1,-1,-1
53000036,8.2,6.25,4.8,7.25,7,5,-1,-1,-1
53000037,7.6,6.25,6,-1,-1,-1,5.75,6.25,8.75
53000038,8.2,8.25,7.6,6,4.5,5.5,-1,-1,-1
53000039,8,8,3.4,4.75,8,6.75,-1,-1,-1
53000040,9.2,7.75,8.2,-1,-1,-1,7.5,7.75,9.75
53000041,8.4,8.5,6.4,6,7.75,7,-1,-1,-1
53000042,6.6,7.5,5.4,-1,-1,-1,4.75,8,8.75
53000043,8.8,8,7.8,6,6,6.75,-1,-1,-1
53000044,7.8,7,4.6,8,5.75,6.5,-1,-1,-1
53000045,8.4,6.25,3.8,7.75,7.75,4.25,-1,-1,-1
53000046,8,6.5,3.2,4,5.75,5.25,-1,-1,-1
53000047,8.6,5.75,6.4,7,7.5,6.25,-1,-1,-1
53000048,9,7,7.6,6.25,7.75,8,-1,-1,-1
53000049,4.6,5.75,3.4,-1,-1,-1,5,7.25,7.75
53000050,8.6,8.25,8,6.75,8.75,6.5,-1,-1,-1
53000051,6.6,6.5,6.8,7.25,4.5,5.75,-1,-1,-1
53000052,8.2,8.75,9.4,7.75,6.75,6,-1,-1,-1
53000053,7.6,6.75,4.2,-1,-1,-1,6.5,8,8
53000054,8.4,8,4,7.25,7.5,6.25,-1,-1,-1
53000055,8,6.5,4.8,6.5,6.75,7,-1,-1,-1
53000056,8.4,8,6.4,7.75,8,7.25,-1,-1,-1
53000057,5.2,7.25,4,-1,-1,-1,5,7.75,8.5
53000058,7.8,6.75,4.8,-1,-1,-1,2.25,5.5,9
53000059,7.4,7.75,4.8,7.5,8,7.25,-1,-1,-1
53000060,7.4,7,5.4,8,7.5,6.75,-1,-1,-1
53000061,8,8,4.6,7.25,3.75,5.25,-1,-1,-1
53000062,8,7.75,3.6,5.25,6,4,-1,-1,-1
53000063,6.6,8,5,-1,-1,-1,5.75,6.5,8
