SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
57000001,7.6,6,4,4.5,4.75,6.25,-1,-1,-1
57000002,7.6,8.5,6.6,7,6.75,4.5,-1,-1,-1
57000003,7.4,6,4,6.25,5.5,6.75,-1,-1,-1
57000004,5,5.75,-1,-1,-1,-1,4.5,8,-1
57000005,8.6,7.5,5.2,6.5,6.75,6.75,-1,-1,-1
57000006,7.6,6.75,4.4,-1,-1,-1,6,6,8
57000007,5.2,6.75,3.4,-1,-1,-1,2.5,6,7
57000008,3.2,6.5,-1,-1,-1,-1,4.5,-1,-1
57000009,6.4,6.25,8.4,-1,-1,-1,5,7.75,9.25
57000010,5.8,5.5,4.6,-1,-1,-1,5.25,7,9
57000011,7.8,6.5,6.4,-1,-1,-1,6.75,7.25,8.5
57000012,1.4,3.75,-1,-1,-1,-1,4,4.5,-1
57000013,6,6,4.6,5.75,4.75,5.5,-1,-1,-1
57000014,7.4,7,4.6,-1,-1,-1,5.5,7,8.75
57000015,3.4,6,-1,-1,-1,-1,3.25,3.5,-1
57000016,4.8,5.5,-1,-1,-1,-1,4.25,5,-1
57000017,7.4,7,5,-1,-1,-1,9,7.25,9
57000018,8,6.5,6.2,9.25,7.75,6.75,-1,-1,-1
57000019,8.6,6.5,7.8,8,7,6.25,-1,-1,-1
57000020,7.6,6.25,5,4.25,7.5,6.25,-1,-1,-1
57000021,9,6.75,6,7.25,7.5,5,-1,-1,-1
57000022,9.2,7,5.6,7.75,8.5,6.5,-1,-1,-1
57000023,1.4,5,-1,-1,-1,-1,3,5,-1
57000024,4.4,6.25,-1,-1,-1,-1,4.75,5.75,-1
57000025,8.4,6.25,3.2,6,8.25,5.75,-1,-1,-1
57000026,9,6.75,5.8,7.25,8.25,5.5,-1,-1,-1
57000027,4.8,6.5,4.8,-1,-1,-1,4.5,6.25,9
57000028,4.4,6.5,-1,-1,-1,-1,3,5.75,-1
