SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
58000001,6.4,7,3,5.5,5,5.25,-1,-1,-1
58000002,8.2,7.25,5.8,5.75,7.25,7.25,-1,-1,-1
58000003,6.8,7.75,6.8,4.75,3.5,6,-1,-1,-1
58000004,6.6,6.5,3.4,6.75,5.25,4,-1,-1,-1
58000005,7.2,7.75,4.4,8,6.25,6,-1,-1,-1
58000006,7.2,7.5,6,5,7.5,4.75,-1,-1,-1
58000007,5.6,5.5,3.4,-1,-1,-1,5.75,7.75,9
58000008,5,5.5,3.4,-1,-1,-1,5,6.5,8.25
58000009,6.4,6.75,3.8,-1,-1,-1,6.5,6.25,7.75
58000010,6.8,5.75,5.4,3,5,4.75,-1,-1,-1
58000011,7.6,7.25,3.6,6.5,5.25,4.25,-1,-1,-1
58000012,4.4,3.75,3,-1,-1,-1,4.75,5.25,9
58000013,3.8,6.75,-1,-1,-1,-1,4.25,7,-1
58000014,7.8,6.5,3,4.5,6.25,6,-1,-1,-1
58000015,3.8,5.75,-1,-1,-1,-1,3.75,6.5,-1
58000016,4.2,6.5,-1,-1,-1,-1,3.75,6.5,-1
58000017,6,7,4,4.75,6.25,5.25,-1,-1,-1
58000018,7,6.75,5.6,7,6.75,6.25,-1,-1,-1
58000019,4.8,5.75,2.6,-1,-1,-1,3.75,7.5,8.75
58000020,4.8,7,3.4,-1,-1,-1,5.75,8.25,8.25
58000021,8.8,7.5,5.2,8,7.25,7.5,-1,-1,-1
58000022,7.6,6.5,2.4,6,5.75,5.75,-1,-1,-1
58000023,5.8,7.25,-1,-1,-1,-1,4.25,6.25,-1
58000024,8.2,8.75,3.2,8.25,7.5,7,-1,-1,-1
58000025,5.4,6,-1,-1,-1,-1,3.75,7,-1
58000026,7,7.25,4.6,-1,-1,-1,8.75,8.75,8.75
58000027,4.6,6,-1,-1,-1,-1,7.5,8.5,-1
58000028,6,7.25,4.4,-1,-1,-1,6.75,7,8.75
58000029,4.4,7,-1,-1,-1,-1,6.25,7.75,-1
58000030,4.6,7,3.4,-1,-1,-1,3.5,7,8
58000031,6,7.25,4.4,-1,-1,-1,6.25,7,8.75
58000032,5.8,6.75,4,-1,-1,-1,6.5,6.5,9.5
