SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
60000001,8.2,7.5,4.4,-1,-1,-1,9.5,7.75,9
60000002,7.2,6.5,7.4,-1,-1,-1,6.25,6.5,9.25
60000003,7.8,7.5,7.4,8,8,6.5,-1,-1,-1
60000004,8.8,7,5.4,6.5,9,8.25,-1,-1,-1
60000005,8.4,7.75,7.8,7.25,8.5,7,-1,-1,-1
60000006,8,7.25,5,7.25,6,4.25,-1,-1,-1
60000007,8.4,6.25,6.4,7.5,7,6,-1,-1,-1
60000008,8,7.5,5.8,3.5,6.5,6,-1,-1,-1
60000009,6.4,7.25,2.8,-1,-1,-1,8,9,8.5
60000010,7.6,8,6,5.5,4.75,4.25,-1,-1,-1
60000011,7.6,6.25,2.2,8,6.25,3.75,-1,-1,-1
60000012,8,8,5.8,4.75,6.75,4.5,-1,-1,-1
60000013,6.8,8,5.4,-1,-1,-1,4.75,7.25,8.75
60000014,8.4,7,4.6,6.75,7,5.5,-1,-1,-1
60000015,7.8,8.25,5.2,8.5,8.75,5.25,-1,-1,-1
60000016,6.4,7,4,-1,-1,-1,6,6.5,8.25
60000017,3.8,5.5,5.6,-1,-1,-1,4.75,5.75,6.75
60000018,8.2,5.5,7.2,7.5,7.75,7,-1,-1,-1
60000019,8.4,5.75,8.8,6,6.75,7,-1,-1,-1
60000020,5.4,6.5,8.6,-1,-1,-1,5.25,7.5,8
60000021,7.8,7.5,5.6,-1,-1,-1,6.25,7.5,8.75
60000022,8,7.25,5,-1,-1,-1,5.75,6.5,9.5
60000023,7.2,7,4.4,-1,-1,-1,7.25,8.25,8.25
60000024,8.2,7.5,7.2,7.75,7.75,6.5,-1,-1,-1
60000025,6.8,4,1.8,-1,-1,-1,2.75,5.75,6.75
60000026,6.4,5.5,3,6.75,5,6.5,-1,-1,-1
60000027,7.8,8.25,4.8,-1,-1,-1,5.5,6.75,9.25
60000028,7.8,6.75,6.4,5.5,4.25,4.25,-1,-1,-1
60000029,7.8,7.25,3,-1,-1,-1,3.25,7.5,8.75
60000030,7.8,8,4,4.5,6,6,-1,-1,-1
60000031,7.4,6.5,3.2,5,5,6.25,-1,-1,-1
60000032,9,8,9.4,7.25,7.5,6.5,-1,-1,-1
60000033,6.2,8,8,-1,-1,-1,7.25,7.25,9
60000034,5,6.75,3.6,-1,-1,-1,4.75,7,7.75
60000035,6.8,7.75,5.8,-1,-1,-1,3.25,6.75,8.75
60000036,8,7.5,6.4,-1,-1,-1,6,7.75,8.25
60000037,5,6.5,3.8,-1,-1,-1,4.5,6.75,9
60000038,7.4,7,3.4,7,8.25,7.5,-1,-1,-1
60000039,5.4,6,2.6,-1,-1,-1,3,5.5,7
60000040,7.4,5.75,6.2,7,7.25,7.5,-1,-1,-1
60000041,9.2,7.75,4.8,-1,-1,-1,5.75,7.75,9.25
60000042,5,7.25,5.2,4,2,5.75,-1,-1,-1
60000043,7.2,7,5,6.75,6.25,5.75,-1,-1,-1
60000044,9.2,8,8,5.25,9,8.75,-1,-1,-1
60000045,8.8,7.25,6,8.25,8.75,5.75,-1,-1,-1
60000046,5.6,6,4,-1,-1,-1,5.25,6.5,7.25
60000047,9.2,7.5,5.8,8,8.25,6,-1,-1,-1
60000048,7.2,8,7.2,-1,-1,-1,4.75,5.5,9
60000049,7,8,4.4,-1,-1,-1,7.5,7.5,8.25
60000050,4.4,7,3,-1,-1,-1,4.5,5,7.5
60000051,6.8,6,3.2,-1,-1,-1,4,7.75,8.75
60000052,9.4,7.25,6.2,8.5,7.25,6.75,-1,-1,-1
60000053,7.6,5.75,2.6,-1,-1,-1,4.75,6.75,8
60000054,7.6,8,3.4,5,5.25,6,-1,-1,-1
60000055,7.8,6.75,7.6,7.5,3.25,3.5,-1,-1,-1
60000056,7.6,6.75,4.4,-1,-1,-1,7,7.5,9.25
60000057,6.6,6.5,3.8,-1,-1,-1,6,5.5,7
60000058,6.6,5.5,5.6,-1,-1,-1,6.75,7,8.25
60000059,6.6,6.75,4.8,-1,-1,-1,2.5,6.5,6.75
60000060,8.4,7,6.2,8.25,7.25,7,-1,-1,-1
60000061,7.6,8,5.2,-1,-1,-1,7.75,6.25,8.25
60000062,3,6.75,3.6,-1,-1,-1,4.25,6.75,8.75
60000063,7.2,7.5,3.2,-1,-1,-1,5.5,7.25,8.25
60000064,3.8,5.75,2.2,-1,-1,-1,3.75,5.25,7.25
60000065,7.4,6.75,1.6,-1,-1,-1,7.5,7.5,9.25
60000066,6.6,6.25,4,-1,-1,-1,6.5,6.75,8.25
60000067,5.6,6,4,-1,-1,-1,5.25,6.5,8
60000068,8,8.5,4.8,-1,-1,-1,6.75,7,9.25
60000069,7.8,7.5,7.8,5,6,3.5,-1,-1,-1
60000070,8.2,7.25,6,8.25,8,4.75,-1,-1,-1
60000071,4.4,6.5,4,-1,-1,-1,4.75,5.5,7.25
60000072,6.4,5.25,5.8,6.5,7.75,7.75,-1,-1,-1
60000073,7,7,4.2,7,5.5,3.75,-1,-1,-1
60000074,5.4,7.25,4.8,-1,-1,-1,4.25,5.25,7.25
60000075,6.6,7.75,5.4,3,4,5,-1,-1,-1
60000076,7,5.75,3,-1,-1,-1,5.25,7.75,8.25
60000077,6.8,5.75,7.4,7.75,6.5,4.5,-1,-1,-1
60000078,7.6,5.5,3.4,3.75,6,5.75,-1,-1,-1
60000079,4.8,3.75,2.6,-1,-1,-1,3.5,5.75,7.5
60000080,6.8,8.5,5.2,-1,-1,-1,8.75,8,9.5
60000081,7.2,6,6.2,-1,-1,-1,7,6.5,9
60000082,7.4,7.5,5.4,-1,-1,-1,6,7.5,9
60000083,8,7.5,5.2,6.25,7.5,6.25,-1,-1,-1
60000084,6.6,5.75,5,-1,-1,-1,3,6.5,8
60000085,5.8,6.25,3.4,-1,-1,-1,7.25,6.75,9.5
60000086,6.4,7,5,-1,-1,-1,6,8,9.5
60000087,7.6,8.25,4.6,-1,-1,-1,7.25,8.25,9.25
60000088,5.6,5.5,3,-1,-1,-1,5.5,7.25,7
60000089,7.4,4,3.4,-1,-1,-1,3,5.75,8
60000090,6.6,7.5,3.2,-1,-1,-1,8.25,7.75,9
60000091,8.2,6.25,5.4,7.75,8.75,5.25,-1,-1,-1
60000092,7.6,6.75,8.4,7.5,6,7.25,-1,-1,-1
60000093,5.4,4.5,4.6,-1,-1,-1,6,6.5,8.25
60000094,7.8,6.75,7.2,-1,-1,-1,6.5,6.5,8.5
60000095,8.2,7.5,5.2,6.25,7.75,7.75,-1,-1,-1
60000096,8.4,8.5,5.6,8.5,8.5,7.25,-1,-1,-1
60000097,6.6,7.5,4.6,-1,-1,-1,6.5,7.5,9
60000098,7.2,4.75,3.4,-1,-1,-1,7,7,8.75
60000099,9.2,7.5,7.4,8.25,9,9.25,-1,-1,-1
60000100,7.8,6.25,3,7.25,6.75,6.25,-1,-1,-1
60000101,6.8,6,5.4,5.25,6.5,7,-1,-1,-1
60000102,7.2,7,4.6,4.75,5.5,5,-1,-1,-1
60000103,8,7.75,7,6,5.25,7.25,-1,-1,-1
60000104,7.2,7,3.4,5.5,6.5,5.75,-1,-1,-1
60000105,6.8,8.25,3.2,-1,-1,-1,4,5.5,7.75
60000106,6.4,6.75,4.8,-1,-1,-1,5,7.25,8
60000107,9,6.75,6,6.5,8.25,8.25,-1,-1,-1
60000108,5.8,4.75,2.8,-1,-1,-1,2.25,4.75,7.5
60000109,6.2,7,6.6,4.5,3.5,5.5,-1,-1,-1
60000110,5.4,5.75,2.8,-1,-1,-1,2.75,6.25,6.25
60000111,5.4,5.5,4.2,-1,-1,-1,7.5,7.75,9
60000112,9,7,6,7.5,9,3.25,-1,-1,-1
60000113,7.2,5,3.6,-1,-1,-1,6,5.25,8.25
60000114,7,5.5,3.8,2.75,5.5,6.25,-1,-1,-1
60000115,8.8,8,7,6.5,8.75,9.5,-1,-1,-1
60000116,6,7.75,3.8,-1,-1,-1,4.75,8,7.5
60000117,8.8,8,5.4,7.25,8.25,8,-1,-1,-1
60000118,7.6,8,5.8,6.5,8.25,7.25,-1,-1,-1
60000119,7.2,6.5,5.8,6.5,6.75,6.25,-1,-1,-1
60000120,7,7.5,3.8,-1,-1,-1,5.25,5.75,7
