SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
02000001,8.2,7.0,8.2,8.0,8.5,7.75,-1,-1,-1
02000002,8.8,7.0,9.8,-1,-1,-1,7.75,8.0,9.0
02000003,7.8,6.5,9.2,-1,-1,-1,7.75,7.25,9.25
02000004,6.6,7.0,9.6,-1,-1,-1,6.0,7.5,9.25
02000005,8.0,6.75,8.6,5.75,8.0,7.25,-1,-1,-1
02000006,7.8,6.5,8.8,-1,-1,-1,6.75,6.5,8.25
02000007,8.2,6.0,5.0,5.5,7.25,4.75,-1,-1,-1
02000008,7.6,5.5,9.0,6.25,7.0,5.25,-1,-1,-1
02000009,7.6,7.25,9.0,6.5,8.25,5.75,-1,-1,-1
02000010,7.4,7.5,9.2,-1,-1,-1,7.25,7.0,8.0
02000011,7.6,7.5,8.8,5.75,6.25,5.75,-1,-1,-1
02000012,8.4,5.25,9.4,8.25,4.75,4.75,-1,-1,-1
02000013,8.4,8.0,7.6,5.0,8.0,7.5,-1,-1,-1
02000014,7.0,7.75,8.6,6.5,6.25,6.0,-1,-1,-1
02000015,8.4,5.75,9.2,7.25,7.25,6.0,-1,-1,-1
02000016,8.0,7.75,9.2,6.25,8.25,7.75,-1,-1,-1
02000017,7.2,7.5,8.2,6.5,7.0,5.25,-1,-1,-1
02000018,8.8,8.0,9.4,-1,-1,-1,5.75,5.5,9.0
02000019,7.8,7.0,9.6,7.75,8.25,6.75,-1,-1,-1
02000020,8.4,6.5,8.8,5.75,6.5,4.5,-1,-1,-1
02000021,8.4,8.0,9.2,-1,-1,-1,7.5,9.0,10.0
02000022,7.4,7.25,9.8,-1,-1,-1,7.75,7.25,9.5
02000023,7.2,7.75,7.6,5.5,7.5,3.5,-1,-1,-1
02000024,5.6,6.75,9.0,-1,-1,-1,6.5,7.75,10.0
02000025,7.8,7.5,9.4,6.0,7.25,4.25,-1,-1,-1
02000026,7.8,4.25,8.6,5.25,4.25,3.75,-1,-1,-1
02000027,8.4,6.75,9.8,7.75,6.25,5.75,-1,-1,-1
02000028,4.6,7.5,6.0,-1,-1,-1,2.75,6.5,5.75
02000030,7.6,6.75,-1,8.0,8.25,4.25,-1,-1,-1
02000031,8.0,7.25,8.0,-1,-1,-1,4.75,6.5,8.0
02000032,8.6,6.75,8.6,6.5,7.0,6.0,-1,-1,-1
02000033,7.6,3.75,5.8,8.25,7.25,4.5,-1,-1,-1
02000034,7.8,7.0,9.4,3.0,4.5,4.25,-1,-1,-1
02000035,7.4,7.5,7.4,4.0,6.5,7.25,-1,-1,-1
02000036,8.4,5.25,9.8,6.75,6.5,5.25,-1,-1,-1
02000037,8.0,7.0,9.2,-1,-1,-1,4.25,5.75,8.25
02000038,8.6,5.75,6.0,6.75,7.75,4.0,-1,-1,-1
02000039,8.2,7.25,8.8,7.75,6.5,5.75,-1,-1,-1
02000040,6.6,6.5,8.0,-1,-1,-1,3.75,5.5,8.5
02000041,8.0,7.5,9.4,7.5,7.25,7.25,-1,-1,-1
02000042,8.6,5.0,8.8,6.75,5.25,4.5,-1,-1,-1
02000043,8.8,5.5,8.2,7.0,7.25,5.5,-1,-1,-1
02000044,8.0,6.75,6.2,7.0,8.0,4.0,-1,-1,-1
02000045,8.4,5.75,9.8,6.5,7.75,6.25,-1,-1,-1
02000046,7.6,5.75,9.0,7.0,6.5,5.0,-1,-1,-1
02000047,8.4,5.25,9.4,6.25,8.0,5.25,-1,-1,-1
02000048,7.8,3.75,9.6,7.25,7.0,3.25,-1,-1,-1
02000049,8.2,5.0,8.4,8.25,7.75,5.0,-1,-1,-1
02000050,8.8,6.75,7.2,7.75,9.0,4.75,-1,-1,-1
02000051,8.6,7.5,8.8,8.5,8.0,8.75,-1,-1,-1
02000052,7.2,5.5,8.8,6.5,6.25,4.25,-1,-1,-1
02000053,9.8,6.25,8.8,8.0,9.0,5.0,-1,-1,-1
02000054,7.4,7.5,-1,5.25,6.5,5.25,-1,-1,-1
02000055,8.0,5.25,9.4,7.5,6.75,6.0,-1,-1,-1
02000056,7.2,7.25,8.6,-1,-1,-1,5.5,7.75,8.25
02000057,6.0,8.0,9.6,-1,-1,-1,3.75,7.25,8.5
02000058,8.4,7.25,7.2,5.75,8.5,7.25,-1,-1,-1
02000059,7.6,7.75,9.0,-1,-1,-1,7.0,6.5,8.0
02000060,8.6,7.25,9.0,6.5,8.25,9.0,-1,-1,-1
02000061,7.8,7.25,8.4,-1,-1,-1,3.5,7.25,8.0
02000062,7.6,7.75,9.6,5.75,6.5,6.0,-1,-1,-1
02000063,6.2,8.0,9.0,-1,-1,-1,9.0,9.0,8.75
02000064,6.8,6.25,9.4,-1,-1,-1,4.75,6.75,6.75
02000065,7.2,7.0,9.6,-1,-1,-1,7.75,7.25,6.75
02000066,9.0,7.5,8.8,6.25,6.5,5.75,-1,-1,-1
02000067,7.2,7.0,9.6,7.75,6.75,4.25,-1,-1,-1
02000068,8.4,6.75,9.0,-1,-1,-1,5.25,6.5,8.75
02000069,8.0,6.5,9.0,6.75,8.25,6.75,-1,-1,-1
02000071,8.8,8.0,9.0,7.75,7.75,5.75,-1,-1,-1
02000072,6.8,7.0,9.6,-1,-1,-1,6.25,7.5,8.5
02000073,5.4,4.5,8.4,-1,-1,-1,5.0,6.75,9.75
02000074,8.4,7.25,7.8,7.0,8.75,7.75,-1,-1,-1
