SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
03000001,8.4,7.0,7.2,8.0,8.75,4.25,-1,-1,-1
03000002,7.2,5.25,7.2,5.25,6.5,3.25,-1,-1,-1
03000003,8.4,7.25,8.4,6.5,8.0,6.5,-1,-1,-1
03000004,8.6,5.75,8.4,6.0,7.5,5.25,-1,-1,-1
03000005,8.6,6.5,5.2,7.75,8.75,6.25,-1,-1,-1
03000006,8.6,7.0,9.4,7.75,3.5,4.5,-1,-1,-1
03000007,8.4,7.5,9.0,6.0,8.0,5.0,-1,-1,-1
03000008,8.4,6.75,6.0,7.25,7.25,4.75,-1,-1,-1
03000009,7.8,7.25,3.2,3.25,5.75,6.0,-1,-1,-1
03000010,7.8,7.75,9.0,6.0,6.75,4.5,-1,-1,-1
03000011,8.4,8.5,-1,5.75,9.0,8.0,-1,-1,-1
03000012,7.8,6.75,4.4,7.25,7.75,3.75,-1,-1,-1
03000013,8.4,6.5,9.4,9.0,4.25,5.75,-1,-1,-1
03000014,8.4,7.5,5.8,7.25,7.75,5.5,-1,-1,-1
03000015,9.2,7.5,8.8,8.75,9.0,7.5,-1,-1,-1
03000016,7.0,4.0,8.2,5.5,4.25,5.0,-1,-1,-1
03000017,8.0,5.25,4.2,6.75,8.0,6.0,-1,-1,-1
03000018,8.2,6.5,7.6,7.0,7.5,5.5,-1,-1,-1
03000019,7.4,6.0,8.8,7.25,6.5,6.0,-1,-1,-1
03000020,9.0,8.25,9.2,7.5,9.5,10.0,-1,-1,-1
03000021,7.4,6.75,7.8,6.25,3.75,5.0,-1,-1,-1
03000022,7.2,7.75,8.6,5.25,5.75,6.0,-1,-1,-1
03000023,8.2,6.5,7.2,6.0,7.5,5.75,-1,-1,-1
03000024,8.0,8.5,6.4,7.25,8.0,5.75,-1,-1,-1
03000025,6.0,8.0,9.0,7.25,7.5,4.25,-1,-1,-1
03000026,8.6,6.25,9.2,7.5,7.5,4.75,-1,-1,-1
03000027,5.8,6.0,3.8,6.0,4.25,5.0,-1,-1,-1
03000028,8.2,8.0,9.2,7.75,7.25,6.0,-1,-1,-1
03000029,7.0,7.0,8.2,4.25,4.75,5.0,-1,-1,-1
03000030,7.4,6.0,3.2,6.5,6.0,3.75,-1,-1,-1
03000031,6.6,6.25,-1,3.0,3.25,4.0,-1,-1,-1
03000032,8.6,7.0,7.8,8.0,7.5,6.25,-1,-1,-1
03000033,7.8,6.25,5.0,7.25,6.5,2.0,-1,-1,-1
03000034,9.0,7.25,9.4,8.25,8.25,3.75,-1,-1,-1
03000035,7.8,5.75,6.4,6.75,7.0,4.75,-1,-1,-1
03000036,7.4,3.0,3.8,7.25,8.75,5.0,-1,-1,-1
03000037,7.2,7.0,3.4,6.75,2.5,4.5,-1,-1,-1
03000038,7.4,6.25,4.2,3.0,6.75,8.0,-1,-1,-1
03000039,8.4,7.5,5.4,7.25,7.75,6.25,-1,-1,-1
03000040,9.0,5.75,5.2,8.5,8.0,5.75,-1,-1,-1
03000041,7.2,6.75,4.6,8.25,7.0,4.25,-1,-1,-1
03000042,7.8,6.5,5.0,7.0,7.75,5.0,-1,-1,-1
03000043,7.6,7.5,7.0,6.75,6.75,3.75,-1,-1,-1
03000044,7.0,4.75,6.8,6.0,2.5,3.25,-1,-1,-1
03000045,8.0,3.75,3.0,7.0,6.75,4.0,-1,-1,-1
03000046,8.2,4.75,9.4,5.75,5.25,4.75,-1,-1,-1
03000047,8.4,4.0,5.6,8.0,8.25,6.0,-1,-1,-1
03000048,8.4,4.25,6.6,6.0,6.0,3.5,-1,-1,-1
03000049,6.6,6.5,3.2,-1,-1,-1,4.75,7.0,9.5
03000050,6.6,6.5,6.8,-1,-1,-1,4.5,6.75,7.25
03000051,7.8,5.75,7.4,-1,-1,-1,5.5,6.75,9.25
03000052,8.2,8.25,3.4,-1,-1,-1,5.0,6.75,9.0
03000053,7.6,7.0,8.2,-1,-1,-1,8.0,7.75,9.0
03000054,8.2,7.25,8.8,8.5,5.25,4.5,-1,-1,-1
03000055,7.6,6.75,8.6,-1,-1,-1,4.5,7.25,9.5
03000056,7.4,7.25,7.6,7.5,6.25,3.5,-1,-1,-1
