SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
04000001,7.8,8.0,8.4,2.5,5.0,4.5,-1,-1,-1
04000002,9.0,6.25,9.6,8.25,7.0,7.25,-1,-1,-1
04000003,8.6,6.25,5.8,7.5,8.0,5.25,-1,-1,-1
04000004,9.0,6.5,8.6,8.0,9.0,6.75,-1,-1,-1
04000005,7.8,7.0,9.0,-1,-1,-1,2.5,6.5,7.0
04000006,6.0,4.0,2.4,3.5,4.75,4.75,-1,-1,-1
04000007,9.0,6.0,6.0,7.5,8.25,4.5,-1,-1,-1
04000008,8.0,5.75,8.4,5.75,9.0,7.5,-1,-1,-1
04000009,6.4,7.75,4.0,-1,-1,-1,3.5,7.5,9.75
04000010,8.2,5.75,4.4,8.0,9.0,4.25,-1,-1,-1
04000011,8.2,6.0,6.4,4.25,8.5,10.0,-1,-1,-1
04000012,7.6,6.25,7.4,5.75,7.25,5.0,-1,-1,-1
04000013,5.6,7.5,5.2,-1,-1,-1,6.5,7.0,9.25
04000014,7.8,7.25,5.4,-1,-1,-1,3.25,5.75,8.0
04000015,4.8,7.25,7.2,-1,-1,-1,2.75,6.0,8.5
04000016,6.8,6.5,6.0,-1,-1,-1,5.75,7.0,8.0
04000017,8.8,6.0,3.8,6.0,8.25,4.75,-1,-1,-1
04000018,5.8,6.0,4.6,-1,-1,-1,3.5,6.0,9.5
04000019,8.2,7.25,7.0,-1,-1,-1,5.25,7.25,8.0
04000020,7.4,7.75,7.8,-1,-1,-1,4.75,6.5,7.5
04000021,6.8,5.25,5.0,5.5,7.25,6.5,-1,-1,-1
04000022,8.0,6.5,7.4,-1,-1,-1,7.25,7.75,9.25
04000023,5.4,3.5,2.4,-1,-1,-1,3.25,6.75,8.25
04000024,7.4,6.0,9.8,6.0,7.0,5.75,-1,-1,-1
04000025,6.0,6.75,4.8,-1,-1,-1,3.0,5.5,8.75
04000026,8.4,8.25,8.8,-1,-1,-1,5.5,7.75,8.5
04000027,5.4,7.75,9.0,-1,-1,-1,3.25,5.75,6.5
04000028,4.8,7.0,6.0,-1,-1,-1,8.25,7.25,10.0
04000029,7.6,6.5,6.0,5.0,8.0,8.25,-1,-1,-1
04000030,7.4,6.0,7.2,-1,-1,-1,5.5,6.75,7.75
04000031,8.0,3.25,4.2,6.25,5.5,3.75,-1,-1,-1
04000032,7.2,6.5,9.2,5.75,5.0,5.75,-1,-1,-1
04000033,7.6,6.0,7.4,-1,-1,-1,7.25,7.0,8.25
04000034,6.6,6.75,5.4,-1,-1,-1,4.5,9.0,9.0
04000035,8.0,6.75,5.2,-1,-1,-1,6.5,5.75,9.0
04000036,5.0,4.25,5.8,4.0,5.0,2.5,-1,-1,-1
04000037,6.8,5.75,6.0,6.75,6.75,3.5,-1,-1,-1
04000038,7.0,5.75,3.2,-1,-1,-1,4.25,8.0,7.5
04000039,8.0,6.0,5.8,6.5,7.0,4.0,-1,-1,-1
04000040,4.4,4.25,2.6,-1,-1,-1,3.0,6.5,7.5
04000041,7.4,6.0,6.8,-1,-1,-1,7.0,8.25,9.25
04000042,4.8,6.0,3.6,-1,-1,-1,3.25,4.5,6.0
04000043,6.8,7.5,6.8,-1,-1,-1,6.5,6.75,8.25
04000044,3.2,4.75,3.0,-1,-1,-1,3.75,5.25,7.5
04000045,8.4,7.5,9.4,-1,-1,-1,6.75,7.0,9.5
04000046,8.8,3.75,7.0,8.25,8.5,5.75,-1,-1,-1
04000047,6.0,5.75,6.8,7.0,7.25,4.0,-1,-1,-1
04000048,8.0,6.0,8.8,7.5,4.5,6.5,-1,-1,-1
04000049,6.4,5.25,6.4,6.0,2.5,5.75,-1,-1,-1
04000050,5.6,5.5,3.6,-1,-1,-1,4.75,6.75,8.0
04000051,4.0,3.5,7.4,-1,-1,-1,3.5,7.0,7.0
04000052,7.4,4.5,7.8,5.75,5.75,4.75,-1,-1,-1
04000053,8.2,5.0,3.2,7.75,7.0,5.0,-1,-1,-1
04000054,8.4,4.75,9.6,8.5,6.0,2.75,-1,-1,-1
04000055,4.0,5.0,4.0,-1,-1,-1,6.25,7.25,8.0
04000056,7.4,3.75,8.6,-1,-1,-1,3.25,6.25,8.25
04000057,7.0,5.75,8.8,-1,-1,-1,5.25,7.75,7.5
04000058,6.2,5.0,8.8,6.0,4.25,2.25,-1,-1,-1
04000059,6.2,6.0,4.8,-1,-1,-1,5.25,6.5,9.5
04000060,7.0,5.25,5.0,4.75,5.5,7.25,-1,-1,-1
04000061,7.0,7.25,9.0,-1,-1,-1,2.25,4.75,7.5
04000062,7.8,7.0,9.0,-1,-1,-1,5.5,6.75,8.25
04000063,7.8,6.75,7.0,-1,-1,-1,3.25,7.0,8.5
04000064,6.2,5.0,7.2,-1,-1,-1,6.25,6.5,8.5
04000065,7.8,7.0,9.6,-1,-1,-1,4.75,5.25,8.0
04000066,8.8,7.0,8.6,-1,-1,-1,5.5,7.0,9.0
04000067,7.8,4.0,4.6,7.75,8.0,5.5,-1,-1,-1
04000068,6.0,4.75,3.2,-1,-1,-1,2.75,5.5,5.75
04000069,7.2,6.75,4.8,-1,-1,-1,7.5,7.25,9.25
04000070,7.8,5.25,3.2,-1,-1,-1,2.5,6.0,7.5
04000071,6.2,4.75,6.6,-1,-1,-1,6.5,6.25,6.5
04000072,6.6,5.5,2.2,-1,-1,-1,6.75,6.75,8.75
04000073,7.6,7.0,9.8,-1,-1,-1,4.25,6.5,8.75
04000074,6.4,5.5,6.0,-1,-1,-1,5.25,6.5,9.0
04000075,7.8,8.25,9.2,-1,-1,-1,4.0,7.25,8.25
04000076,6.4,5.0,5.0,-1,-1,-1,1.25,6.5,7.75
04000077,8.4,8.25,9.8,-1,-1,-1,5.25,7.5,9.25
04000078,7.6,5.5,6.6,-1,-1,-1,3.75,6.75,7.75
04000079,8.2,7.5,9.2,-1,-1,-1,7.75,7.25,9.25
04000080,7.6,6.25,7.4,-1,-1,-1,5.25,7.75,9.5
04000081,7.6,6.0,6.8,-1,-1,-1,5.25,7.5,8.5
04000082,4.4,5.5,4.2,-1,-1,-1,3.25,5.75,7.25
04000083,7.4,6.5,9.4,-1,-1,-1,7.0,8.0,8.5
04000084,6.8,7.0,3.8,-1,-1,-1,4.25,7.0,8.0
04000085,5.8,6.5,4.0,4.75,5.25,5.0,-1,-1,-1
04000086,7.6,5.75,7.4,-1,-1,-1,2.25,6.75,6.0
04000087,8.2,6.25,3.4,-1,-1,-1,5.25,7.75,8.25
04000088,5.4,5.75,9.0,-1,-1,-1,6.0,7.5,9.0
04000089,3.6,3.25,3.0,-1,-1,-1,3.5,5.75,6.25
04000090,5.0,1.75,3.6,-1,-1,-1,3.5,6.75,7.5
04000091,7.4,4.0,6.8,8.0,8.25,6.0,-1,-1,-1
04000092,7.2,4.5,4.6,3.75,4.75,4.0,-1,-1,-1
04000093,7.8,7.25,6.6,-1,-1,-1,6.5,8.5,9.75
04000094,7.2,6.25,3.8,-1,-1,-1,7.0,6.5,7.75
04000095,8.0,5.75,3.4,6.25,6.0,3.5,-1,-1,-1
04000096,7.8,6.25,5.4,-1,-1,-1,4.25,5.0,8.75
04000097,7.6,5.0,4.8,8.0,7.75,4.75,-1,-1,-1
04000098,8.8,5.25,7.4,8.75,8.25,6.25,-1,-1,-1
04000099,8.0,6.5,5.2,8.75,7.5,5.75,-1,-1,-1
04000100,5.6,6.75,2.8,4.5,6.75,5.5,-1,-1,-1
04000101,8.2,6.75,7.4,-1,-1,-1,5.0,7.5,9.0
04000102,8.2,7.5,8.0,-1,-1,-1,3.0,6.0,8.0
04000103,8.2,5.5,8.4,7.25,8.0,5.25,-1,-1,-1
04000104,7.0,7.5,2.8,-1,-1,-1,4.5,6.25,7.5
04000105,8.0,5.25,4.0,6.75,6.25,4.25,-1,-1,-1
04000106,6.0,5.0,3.0,2.0,3.25,5.25,-1,-1,-1
04000107,9.4,5.25,7.4,8.5,7.75,5.25,-1,-1,-1
04000108,8.0,7.5,7.0,7.25,6.0,4.75,-1,-1,-1
04000109,7.0,5.5,4.8,5.5,5.75,4.75,-1,-1,-1
04000110,7.0,6.25,3.0,-1,-1,-1,4.0,6.75,9.0
04000111,7.2,6.25,5.4,7.25,7.25,5.75,-1,-1,-1
04000112,5.4,5.5,3.8,-1,-1,-1,5.5,6.25,5.75
04000113,8.2,7.75,8.8,-1,-1,-1,3.5,7.25,8.75
04000114,7.6,5.5,5.8,5.5,3.75,6.25,-1,-1,-1
04000115,6.4,5.0,3.0,-1,-1,-1,4.5,7.25,8.25
04000116,7.2,6.0,7.0,4.5,4.75,4.25,-1,-1,-1
04000117,7.0,6.5,4.6,6.75,6.75,5.5,-1,-1,-1
04000118,7.0,5.0,4.0,-1,-1,-1,4.5,6.0,8.75
04000119,7.4,5.75,4.6,-1,-1,-1,3.0,5.75,6.75
04000120,7.6,5.75,3.6,-1,-1,-1,4.25,6.25,8.25
04000121,7.8,4.0,3.6,6.5,6.25,4.0,-1,-1,-1
