SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
05000001,7.4,4.0,3.8,-1,-1,-1,4.75,6.5,8.25
05000002,7.0,5.5,7.0,-1,-1,-1,3.25,6.25,7.5
05000003,7.0,6.5,6.6,-1,-1,-1,3.25,6.0,6.0
05000004,8.2,7.0,5.6,7.25,8.5,5.75,-1,-1,-1
05000005,5.8,7.0,8.2,-1,-1,-1,2.75,6.75,7.5
05000006,8.2,7.5,7.2,-1,-1,-1,5.0,6.25,7.75
05000007,7.8,8.0,8.8,-1,-1,-1,5.0,7.25,8.5
05000008,7.2,6.25,5.4,-1,-1,-1,6.25,5.75,8.5
05000009,4.2,6.5,-1,-1,-1,-1,5.5,6.75,-1
05000010,8.4,7.5,9.4,-1,-1,-1,3.75,6.5,8.75
05000011,8.6,6.75,7.8,6.25,5.5,5.25,-1,-1,-1
05000012,8.8,7.25,5.8,8.0,8.75,4.75,-1,-1,-1
05000013,5.0,6.5,6.0,-1,-1,-1,2.5,5.75,5.75
05000014,7.8,8.0,9.4,-1,-1,-1,7.0,8.0,8.25
05000015,8.0,8.0,9.6,-1,-1,-1,5.5,5.75,8.0
05000016,6.4,7.5,9.2,6.25,5.0,5.5,-1,-1,-1
05000017,8.8,8.25,9.6,6.25,8.5,5.75,-1,-1,-1
05000018,8.6,7.75,9.4,-1,-1,-1,3.25,7.5,9.0
05000019,8.6,-1,9.6,8.0,5.0,-1,-1,-1,-1
05000020,-1,5.0,-1,-1,-1,-1,4.25,6.75,-1
05000021,9.0,8.5,9.4,6.5,5.75,5.25,-1,-1,-1
05000022,3.2,4.25,4.2,-1,-1,-1,2.5,6.5,7.5
05000023,7.6,6.0,6.8,6.0,7.75,7.0,-1,-1,-1
05000024,9.0,7.5,8.6,-1,-1,-1,5.75,7.75,9.25
05000025,4.8,7.0,8.0,-1,-1,-1,4.25,5.75,8.0
05000026,8.8,6.25,9.4,7.75,7.75,5.75,-1,-1,-1
05000027,8.4,7.25,9.0,-1,-1,-1,4.25,7.25,9.25
05000028,3.8,5.25,4.4,-1,-1,-1,6.0,7.75,8.5
05000029,2.6,2.25,-1,-1,-1,-1,3.5,4.75,-1
05000030,8.0,6.5,6.2,7.75,8.0,4.5,-1,-1,-1
05000031,7.8,5.25,9.6,5.5,7.75,4.75,-1,-1,-1
05000032,-1,2.25,-1,-1,-1,-1,2.75,5.0,-1
05000033,5.2,4.75,-1,-1,-1,-1,6.75,-1,-1
05000034,-1,4.0,-1,-1,-1,-1,3.25,4.75,-1
