SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
06000001,-1,4.25,-1,-1,-1,-1,6.5,7.0,-1
06000002,5.0,7.0,2.6,-1,-1,-1,6.75,6.75,8.5
06000003,4.2,6.0,2.2,-1,-1,-1,4.0,5.5,8.0
06000004,3.2,4.25,3.2,-1,-1,-1,4.0,5.0,4.0
06000005,4.2,8.0,4.0,-1,-1,-1,4.5,7.25,8.25
06000006,3.4,3.25,5.0,-1,-1,-1,3.75,6.75,6.5
06000007,7.8,7.25,9.4,-1,-1,-1,-1,-1,-1
06000008,6.6,5.75,-1,-1,-1,-1,5.5,-1,-1
06000009,-1,5.0,-1,-1,-1,-1,4.5,7.75,-1
06000010,4.8,5.25,3.4,-1,-1,-1,3.0,5.5,4.0
06000011,4.6,6.5,3.6,-1,-1,-1,-1,-1,-1
06000012,7.2,6.5,4.0,-1,-1,-1,5.5,7.5,9.5
06000013,2.2,3.25,2.2,-1,-1,-1,2.5,3.0,5.5
06000014,6.6,4.5,2.2,-1,-1,-1,6.5,7.5,7.5
06000015,3.2,3.75,-1,-1,-1,-1,2.0,6.0,-1
06000016,4.2,4.5,2.0,-1,-1,-1,6.25,6.5,7.5
06000017,3.8,5.5,2.2,-1,-1,-1,3.0,3.75,8.0
06000018,5.4,8.0,3.8,-1,-1,-1,4.5,8.0,8.0
06000019,4.6,5.75,2.4,-1,-1,-1,5.25,6.5,6.5
06000020,3.8,-1,-1,3.25,2.5,-1,-1,-1,-1
06000021,3.6,6.25,3.0,-1,-1,-1,4.25,5.25,8.0
06000022,3.0,5.75,2.6,-1,-1,-1,3.0,3.75,5.0
06000023,6.4,7.5,3.6,-1,-1,-1,5.0,7.75,8.75
06000024,3.8,6.0,3.8,-1,-1,-1,4.25,6.5,7.25
06000025,6.0,5.8,4.0,-1,-1,-1,5.5,7.75,8.75
06000026,2.8,4.16,3.0,-1,-1,-1,1.5,5.75,4.5
06000027,5.0,5.09,3.2,-1,-1,-1,4.0,7.75,8.5
06000028,2.4,2.5,-1,-1,-1,-1,2.0,2.75,-1
06000029,5.2,5.5,3.0,-1,-1,-1,4.0,6.75,5.25
06000030,2.8,3.75,5.0,-1,-1,-1,3.0,6.0,5.5
06000031,7.0,6.25,5.8,-1,-1,-1,6.0,8.25,9.25
06000032,8.0,-1,-1,-1,8.0,7.5,-1,-1,-1
06000033,6.0,6.0,3.0,-1,-1,-1,4.0,7.25,8.25
06000034,4.4,6.75,3.6,-1,-1,-1,4.0,8.25,9.25
06000035,-1,8.0,-1,-1,-1,-1,10.0,9.5,-1
06000036,3.6,4.5,2.0,-1,-1,-1,5.5,6.25,7.5
06000037,4.4,4.0,3.2,-1,-1,-1,3.25,4.5,7.75
06000038,3.2,5.0,2.6,-1,-1,-1,4.25,5.75,6.25
06000039,6.2,6.75,3.6,-1,-1,-1,4.25,7.25,7.25
06000040,4.4,5.75,3.0,-1,-1,-1,5.0,7.5,8.75
06000041,6.2,6.5,2.8,-1,-1,-1,3.25,8.25,8.75
06000042,1.8,3.5,2.6,-1,-1,-1,3.0,4.25,7.0
06000043,7.6,-1,-1,7.75,8.0,-1,-1,-1,-1
06000044,4.2,4.0,2.6,-1,-1,-1,3.25,4.0,4.75
06000045,4.4,2.0,-1,-1,-1,-1,3.5,5.25,-1
06000046,3.0,3.0,3.0,-1,-1,-1,4.5,5.0,6.75
06000047,3.4,4.0,3.4,-1,-1,-1,3.75,6.0,8.0
06000048,5.8,7.5,2.4,-1,-1,-1,4.5,8.0,8.75
06000049,6.0,5.3,3.4,-1,-1,-1,3.25,5.75,7.75
06000050,3.6,3.0,3.2,-1,-1,-1,5.75,6.75,7.25
06000051,2.4,5.91,2.6,-1,-1,-1,3.25,6.75,6.25
06000052,3.2,5.5,3.6,-1,-1,-1,4.25,7.25,7.25
06000053,3.0,3.75,3.4,-1,-1,-1,3.25,4.75,5.0
06000054,4.2,6.75,2.2,-1,-1,-1,5.75,7.0,6.5
06000055,-1,6.75,-1,-1,-1,-1,5.0,8.5,-1
06000056,2.0,6.75,2.4,-1,-1,-1,3.0,6.75,7.0
06000057,6.0,7.0,3.4,-1,-1,-1,7.25,8.25,9.25
06000058,-1,7.5,-1,-1,-1,-1,9.75,9.5,-1
06000059,3.4,4.75,3.4,-1,-1,-1,4.0,5.5,6.5
06000060,6.6,8.0,3.4,-1,-1,-1,7.5,8.25,9.5
06000061,4.8,4.75,3.4,-1,-1,-1,3.25,7.25,7.5
06000062,3.4,3.25,-1,-1,-1,-1,3.75,3.5,-1
06000063,4.2,4.25,3.4,-1,-1,-1,1.75,7.75,7.75
06000064,4.0,4.5,3.6,-1,-1,-1,4.25,7.5,7.25
06000065,2.6,2.5,-1,-1,-1,-1,2.0,6.25,-1
06000066,4.0,5.75,3.2,-1,-1,-1,4.0,6.5,8.0
06000067,2.6,2.75,2.4,-1,-1,-1,3.5,2.75,5.25
06000068,6.8,7.75,3.4,-1,-1,-1,6.0,7.25,9.75
06000069,5.6,6.5,3.2,-1,-1,-1,4.75,7.5,9.25
06000070,3.6,3.25,3.2,-1,-1,-1,2.0,4.5,5.0
06000071,4.8,5.75,3.2,-1,-1,-1,4.0,8.0,8.25
06000072,4.4,6.5,5.0,-1,-1,-1,9.25,8.5,10.0
06000073,2.6,5.75,2.0,-1,-1,-1,3.5,2.5,5.5
06000074,4.2,3.5,1.8,-1,-1,-1,3.0,6.25,6.0
06000075,3.2,6.0,2.8,-1,-1,-1,3.0,6.25,5.75
06000076,3.8,4.25,2.4,-1,-1,-1,3.5,5.75,6.75
06000077,7.4,8.0,3.6,-1,-1,-1,6.25,7.25,9.25
06000078,3.2,4.75,3.4,-1,-1,-1,3.0,4.25,3.25
06000079,3.2,5.25,3.0,-1,-1,-1,5.75,5.75,8.0
06000080,2.8,3.75,3.0,-1,-1,-1,3.5,4.75,5.5
06000081,6.0,6.5,4.6,-1,-1,-1,5.5,7.75,9.0
06000082,-1,3.75,-1,-1,-1,-1,7.0,6.5,-1
06000083,5.2,5.75,4.0,-1,-1,-1,6.0,8.25,7.5
06000084,-1,3.75,-1,-1,-1,-1,5.25,4.0,-1
06000085,2.8,4.0,-1,-1,-1,-1,2.5,4.75,-1
06000086,2.4,1.5,1.4,-1,-1,-1,2.25,2.25,4.5
06000087,2.4,4.0,-1,-1,-1,-1,2.5,5.0,-1
06000088,2.0,4.75,2.4,-1,-1,-1,2.75,6.25,6.25
06000089,5.2,6.25,3.4,-1,-1,-1,5.5,7.25,9.0
06000090,3.6,5.75,1.8,-1,-1,-1,3.75,5.5,6.25
