SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
07000001,7.6,5.5,4.6,-1,-1,-1,6.75,8.25,9.75
07000002,6.8,5.0,4.0,5.75,3.25,4.0,-1,-1,-1
07000003,-1,6.5,-1,-1,-1,-1,7.0,7.75,-1
07000004,9.4,5.5,7.8,9.0,8.25,7.0,-1,-1,-1
07000005,7.0,5.5,3.2,-1,-1,-1,5.0,6.25,7.5
07000006,7.8,6.0,8.8,5.75,4.5,5.25,-1,-1,-1
07000007,8.8,6.0,7.2,7.25,8.0,6.0,-1,-1,-1
07000008,5.6,8.5,2.6,-1,-1,-1,9.25,8.25,9.5
07000009,8.6,7.5,8.6,2.5,5.25,4.0,-1,-1,-1
07000010,3.2,4.0,-1,-1,-1,-1,4.25,5.75,-1
07000011,7.8,7.25,5.6,6.25,8.0,8.0,-1,-1,-1
07000012,4.2,8.0,3.2,-1,-1,-1,5.75,6.5,9.0
07000013,8.0,6.0,4.8,3.75,6.25,5.75,-1,-1,-1
07000014,8.0,3.5,4.2,5.0,2.5,3.5,-1,-1,-1
07000015,6.8,6.5,7.2,-1,-1,-1,4.75,6.5,8.75
07000016,7.8,7.5,7.6,-1,-1,-1,3.75,6.25,8.75
07000017,8.0,6.5,5.6,6.75,6.75,7.75,-1,-1,-1
07000018,7.6,7.75,9.4,-1,-1,-1,7.0,8.0,9.5
07000019,5.4,4.5,4.4,-1,-1,-1,6.5,8.5,7.25
07000020,-1,5.5,-1,-1,-1,-1,4.75,7.5,-1
07000021,2.4,2.5,4.0,-1,-1,-1,3.0,6.25,5.25
07000022,9.0,5.75,9.2,8.0,6.25,4.25,-1,-1,-1
07000023,7.8,5.25,4.2,6.75,6.75,4.75,-1,-1,-1
07000024,8.2,4.75,7.2,4.0,3.75,3.75,-1,-1,-1
07000025,9.0,5.25,6.8,9.0,9.0,6.5,-1,-1,-1
07000026,7.6,6.25,4.6,4.0,3.75,3.25,-1,-1,-1
07000027,4.6,7.75,5.6,-1,-1,-1,7.5,8.0,8.75
07000028,6.6,8.0,7.6,-1,-1,-1,2.75,7.25,8.75
07000029,8.2,5.5,8.4,7.25,4.25,5.25,-1,-1,-1
07000030,8.4,6.75,8.8,6.5,4.5,3.0,-1,-1,-1
07000031,8.2,6.25,6.0,6.0,8.25,8.5,-1,-1,-1
07000032,5.0,5.25,4.2,-1,-1,-1,7.75,7.0,8.25
07000033,8.2,6.5,6.0,6.75,6.5,5.75,-1,-1,-1
07000034,7.8,5.75,5.8,7.25,7.75,5.75,-1,-1,-1
07000035,7.0,8.0,5.8,-1,-1,-1,5.25,9.0,9.5
07000036,6.4,5.0,5.6,5.25,4.5,4.25,-1,-1,-1
07000037,8.2,4.75,4.4,6.0,5.75,4.25,-1,-1,-1
07000038,7.8,6.0,9.0,8.0,4.25,4.5,-1,-1,-1
