SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
08000001,6.6,3.75,3.8,-1,-1,-1,7.5,7.5,9.5
08000002,7.2,8.0,8.4,6.5,5.5,7.5,-1,-1,-1
08000003,7.0,6.5,5.0,3.25,5.25,7.25,-1,-1,-1
08000004,6.4,6.25,4.8,-1,-1,-1,5.5,8.0,8.5
08000005,6.0,5.0,3.8,4.0,4.75,4.25,-1,-1,-1
08000006,8.6,8.0,8.6,8.0,7.75,8.0,-1,-1,-1
08000007,7.8,5.0,3.4,-1,-1,-1,5.5,7.0,9.0
08000008,5.8,7.0,5.0,-1,-1,-1,4.25,7.5,9.5
08000009,5.8,3.75,3.0,-1,-1,-1,3.5,5.5,7.25
08000010,6.8,6.75,4.8,4.75,5.75,5.25,-1,-1,-1
08000011,4.4,6.5,4.8,4.0,4.5,5.5,-1,-1,-1
08000012,7.4,6.75,6.4,-1,-1,-1,7.0,7.5,9.0
08000013,5.0,6.75,3.4,-1,-1,-1,5.25,5.0,8.25
08000014,7.0,7.75,3.8,-1,-1,-1,8.5,8.5,9.5
08000015,7.0,6.0,4.0,4.25,8.0,6.5,-1,-1,-1
08000016,4.6,6.0,-1,-1,-1,-1,5.25,8.75,-1
08000017,8.8,7.75,7.2,7.0,7.5,7.25,-1,-1,-1
08000018,7.4,7.0,5.2,4.0,6.0,5.25,-1,-1,-1
08000019,8.6,7.75,7.4,8.25,7.5,7.25,-1,-1,-1
08000020,4.8,7.75,4.0,-1,-1,-1,4.75,6.75,9.75
08000021,7.8,6.75,6.8,-1,-1,-1,8.0,8.75,10.0
08000022,7.2,7.0,4.6,-1,-1,-1,6.25,7.5,9.5
08000023,7.4,7.0,5.4,4.5,5.75,5.25,-1,-1,-1
08000024,6.6,7.5,4.6,-1,-1,-1,7.25,6.75,8.5
08000025,7.4,8.25,7.0,4.5,3.5,5.75,-1,-1,-1
08000026,6.0,7.25,2.4,-1,-1,-1,3.75,7.5,8.25
08000027,6.0,5.0,4.6,4.75,5.0,7.25,-1,-1,-1
08000028,4.8,5.0,3.4,-1,-1,-1,3.75,8.5,7.0
08000029,7.8,6.0,4.4,7.25,7.5,8.75,-1,-1,-1
08000030,8.0,7.25,5.0,7.25,8.0,5.0,-1,-1,-1
08000031,7.4,7.5,5.2,7.0,6.75,6.0,-1,-1,-1
08000032,9.0,8.0,9.6,5.25,6.75,7.5,-1,-1,-1
08000033,8.4,5.25,6.2,8.25,8.5,7.5,-1,-1,-1
08000034,8.0,6.0,5.0,-1,-1,-1,6.25,8.0,9.75
08000035,5.0,3.0,4.0,-1,-1,-1,2.5,5.5,7.75
08000036,6.2,6.75,6.4,-1,-1,-1,4.75,6.0,9.25
08000037,7.4,8.5,7.0,4.5,4.5,5.25,-1,-1,-1
08000038,6.6,7.25,6.4,4.5,6.5,5.5,-1,-1,-1
08000039,5.6,6.25,3.8,-1,-1,-1,3.5,6.25,8.75
08000040,5.8,6.75,3.6,-1,-1,-1,5.5,6.75,9.0
08000041,4.0,7.0,3.6,-1,-1,-1,2.5,4.0,8.0
08000042,7.6,7.5,3.8,5.25,7.5,7.0,-1,-1,-1
08000043,3.0,2.0,-1,-1,-1,-1,3.0,7.25,-1
08000044,8.6,6.25,4.2,-1,-1,-1,4.75,7.75,10.0
08000045,4.0,2.0,-1,-1,-1,-1,3.25,7.5,-1
08000046,6.6,4.75,4.6,-1,-1,-1,6.5,8.5,10.0
08000047,6.2,7.0,5.0,-1,-1,-1,6.5,6.5,9.75
08000048,7.0,7.0,6.2,-1,-1,-1,7.5,8.0,9.5
08000049,6.4,5.25,4.4,-1,-1,-1,6.25,7.75,9.75
08000050,6.0,5.75,6.6,-1,-1,-1,8.25,8.25,9.5
08000051,3.8,4.0,-1,-1,-1,-1,4.0,4.75,-1
08000052,4.0,4.25,-1,-1,-1,-1,3.5,5.75,-1
08000053,6.4,5.75,-1,-1,-1,-1,5.75,7.75,-1
08000054,4.6,4.25,-1,-1,-1,-1,5.25,7.25,-1
08000055,7.6,7.0,7.4,-1,-1,-1,8.25,7.75,9.5
08000056,2.6,3.75,-1,-1,-1,-1,4.0,4.75,-1
08000058,9.2,8.5,8.2,8.0,8.75,8.0,-1,-1,-1
08000059,7.8,7.25,8.2,-1,-1,-1,7.25,9.0,9.5
08000060,6.0,6.75,4.2,-1,-1,-1,3.0,6.75,9.25
08000061,6.8,7.25,6.2,-1,-1,-1,5.5,8.5,9.75
08000062,8.6,8.25,6.6,7.75,7.25,6.5,-1,-1,-1
08000063,6.2,8.0,4.2,3.75,4.0,6.0,-1,-1,-1
08000064,6.6,7.5,4.2,-1,-1,-1,3.5,8.5,10.0
08000065,5.4,6.5,4.2,-1,-1,-1,3.0,7.25,9.0
08000066,8.2,7.0,7.4,7.5,8.5,6.75,-1,-1,-1
08000067,8.0,8.5,7.2,-1,-1,-1,9.5,8.25,9.75
08000068,3.2,1.75,-1,-1,-1,-1,4.75,7.0,-1
08000069,6.8,3.5,5.8,-1,-1,-1,5.75,8.5,8.25
08000070,4.2,7.0,3.6,-1,-1,-1,3.5,7.0,6.75
08000071,7.2,6.75,4.6,4.75,4.75,5.0,-1,-1,-1
08000072,7.6,8.0,8.2,-1,-1,-1,6.0,8.0,10.0
08000073,5.6,6.5,3.2,-1,-1,-1,3.5,5.75,8.5
08000074,4.4,2.5,-1,-1,-1,-1,3.5,5.5,-1
08000075,5.2,5.75,2.8,-1,-1,-1,6.75,7.75,8.25
08000076,6.2,6.25,6.8,-1,-1,-1,5.25,5.0,9.25
08000077,5.6,5.25,-1,-1,-1,-1,7.0,7.0,-1
08000078,7.2,7.0,5.8,-1,-1,-1,6.75,7.0,9.0
08000079,4.4,6.5,2.2,-1,-1,-1,7.75,7.25,8.75
08000080,3.4,3.25,-1,-1,-1,-1,2.75,6.75,-1
08000081,1.2,4.0,-1,-1,-1,-1,2.5,5.25,-1
08000082,8.2,6.75,8.0,-1,-1,-1,8.75,9.25,10.0
08000083,8.6,4.75,3.2,6.75,5.75,6.25,-1,-1,-1
08000084,3.4,3.0,-1,-1,-1,-1,3.0,6.25,-1
