SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
09000001,8.8,7.0,8.2,8.25,8.25,5.75,-1,-1,-1
09000002,8.2,6.25,7.4,7.5,8.75,5.25,-1,-1,-1
09000003,8.6,8.5,9.2,-1,-1,-1,8.0,8.75,9.5
09000004,8.4,7.0,5.8,8.0,9.0,7.5,-1,-1,-1
09000005,8.4,7.75,9.0,-1,-1,-1,9.5,9.0,9.75
09000006,5.6,7.25,-1,-1,-1,-1,5.75,8.75,-1
09000007,2.6,3.5,-1,-1,-1,-1,3.25,6.25,-1
09000008,8.6,8.5,8.6,-1,-1,-1,6.5,7.75,9.5
09000009,8.0,7.75,7.4,5.5,6.5,7.0,-1,-1,-1
09000010,3.8,6.25,-1,-1,-1,-1,6.5,5.75,-1
09000011,4.4,6.75,-1,-1,-1,-1,4.25,5.75,-1
09000012,5.8,8.0,5.4,-1,-1,-1,7.75,9.0,9.5
09000013,8.4,6.5,7.0,7.0,8.0,6.0,-1,-1,-1
09000014,8.4,6.5,6.4,5.5,8.0,9.0,-1,-1,-1
09000015,9.2,7.75,7.8,7.5,8.0,6.25,-1,-1,-1
09000016,8.4,8.0,6.0,-1,-1,-1,7.25,8.5,8.5
09000017,5.2,4.0,-1,-1,-1,-1,4.25,6.5,-1
09000018,6.2,7.75,5.4,-1,-1,-1,8.5,8.75,9.0
09000019,7.6,6.5,6.4,5.25,7.5,7.25,-1,-1,-1
09000020,6.6,8.75,5.8,-1,-1,-1,7.5,8.5,10.0
09000021,8.8,7.25,7.6,7.75,9.25,4.75,-1,-1,-1
09000022,8.8,7.5,7.4,-1,-1,-1,9.25,9.75,9.5
09000023,6.4,7.25,6.0,-1,-1,-1,8.25,7.25,9.75
09000024,7.6,7.75,8.0,-1,-1,-1,6.25,7.75,9.0
09000025,7.4,7.75,7.4,6.75,6.5,5.0,-1,-1,-1
09000026,2.4,3.75,-1,-1,-1,-1,2.25,5.25,-1
09000027,8.8,4.5,7.2,6.0,8.25,3.75,-1,-1,-1
09000028,7.8,7.25,4.8,6.0,5.75,4.75,-1,-1,-1
09000029,7.6,7.25,8.8,-1,-1,-1,5.5,7.5,9.5
09000030,5.6,8.0,6.2,-1,-1,-1,8.5,8.25,8.75
09000031,5.4,8.0,5.6,-1,-1,-1,6.75,7.75,8.5
09000032,7.8,7.25,5.0,-1,-1,-1,7.75,8.5,9.0
09000033,3.6,7.25,4.2,-1,-1,-1,4.75,5.75,7.75
09000034,7.6,8.0,7.4,-1,-1,-1,7.75,8.75,9.75
09000035,4.4,6.25,5.2,-1,-1,-1,4.5,7.5,7.25
09000036,3.0,5.5,-1,-1,-1,-1,3.25,6.5,-1
09000037,7.6,6.25,4.8,-1,-1,-1,9.25,9.5,9.0
09000038,9.4,7.5,9.0,8.75,7.0,5.5,-1,-1,-1
09000039,8.2,8.75,8.0,-1,-1,-1,4.25,7.25,9.0
09000040,8.2,7.5,6.0,5.75,6.25,6.75,-1,-1,-1
09000041,8.4,7.25,7.2,-1,-1,-1,6.75,7.0,7.5
09000042,5.6,7.5,5.6,-1,-1,-1,7.0,8.25,9.75
