SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
10000001,4.0,5.0,-1,-1,-1,-1,4.75,7.0,-1
10000002,6.0,5.0,-1,-1,-1,-1,5.25,6.0,-1
10000003,8.6,5.75,6.6,6.75,8.25,5.25,-1,-1,-1
10000004,9.4,7.5,9.6,7.5,5.25,5.5,-1,-1,-1
10000005,6.8,6.0,-1,-1,-1,-1,6.5,7.75,-1
10000006,8.8,6.5,9.8,8.25,6.25,5.75,-1,-1,-1
10000007,9.2,5.25,8.8,5.0,9.25,9.75,-1,-1,-1
10000008,5.8,4.25,-1,-1,-1,-1,5.25,6.5,-1
10000009,8.4,8.0,9.0,-1,-1,-1,5.75,7.25,8.25
10000010,8.6,8.0,9.8,-1,-1,-1,4.75,6.25,7.5
10000011,8.0,9.0,9.4,-1,-1,-1,7.5,9.25,9.25
10000012,7.8,7.5,7.8,-1,-1,-1,4.0,6.25,8.75
10000013,8.6,5.25,7.8,8.5,9.0,4.75,-1,-1,-1
10000014,3.6,3.75,-1,-1,-1,-1,6.5,7.5,-1
10000015,9.0,8.25,9.8,-1,-1,-1,8.5,7.75,8.75
10000016,8.8,6.5,9.4,8.25,5.5,4.5,-1,-1,-1
10000017,1.6,4.5,-1,-1,-1,-1,3.25,5.5,-1
10000018,6.6,4.25,9.8,5.75,4.75,5.25,-1,-1,-1
10000019,5.4,4.75,-1,-1,-1,-1,3.5,7.0,-1
10000020,7.6,7.0,9.4,8.5,2.5,3.25,-1,-1,-1
10000021,3.8,4.5,3.2,-1,-1,-1,6.5,6.5,8.75
10000022,8.8,5.5,9.4,6.75,4.0,4.5,-1,-1,-1
10000023,4.2,3.75,-1,-1,-1,-1,4.25,6.75,-1
10000024,2.8,2.75,-1,-1,-1,-1,7.75,6.75,-1
10000025,9.6,7.25,9.0,8.0,5.0,5.5,-1,-1,-1
10000026,8.0,8.0,9.4,-1,-1,-1,6.25,7.0,8.0
10000027,9.4,5.75,9.0,8.0,3.25,4.25,-1,-1,-1
10000028,8.6,6.5,7.4,7.75,9.0,4.0,-1,-1,-1
10000029,2.6,2.25,-1,-1,-1,-1,4.5,7.0,-1
10000030,8.2,7.0,9.8,-1,-1,-1,6.75,7.5,9.5
10000031,7.8,7.5,4.6,-1,-1,-1,9.0,9.25,8.75
10000032,9.2,6.0,9.8,8.25,8.25,5.75,-1,-1,-1
10000033,7.8,6.0,6.4,-1,-1,-1,8.5,7.0,9.5
10000034,8.6,7.0,10.0,-1,-1,-1,6.5,8.25,8.75
10000035,8.6,7.0,9.2,5.5,8.75,6.5,-1,-1,-1
10000036,2.0,1.5,-1,-1,-1,-1,2.5,5.75,-1
10000037,6.4,7.5,8.2,2.0,7.75,6.5,-1,-1,-1
10000038,8.2,6.5,6.8,6.75,8.5,8.25,-1,-1,-1
10000039,2.8,1.75,-1,-1,-1,-1,3.0,5.0,-1
10000040,5.4,5.25,-1,-1,-1,-1,4.5,7.0,-1
10000041,5.8,6.25,-1,-1,-1,-1,3.75,7.0,-1
10000042,2.4,4.5,-1,-1,-1,-1,2.5,3.75,-1
10000043,7.0,8.5,7.4,-1,-1,-1,8.75,9.0,8.0
10000044,2.6,3.75,-1,-1,-1,-1,4.75,6.0,-1
10000045,6.8,8.25,8.8,-1,-1,-1,7.25,8.25,9.5
10000046,2.4,3.75,-1,-1,-1,-1,4.5,5.5,-1
10000047,9.4,8.5,9.8,-1,-1,-1,6.5,7.25,9.75
10000048,8.4,7.5,7.0,3.25,8.5,6.5,-1,-1,-1
10000049,2.4,4.25,-1,-1,-1,-1,2.5,5.0,-1
10000050,4.4,5.5,4.6,-1,-1,-1,5.75,6.75,8.75
10000051,3.8,4.25,-1,-1,-1,-1,3.75,6.75,-1
10000052,2.2,4.75,-1,-1,-1,-1,5.25,6.5,-1
10000053,6.6,3.25,-1,-1,-1,-1,6.75,7.75,-1
10000054,3.4,2.75,-1,-1,-1,-1,3.25,5.75,-1
10000055,3.6,5.25,-1,-1,-1,-1,4.25,5.75,-1
10000056,4.8,3.75,-1,-1,-1,-1,3.0,5.25,-1
10000057,2.0,3.0,-1,-1,-1,-1,3.25,5.25,-1
