SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
11000001,-1,5.5,-1,-1,-1,-1,2.25,7.0,-1
11000002,6.4,6.0,3.2,-1,-1,-1,4.5,8.25,9.25
11000003,4.2,5.25,5.2,-1,-1,-1,3.75,4.5,8.0
11000004,7.6,8.0,6.4,-1,-1,-1,8.25,9.0,10.0
11000005,7.6,6.0,8.4,8.25,5.5,4.25,-1,-1,-1
11000006,5.2,7.5,3.4,-1,-1,-1,3.75,8.25,9.0
11000007,7.6,7.25,6.2,-1,-1,-1,6.0,8.75,10.0
11000008,3.2,6.75,2.6,-1,-1,-1,4.25,6.75,9.5
11000009,7.0,4.0,6.2,8.0,7.25,2.75,-1,-1,-1
11000010,6.8,7.0,5.2,-1,-1,-1,7.5,9.0,10.0
11000011,7.2,6.0,4.8,-1,-1,-1,6.75,8.25,9.0
11000012,5.2,4.25,3.6,-1,-1,-1,3.5,8.0,7.5
11000013,-1,5.25,-1,-1,-1,-1,8.75,8.5,-1
11000014,4.8,6.25,3.4,-1,-1,-1,5.5,6.25,7.5
11000015,6.4,5.75,5.2,-1,-1,-1,5.75,8.75,9.25
11000016,3.0,4.5,3.6,-1,-1,-1,3.5,7.75,9.5
11000017,5.6,5.75,4.2,-1,-1,-1,5.5,7.75,8.5
11000018,6.8,6.5,7.2,-1,-1,-1,7.0,8.75,10.0
11000019,-1,6.75,-1,-1,-1,-1,8.75,9.0,-1
11000020,5.6,6.0,5.8,-1,-1,-1,6.0,8.25,9.75
11000021,6.0,6.25,5.0,-1,-1,-1,5.0,8.0,8.75
11000022,6.4,5.75,6.2,-1,-1,-1,5.75,8.25,9.75
11000023,5.2,5.75,3.4,-1,-1,-1,6.5,6.75,8.75
11000024,6.0,5.75,2.4,-1,-1,-1,3.0,6.0,7.75
11000025,5.8,6.5,4.4,-1,-1,-1,5.5,6.5,8.25
11000026,-1,7.75,-1,-1,-1,-1,6.75,8.75,-1
11000027,5.2,4.25,3.4,-1,-1,-1,2.5,6.0,6.5
11000028,3.6,6.0,4.2,-1,-1,-1,4.0,6.0,6.75
11000029,6.8,7.5,5.4,-1,-1,-1,4.0,8.0,9.5
11000030,5.6,4.25,2.2,-1,-1,-1,1.75,7.0,7.5
11000031,2.0,4.5,3.0,-1,-1,-1,4.5,6.25,8.75
11000032,2.4,5.25,3.0,-1,-1,-1,3.0,5.75,7.25
11000033,4.6,7.0,5.4,-1,-1,-1,4.5,7.25,9.25
11000034,2.6,3.75,2.4,-1,-1,-1,3.25,7.75,7.5
11000035,6.4,7.0,8.8,6.25,3.25,3.75,-1,-1,-1
11000036,3.4,7.5,4.2,-1,-1,-1,3.25,8.5,8.75
11000037,5.2,8.0,3.4,-1,-1,-1,2.5,7.75,6.0
11000038,4.4,4.5,-1,-1,-1,-1,4.25,7.25,-1
11000039,4.6,6.0,4.2,-1,-1,-1,4.25,7.25,7.75
11000040,7.0,6.25,4.2,-1,-1,-1,5.5,8.0,9.5
11000041,6.6,7.5,6.8,-1,-1,-1,8.25,9.0,9.25
11000042,7.4,6.5,6.0,7.0,6.5,6.5,-1,-1,-1
11000043,7.4,5.0,1.8,7.0,6.25,5.25,-1,-1,-1
11000044,7.2,7.75,4.6,-1,-1,-1,4.25,7.75,9.75
11000045,6.0,7.25,3.2,-1,-1,-1,6.25,7.5,9.0
11000046,7.2,5.25,8.8,7.0,5.25,5.25,-1,-1,-1
11000047,3.2,2.25,2.2,-1,-1,-1,2.25,6.0,7.5
11000048,7.4,5.0,6.0,-1,-1,-1,8.0,9.0,9.5
11000049,3.2,4.0,3.4,-1,-1,-1,3.5,7.0,8.5
11000050,7.2,5.75,5.4,-1,-1,-1,4.5,7.5,9.5
11000051,6.6,6.25,2.8,-1,-1,-1,3.25,8.25,9.75
11000052,4.8,7.0,7.2,-1,-1,-1,7.5,9.0,9.5
11000053,4.8,7.25,2.4,-1,-1,-1,3.0,7.5,8.75
11000054,4.2,5.25,4.0,-1,-1,-1,6.0,7.75,8.5
11000055,4.6,8.25,4.2,-1,-1,-1,3.0,7.75,7.75
11000056,2.8,3.83,3.0,-1,-1,-1,2.5,5.25,7.0
11000057,5.8,7.25,6.0,-1,-1,-1,6.0,8.5,8.5
11000058,4.4,5.75,4.6,-1,-1,-1,5.75,7.0,8.75
11000059,4.6,6.0,5.2,-1,-1,-1,3.5,6.0,8.5
11000060,5.2,6.0,3.2,-1,-1,-1,3.0,6.25,7.75
11000061,7.2,6.25,2.4,6.5,5.5,5.5,-1,-1,-1
11000062,5.2,4.25,2.2,-1,-1,-1,3.75,7.0,8.25
11000063,4.0,5.25,3.6,-1,-1,-1,3.0,6.75,8.25
11000064,-1,5.5,-1,-1,-1,-1,7.25,8.5,-1
