SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
12000001,4.6,5.5,-1,-1,-1,-1,4.0,6.0,-1
12000002,8.0,8.0,9.8,-1,-1,-1,8.5,7.75,9.5
12000003,8.6,6.5,7.6,5.75,8.5,8.75,-1,-1,-1
12000004,8.2,6.25,9.2,6.5,6.25,4.5,-1,-1,-1
12000005,9.0,5.0,7.8,8.25,8.75,6.0,-1,-1,-1
12000006,8.4,8.75,9.2,-1,-1,-1,4.75,7.25,7.25
12000007,8.8,4.5,8.0,8.5,4.75,2.5,-1,-1,-1
12000008,8.6,4.0,9.4,8.25,8.5,5.25,-1,-1,-1
12000009,9.2,3.75,7.4,8.75,8.75,4.5,-1,-1,-1
12000010,6.6,7.75,5.2,-1,-1,-1,8.75,8.5,7.75
12000011,7.4,6.0,5.0,3.0,4.75,2.5,-1,-1,-1
12000012,8.4,6.0,6.4,8.25,8.0,7.0,-1,-1,-1
12000013,7.2,6.0,5.0,7.5,8.0,5.0,-1,-1,-1
12000014,7.4,7.25,3.0,2.5,7.5,7.25,-1,-1,-1
12000015,9.2,4.5,5.8,7.75,8.0,5.75,-1,-1,-1
12000016,3.2,6.0,-1,-1,-1,-1,3.75,5.25,-1
12000017,8.6,8.25,9.4,-1,-1,-1,5.75,6.5,9.0
12000018,2.8,5.0,-1,-1,-1,-1,2.0,2.75,-1
12000019,8.6,3.75,7.8,7.25,7.25,4.25,-1,-1,-1
12000020,8.4,7.25,7.2,-1,-1,-1,5.5,7.75,9.0
12000021,6.2,7.5,8.8,-1,-1,-1,6.25,7.5,9.0
12000022,8.2,6.0,9.0,7.75,5.75,5.25,-1,-1,-1
12000023,8.6,8.25,9.6,-1,-1,-1,6.25,7.75,8.0
12000024,8.2,6.5,9.0,6.75,7.75,4.75,-1,-1,-1
12000025,7.4,7.5,8.4,-1,-1,-1,3.25,5.5,6.5
12000026,7.8,6.25,2.8,6.75,7.25,3.0,-1,-1,-1
