SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
13000001,4.0,4.5,-1,-1,-1,-1,3.25,5.25,-1
13000002,2.2,2.75,-1,-1,-1,-1,3.75,4.75,-1
13000003,9.2,9.25,9.6,-1,-1,-1,5.25,7.75,8.5
13000004,7.4,4.5,9.4,8.25,4.75,6.75,-1,-1,-1
13000005,6.4,8.75,7.0,-1,-1,-1,6.0,7.5,9.25
13000006,8.8,9.0,9.4,6.75,8.75,6.5,-1,-1,-1
13000007,8.0,7.25,7.2,6.25,7.25,7.0,-1,-1,-1
13000008,8.2,8.25,9.6,-1,-1,-1,4.0,7.25,10.0
13000009,4.0,5.5,-1,-1,-1,-1,4.0,5.5,-1
13000010,2.2,3.25,-1,-1,-1,-1,2.5,4.75,-1
13000011,8.2,6.75,8.0,5.0,5.0,6.5,-1,-1,-1
13000012,7.0,7.5,9.6,-1,-1,-1,4.25,7.5,9.5
13000013,7.8,7.5,8.8,4.0,6.25,5.75,-1,-1,-1
13000014,8.6,9.0,9.2,-1,-1,-1,7.25,7.5,9.5
13000015,7.4,8.5,9.6,-1,-1,-1,5.0,7.0,9.5
13000016,6.6,5.25,9.6,5.0,6.25,5.0,-1,-1,-1
13000017,8.2,8.75,9.6,-1,-1,-1,5.75,6.75,9.0
13000018,6.0,4.25,-1,-1,-1,-1,3.75,5.0,-1
13000019,6.2,9.25,9.8,-1,-1,-1,8.0,9.5,9.75
13000020,8.6,8.25,9.4,6.5,8.25,4.5,-1,-1,-1
13000021,8.6,9.0,9.8,-1,-1,-1,5.0,6.5,8.25
13000022,9.2,7.75,10.0,7.75,7.5,6.25,-1,-1,-1
13000023,8.8,8.5,7.8,4.75,6.75,9.0,-1,-1,-1
13000024,8.8,6.5,8.2,7.0,7.25,5.5,-1,-1,-1
13000025,4.4,4.0,-1,-1,-1,-1,1.0,5.75,-1
13000026,6.0,5.25,-1,-1,-1,-1,3.0,6.5,-1
13000027,8.0,4.0,9.8,8.25,3.75,3.0,-1,-1,-1
13000028,2.6,3.25,-1,-1,-1,-1,4.5,-1,-1
13000029,8.8,8.0,10.0,-1,-1,-1,7.75,8.0,9.5
13000030,9.4,7.25,9.6,6.0,9.5,3.25,-1,-1,-1
13000031,8.6,8.5,8.8,-1,-1,-1,9.25,8.75,9.5
13000032,8.4,6.25,6.2,8.0,7.75,4.5,-1,-1,-1
13000033,9.0,8.75,10.0,-1,-1,-1,4.25,4.75,9.0
13000034,8.0,9.25,9.8,-1,-1,-1,7.75,8.5,9.75
13000035,8.4,8.5,8.0,8.25,7.75,8.0,-1,-1,-1
13000036,9.0,8.0,10.0,8.5,5.75,7.0,-1,-1,-1
13000037,6.8,8.75,9.4,-1,-1,-1,3.25,5.75,9.0
13000038,8.4,8.0,8.2,4.5,5.5,6.0,-1,-1,-1
13000039,9.2,6.25,6.0,5.25,7.75,8.25,-1,-1,-1
13000040,8.0,7.5,9.0,-1,-1,-1,5.25,7.25,9.25
13000041,8.2,8.5,9.2,4.75,6.0,4.0,-1,-1,-1
13000042,7.2,6.25,-1,-1,-1,-1,5.75,7.75,-1
13000043,3.0,6.0,-1,-1,-1,-1,1.5,6.5,-1
13000044,8.8,7.75,9.0,8.75,9.0,7.25,-1,-1,-1
13000045,9.2,7.0,8.8,8.25,7.5,6.0,-1,-1,-1
13000046,8.6,6.75,5.4,7.5,8.25,7.0,-1,-1,-1
13000047,6.8,6.75,-1,-1,-1,-1,3.0,-1,-1
13000048,4.2,5.75,-1,-1,-1,-1,3.25,6.0,-1
13000049,8.8,6.5,6.2,7.75,8.5,4.25,-1,-1,-1
13000050,4.2,5.0,-1,-1,-1,-1,2.5,5.25,-1
13000051,9.0,5.25,9.0,8.0,3.5,4.25,-1,-1,-1
13000052,8.0,8.75,9.6,-1,-1,-1,5.75,8.25,9.25
13000053,3.2,5.0,-1,-1,-1,-1,2.75,5.0,-1
13000054,7.8,7.75,9.0,-1,-1,-1,4.5,5.25,7.75
13000055,1.8,2.5,-1,-1,-1,-1,4.0,4.25,-1
13000056,9.2,8.5,10.0,8.75,9.5,8.0,-1,-1,-1
13000057,8.0,5.75,8.4,7.0,6.75,4.75,-1,-1,-1
