SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
14000001,7.8,7.0,7.4,-1,-1,-1,6.0,7.25,8.75
14000002,5.0,5.0,-1,-1,-1,-1,2.0,5.5,-1
14000003,5.2,5.0,-1,-1,-1,-1,6.25,8.0,-1
14000004,7.6,7.25,5.6,-1,-1,-1,5.75,6.75,9.0
14000005,7.2,5.5,2.6,5.25,7.5,5.75,-1,-1,-1
14000006,8.4,6.25,-1,-1,-1,-1,2.75,6.5,-1
14000007,6.6,7.25,8.6,4.0,4.25,4.25,-1,-1,-1
14000008,3.0,4.75,3.2,-1,-1,-1,2.5,6.5,7.0
14000009,4.2,6.5,3.0,-1,-1,-1,2.75,6.25,8.25
14000010,6.6,7.5,8.4,-1,-1,-1,8.25,8.5,10.0
14000011,5.8,7.25,4.4,-1,-1,-1,9.25,9.5,9.75
14000012,5.4,5.75,-1,-1,-1,-1,2.25,5.75,-1
14000013,3.6,4.5,-1,-1,-1,-1,3.0,4.0,-1
14000014,5.2,6.0,3.2,-1,-1,-1,3.5,7.0,8.75
14000015,6.0,6.75,-1,-1,-1,-1,5.5,8.0,-1
14000016,4.8,6.5,7.2,-1,-1,-1,6.25,7.25,9.5
14000017,3.6,5.0,-1,-1,-1,-1,5.75,6.25,-1
14000018,7.6,8.0,7.0,-1,-1,-1,6.0,7.75,8.0
14000019,3.2,5.25,2.4,-1,-1,-1,2.75,5.25,6.25
14000020,7.8,7.5,4.6,7.0,8.5,5.5,-1,-1,-1
14000021,6.2,7.0,6.2,-1,-1,-1,6.25,6.5,10.0
14000022,-1,4.0,-1,-1,-1,-1,3.25,5.75,-1
14000023,7.8,8.5,9.4,-1,-1,-1,8.25,8.0,9.75
14000024,5.6,6.5,3.4,-1,-1,-1,6.0,6.25,8.5
14000025,3.8,4.5,-1,-1,-1,-1,3.5,5.25,-1
14000026,5.0,5.25,4.6,-1,-1,-1,4.25,6.5,8.5
14000027,5.4,6.25,-1,-1,-1,-1,4.75,-1,-1
14000028,6.8,8.75,9.0,-1,-1,-1,7.5,5.75,8.5
14000029,4.0,6.0,9.0,-1,-1,-1,5.0,6.75,6.75
14000030,6.4,6.0,6.2,-1,-1,-1,3.25,7.0,8.0
14000031,6.2,-1,-1,-1,6.0,5.75,-1,-1,-1
14000032,3.6,5.75,2.8,-1,-1,-1,3.25,5.75,8.0
14000033,7.0,8.0,7.2,-1,-1,-1,6.75,7.75,9.5
14000034,7.6,5.0,3.4,-1,-1,-1,-1,-1,-1
14000035,5.0,6.58,9.2,-1,-1,-1,5.0,7.25,7.0
14000036,6.8,5.5,4.4,-1,-1,-1,2.5,6.5,8.75
14000037,7.2,8.0,5.8,-1,-1,-1,5.5,6.75,9.5
14000038,7.0,6.5,8.4,-1,-1,-1,4.5,8.0,8.75
14000039,6.4,5.0,-1,-1,-1,-1,5.0,4.75,-1
14000040,9.0,4.25,9.2,8.25,5.0,4.5,-1,-1,-1
14000041,4.2,4.25,5.4,-1,-1,-1,3.25,6.5,8.5
14000042,3.4,4.0,-1,-1,-1,-1,2.75,4.0,-1
14000043,4.0,5.75,4.8,-1,-1,-1,4.5,5.75,7.5
14000044,6.8,7.25,6.8,-1,-1,-1,3.5,7.5,9.0
14000045,8.6,7.5,8.8,-1,-1,-1,7.0,8.5,7.5
14000046,5.6,6.5,8.4,-1,-1,-1,5.25,6.0,8.0
14000047,6.0,7.75,7.2,-1,-1,-1,9.0,9.75,7.75
14000048,6.6,7.25,5.0,-1,-1,-1,4.25,7.25,8.0
14000049,6.0,6.75,8.6,-1,-1,-1,3.75,6.0,7.5
14000050,5.0,8.0,5.2,-1,-1,-1,2.0,5.75,8.0
14000051,8.0,6.5,5.4,7.5,7.5,5.5,-1,-1,-1
14000052,6.4,7.25,5.0,-1,-1,-1,4.5,5.75,9.0
14000053,6.0,7.0,3.6,-1,-1,-1,2.5,7.75,9.25
14000054,6.8,5.5,5.2,-1,-1,-1,3.0,5.75,9.5
14000055,5.4,6.5,1.4,3.0,4.75,3.75,-1,-1,-1
14000056,7.2,7.0,3.8,-1,-1,-1,7.0,8.25,9.25
14000057,6.2,4.75,-1,-1,-1,-1,5.0,8.5,-1
14000058,5.0,6.0,3.8,-1,-1,-1,3.25,6.5,8.25
14000059,7.2,7.5,6.6,-1,-1,-1,7.75,8.5,10.0
14000060,8.2,6.75,7.6,7.25,4.5,3.5,-1,-1,-1
14000061,7.4,6.75,5.8,-1,-1,-1,5.5,6.75,8.5
14000062,5.0,6.0,5.0,-1,-1,-1,4.75,6.0,8.5
