SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
15000001,9.0,8.5,10.0,-1,-1,-1,5.5,7.5,9.5
15000002,9.2,5.5,9.4,8.75,4.25,5.0,-1,-1,-1
15000003,8.6,8.5,9.4,-1,-1,-1,5.5,7.0,8.5
15000004,4.6,9.0,7.0,-1,-1,-1,8.75,9.25,9.75
15000005,8.8,6.25,8.6,5.75,9.5,7.75,-1,-1,-1
15000006,5.4,9.0,4.8,-1,-1,-1,9.75,9.25,8.5
15000007,8.4,8.25,10.0,-1,-1,-1,4.25,7.5,9.5
15000008,8.6,8.5,10.0,-1,-1,-1,6.5,8.25,9.0
15000009,8.0,7.75,9.8,-1,-1,-1,6.75,8.25,9.0
15000010,8.4,7.0,8.2,6.5,8.0,3.75,-1,-1,-1
15000011,8.6,8.0,6.8,5.75,7.75,7.75,-1,-1,-1
15000012,9.0,8.0,9.0,-1,-1,-1,4.0,6.25,8.25
15000013,4.6,7.5,5.2,-1,-1,-1,8.5,9.0,8.5
15000014,7.4,9.0,7.6,-1,-1,-1,9.0,10.0,8.75
15000015,9.4,6.5,9.4,8.5,5.75,6.0,-1,-1,-1
15000016,9.0,8.5,9.8,-1,-1,-1,5.75,7.5,9.75
15000017,8.6,7.0,5.6,5.0,8.25,8.5,-1,-1,-1
15000018,9.2,4.5,9.2,7.75,8.5,4.5,-1,-1,-1
15000019,8.0,6.75,8.4,7.75,5.75,5.25,-1,-1,-1
15000020,4.2,8.25,8.2,-1,-1,-1,8.75,9.25,8.0
15000021,9.0,8.75,10.0,-1,-1,-1,8.0,8.5,9.25
15000022,5.4,8.0,3.4,-1,-1,-1,9.25,9.25,8.75
15000023,5.2,8.5,6.8,-1,-1,-1,9.0,9.5,8.5
15000024,8.2,8.5,9.2,8.0,4.0,3.5,-1,-1,-1
15000025,8.6,9.0,9.8,-1,-1,-1,7.25,8.75,9.75
15000026,6.4,7.75,6.8,-1,-1,-1,10.0,9.0,9.0
15000027,8.6,6.75,10.0,7.5,3.25,2.75,-1,-1,-1
15000028,8.6,6.5,6.2,8.25,8.25,4.5,-1,-1,-1
15000029,8.4,5.25,3.6,5.75,7.75,9.0,-1,-1,-1
15000030,8.2,7.75,8.8,5.75,8.0,8.25,-1,-1,-1
15000031,8.6,7.0,10.0,8.0,6.75,6.75,-1,-1,-1
15000032,8.8,8.75,10.0,-1,-1,-1,6.75,9.75,9.5
15000033,8.4,8.25,9.4,-1,-1,-1,2.75,9.0,7.5
15000034,8.0,8.5,8.6,-1,-1,-1,6.75,7.25,8.5
