SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
16000001,8.6,9.0,10.0,-1,-1,-1,8.5,8.75,9.75
16000002,8.4,8.75,9.4,-1,-1,-1,8.75,8.75,9.75
16000003,7.6,8.75,8.4,-1,-1,-1,9.25,10.0,10.0
16000004,6.4,8.25,6.6,-1,-1,-1,9.75,9.5,9.75
16000005,8.4,9.0,9.4,-1,-1,-1,6.75,9.0,9.5
16000006,8.4,7.25,9.4,8.0,4.0,3.25,-1,-1,-1
16000007,8.6,8.5,9.2,8.25,8.0,5.75,-1,-1,-1
16000008,8.2,9.0,9.4,-1,-1,-1,7.0,9.25,9.75
16000009,9.4,9.5,9.8,-1,-1,-1,5.75,7.25,9.75
16000010,9.2,8.25,7.8,7.75,8.5,7.25,-1,-1,-1
16000011,9.2,8.75,9.6,-1,-1,-1,8.75,9.5,9.75
16000012,5.2,9.0,6.8,-1,-1,-1,10.0,9.5,10.0
16000013,8.8,8.25,9.0,-1,-1,-1,5.25,8.25,9.5
16000014,7.8,7.0,8.0,7.75,7.75,6.75,-1,-1,-1
16000015,9.4,9.0,9.2,8.5,9.5,10.0,-1,-1,-1
16000017,9.0,6.5,10.0,5.75,8.5,6.5,-1,-1,-1
16000018,8.6,9.25,9.4,-1,-1,-1,7.25,8.0,9.5
16000019,9.2,7.0,4.6,8.5,7.75,4.75,-1,-1,-1
16000020,9.2,8.75,9.8,-1,-1,-1,6.75,9.25,9.25
16000021,8.4,8.0,9.2,-1,-1,-1,7.75,9.25,9.25
16000022,6.4,8.0,9.0,-1,-1,-1,9.0,9.75,9.75
16000023,8.4,8.5,-1,6.25,8.5,3.25,-1,-1,-1
16000024,6.6,7.0,9.4,-1,-1,-1,7.75,8.0,9.75
16000025,8.6,8.0,10.0,7.75,7.75,6.0,-1,-1,-1
16000026,6.8,8.75,9.0,-1,-1,-1,7.25,7.75,9.5
16000027,9.4,8.75,10.0,-1,-1,-1,8.75,9.75,9.75
16000028,8.6,8.5,10.0,-1,-1,-1,8.25,9.25,9.5
16000029,9.0,8.0,7.4,8.0,8.0,5.5,-1,-1,-1
16000030,8.2,8.5,8.6,6.25,8.25,9.25,-1,-1,-1
16000031,7.2,8.5,5.8,-1,-1,-1,8.5,9.75,9.5
16000032,8.2,9.25,9.0,-1,-1,-1,6.75,7.75,10.0
16000033,9.0,7.5,6.6,8.0,8.75,5.25,-1,-1,-1
16000034,8.6,8.0,7.8,9.0,8.25,7.5,-1,-1,-1
16000035,7.8,8.0,9.8,-1,-1,-1,7.25,9.5,8.5
16000036,8.2,7.75,9.2,-1,-1,-1,7.75,8.25,9.5
16000037,7.4,9.0,7.2,-1,-1,-1,9.25,9.5,10.0
16000038,8.2,8.25,10.0,-1,-1,-1,7.25,8.0,9.5
16000039,8.4,7.5,7.8,6.75,9.5,8.5,-1,-1,-1
16000040,8.8,7.5,7.8,8.75,7.75,7.25,-1,-1,-1
16000041,8.4,9.5,8.0,-1,-1,-1,7.75,8.25,9.0
16000042,7.8,8.5,9.8,-1,-1,-1,6.0,8.75,9.5
16000043,8.2,9.75,9.6,-1,-1,-1,8.5,9.0,9.5
16000044,8.8,9.0,10.0,-1,-1,-1,8.0,8.0,10.0
16000045,8.4,9.0,9.0,-1,-1,-1,8.75,8.0,9.75
16000046,8.6,8.75,9.6,-1,-1,-1,7.5,7.5,9.75
16000047,8.4,8.75,8.6,7.5,8.5,8.0,-1,-1,-1
16000048,8.8,6.5,8.6,8.5,7.25,7.75,-1,-1,-1
16000049,8.8,7.75,8.6,8.5,7.5,8.0,-1,-1,-1
16000050,9.0,8.5,8.4,6.75,8.0,8.75,-1,-1,-1
