SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
17000001,3.2,4.0,2.4,-1,-1,-1,3.25,6.25,6.0
17000002,4.4,3.75,4.8,-1,-1,-1,5.25,6.5,7.75
17000003,5.0,6.25,3.2,-1,-1,-1,6.75,7.25,9.75
17000004,4.0,5.75,4.6,-1,-1,-1,3.75,6.5,7.25
17000005,5.6,3.25,3.2,-1,-1,-1,3.75,7.5,8.5
17000006,4.6,5.0,2.0,-1,-1,-1,7.5,7.5,9.25
17000007,5.2,5.5,2.8,-1,-1,-1,4.0,6.5,7.5
17000008,5.2,5.75,3.2,-1,-1,-1,6.25,6.75,7.25
17000009,6.4,4.75,7.4,-1,-1,-1,2.5,5.75,8.25
17000010,2.8,5.0,2.4,-1,-1,-1,3.0,5.25,7.75
17000011,3.2,6.75,4.2,-1,-1,-1,3.5,6.0,7.75
17000012,5.4,4.5,-1,-1,-1,-1,4.75,7.75,7.25
17000013,6.0,6.25,7.8,-1,-1,-1,4.75,6.5,8.75
17000014,6.6,6.25,8.6,-1,-1,-1,5.25,8.0,8.75
17000015,5.4,7.5,7.0,-1,-1,-1,6.5,8.25,9.5
17000016,4.8,5.5,3.4,-1,-1,-1,5.0,5.25,6.5
17000017,2.2,4.25,3.2,-1,-1,-1,4.0,5.75,8.0
17000018,5.8,5.75,6.0,-1,-1,-1,1.75,7.0,9.5
17000019,5.8,7.75,4.6,-1,-1,-1,5.5,7.0,7.0
17000020,3.8,6.75,4.6,-1,-1,-1,3.25,6.75,6.25
17000021,8.8,8.25,7.8,-1,-1,-1,4.75,6.75,6.5
17000022,3.0,6.5,3.2,-1,-1,-1,2.75,5.75,5.25
17000023,3.0,4.75,3.0,-1,-1,-1,3.5,5.0,6.75
17000024,4.2,6.0,6.4,-1,-1,-1,4.5,6.75,8.0
17000025,4.4,5.75,-1,-1,-1,-1,5.5,7.5,9.75
17000026,6.2,7.5,2.6,-1,-1,-1,3.25,5.25,7.5
17000027,3.6,4.0,3.8,-1,-1,-1,3.5,6.0,7.0
17000028,4.8,3.0,2.0,-1,-1,-1,1.0,7.5,8.75
17000029,2.6,4.5,3.6,-1,-1,-1,6.5,6.75,8.0
17000030,8.4,7.5,5.6,-1,-1,-1,6.75,8.25,9.75
17000031,3.0,4.0,3.2,-1,-1,-1,5.0,6.5,7.0
17000032,7.0,6.25,3.0,-1,-1,-1,6.25,5.75,6.5
17000033,4.2,6.0,4.4,-1,-1,-1,2.25,6.0,8.0
17000034,5.2,5.0,1.8,-1,-1,-1,2.0,5.5,7.75
17000035,3.8,5.0,2.6,-1,-1,-1,3.25,8.0,9.25
17000036,4.2,7.25,4.0,-1,-1,-1,5.0,7.5,7.75
17000037,6.0,5.5,7.2,-1,-1,-1,3.75,5.25,5.5
17000038,3.6,5.25,3.4,-1,-1,-1,5.0,4.75,7.0
