SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
18000001,4.0,3.25,-1,-1,-1,-1,3.5,6.5,-1
18000002,8.4,6.25,9.0,6.75,6.25,4.0,-1,-1,-1
18000003,4.8,5.0,-1,-1,-1,-1,6.25,7.25,-1
18000004,6.6,6.75,9.6,-1,-1,-1,8.0,8.5,9.75
18000005,7.2,6.0,4.8,-1,-1,-1,3.5,8.0,8.75
18000006,8.0,6.25,4.4,-1,-1,-1,5.5,7.5,9.0
18000007,6.6,7.75,5.2,-1,-1,-1,6.5,8.25,9.75
18000008,7.6,6.25,3.4,6.25,7.75,4.5,-1,-1,-1
18000009,5.2,5.25,-1,-1,-1,-1,5.0,6.0,-1
18000010,7.8,6.75,5.2,6.25,7.75,6.75,-1,-1,-1
18000011,8.2,5.0,1.8,6.25,7.75,5.0,-1,-1,-1
18000012,7.4,7.25,6.8,-1,-1,-1,7.25,7.25,9.5
18000013,8.4,5.25,3.2,7.75,6.75,5.5,-1,-1,-1
18000014,6.4,5.5,-1,-1,-1,-1,6.0,7.0,-1
18000015,5.4,4.0,-1,-1,-1,-1,5.5,7.25,-1
18000016,7.2,6.25,4.4,6.75,6.75,3.0,-1,-1,-1
18000017,5.2,3.5,-1,-1,-1,-1,4.75,6.5,-1
18000018,3.4,5.25,-1,-1,-1,-1,1.75,5.5,-1
18000019,2.6,5.0,-1,-1,-1,-1,3.25,4.75,-1
18000020,3.6,4.75,-1,-1,-1,-1,5.0,5.75,-1
18000021,7.4,8.0,6.2,-1,-1,-1,7.25,8.5,9.5
18000022,4.0,2.25,-1,-1,-1,-1,3.25,6.25,-1
18000023,6.2,8.0,5.8,-1,-1,-1,5.25,7.25,7.75
18000024,7.6,7.5,8.0,-1,-1,-1,4.25,7.25,8.75
18000025,4.0,5.25,-1,-1,-1,-1,3.25,5.5,-1
18000026,8.0,7.5,8.2,-1,-1,-1,6.0,8.0,9.75
18000027,6.2,6.25,4.4,-1,-1,-1,4.75,7.0,8.75
18000028,4.0,4.0,-1,-1,-1,-1,5.75,5.5,-1
18000029,5.6,5.5,3.2,-1,-1,-1,6.0,7.25,7.5
18000030,7.0,5.75,4.8,-1,-1,-1,4.75,7.0,8.5
18000031,7.0,6.25,4.6,-1,-1,-1,5.0,8.0,7.75
18000032,4.2,4.0,-1,-1,-1,-1,4.0,6.75,-1
18000033,3.6,5.5,-1,-1,-1,-1,3.5,6.0,-1
18000034,8.2,5.0,4.8,6.25,7.75,6.5,-1,-1,-1
18000035,5.6,2.5,-1,-1,-1,-1,4.25,6.75,-1
18000036,7.8,7.5,9.0,7.0,6.0,5.25,-1,-1,-1
18000037,7.8,7.5,6.4,-1,-1,-1,6.75,9.0,9.0
18000038,8.8,7.0,8.2,-1,-1,-1,4.25,6.0,7.5
18000039,6.2,7.0,5.8,-1,-1,-1,5.75,8.25,9.5
18000040,8.6,7.25,6.8,-1,-1,-1,5.5,7.75,8.5
18000041,5.2,6.0,5.0,-1,-1,-1,6.0,7.25,8.75
18000042,4.4,3.0,-1,-1,-1,-1,6.5,7.25,-1
18000043,6.4,6.75,-1,-1,-1,-1,5.25,6.0,-1
18000044,4.4,6.0,4.2,-1,-1,-1,5.75,7.75,8.5
18000045,5.6,3.75,-1,-1,-1,-1,3.5,5.5,-1
18000046,6.0,6.5,5.2,-1,-1,-1,4.5,6.5,8.75
18000047,8.6,8.0,7.4,-1,-1,-1,6.25,8.25,10.0
18000048,4.6,3.5,-1,-1,-1,-1,3.75,5.75,-1
18000049,5.0,6.25,-1,-1,-1,-1,3.75,6.25,-1
18000050,8.4,6.5,-1,-1,-1,-1,7.25,9.25,-1
18000051,4.8,6.75,3.4,-1,-1,-1,3.0,5.75,7.75
18000052,7.2,6.75,4.4,-1,-1,-1,8.5,7.5,8.5
18000053,6.2,6.25,3.8,-1,-1,-1,8.5,8.0,8.0
18000054,4.8,5.0,-1,-1,-1,-1,4.75,6.75,-1
18000055,7.2,7.0,3.8,7.25,7.25,5.0,-1,-1,-1
18000056,6.4,6.75,3.4,-1,-1,-1,3.5,6.75,8.5
18000057,5.2,3.75,-1,-1,-1,-1,8.25,7.75,-1
18000058,8.0,6.5,6.0,7.5,7.0,4.75,-1,-1,-1
18000059,5.8,5.25,4.0,-1,-1,-1,4.75,8.0,8.5
18000060,7.0,7.5,-1,-1,-1,-1,7.25,8.75,-1
18000061,4.6,5.0,3.8,-1,-1,-1,4.0,7.25,8.5
18000062,4.2,7.5,5.2,-1,-1,-1,8.75,8.25,9.25
18000063,2.8,5.0,2.8,-1,-1,-1,4.0,6.5,6.5
18000064,3.4,5.5,4.2,-1,-1,-1,5.25,6.25,7.75
18000065,7.0,5.75,-1,-1,-1,-1,5.0,7.5,-1
18000066,4.0,4.5,-1,-1,-1,-1,3.5,4.75,-1
18000067,6.0,6.25,3.2,-1,-1,-1,3.25,6.5,7.75
18000068,3.8,3.0,-1,-1,-1,-1,3.0,5.0,-1
18000069,5.4,5.75,3.8,-1,-1,-1,4.5,6.75,8.75
18000070,4.4,4.75,-1,-1,-1,-1,5.0,7.25,-1
18000071,4.6,5.0,-1,-1,-1,-1,5.25,7.0,-1
18000072,2.0,3.5,-1,-1,-1,-1,3.75,6.75,-1
18000073,4.0,4.0,-1,-1,-1,-1,3.75,6.0,-1
18000074,4.4,5.75,-1,-1,-1,-1,6.0,9.0,-1
18000075,8.6,7.25,4.8,6.25,7.75,5.5,-1,-1,-1
18000076,3.6,5.25,4.2,-1,-1,-1,5.5,6.5,8.0
18000077,6.6,7.25,6.6,-1,-1,-1,8.75,9.5,9.5
18000078,7.2,6.5,6.0,-1,-1,-1,6.0,8.0,9.25
18000079,8.2,6.25,7.0,6.5,7.75,3.75,-1,-1,-1
18000080,6.2,6.5,3.0,-1,-1,-1,7.25,7.75,9.5
18000081,6.4,7.5,5.6,-1,-1,-1,5.75,7.25,9.75
18000082,6.4,6.5,6.2,-1,-1,-1,4.25,7.5,8.0
18000083,5.4,7.0,4.8,-1,-1,-1,4.5,6.25,8.0
18000084,6.0,6.75,-1,-1,-1,-1,4.75,6.25,-1
18000085,4.0,5.5,-1,-1,-1,-1,4.75,5.75,-1
18000086,5.8,6.25,5.8,-1,-1,-1,5.0,6.25,8.25
18000087,5.8,5.75,9.0,-1,-1,-1,6.75,7.75,9.25
18000088,9.2,8.25,9.0,8.25,5.5,3.5,-1,-1,-1
18000089,5.0,6.75,7.8,-1,-1,-1,3.75,8.25,9.5
18000090,5.0,7.25,5.4,-1,-1,-1,7.75,8.0,9.75
18000091,5.8,6.5,2.4,-1,-1,-1,5.25,7.25,9.0
18000092,3.6,3.25,-1,-1,-1,-1,3.5,6.25,-1
18000093,6.4,7.0,6.4,-1,-1,-1,5.75,7.5,7.75
18000094,3.0,5.0,-1,-1,-1,-1,3.75,6.25,-1
18000095,6.6,6.5,6.0,-1,-1,-1,7.25,8.0,9.0
18000096,7.0,7.0,5.2,-1,-1,-1,3.75,8.25,9.5
18000097,5.6,6.5,4.0,-1,-1,-1,3.25,6.0,8.25
18000098,7.6,6.0,6.0,7.75,8.0,6.75,-1,-1,-1
18000099,8.2,6.5,6.2,7.5,7.75,5.75,-1,-1,-1
18000100,6.8,6.25,8.4,-1,-1,-1,3.5,6.5,9.25
18000101,4.0,5.0,4.4,-1,-1,-1,4.25,5.75,7.75
18000102,5.4,7.0,6.2,-1,-1,-1,6.5,8.0,8.75
18000103,3.0,4.0,-1,-1,-1,-1,6.5,6.75,-1
18000104,8.0,5.0,7.0,6.0,4.0,5.75,-1,-1,-1
18000105,6.8,6.5,6.6,-1,-1,-1,4.5,8.5,9.75
18000106,3.8,4.5,-1,-1,-1,-1,4.25,6.75,-1
18000107,4.8,5.0,-1,-1,-1,-1,4.5,6.75,-1
18000108,7.8,7.5,8.0,-1,-1,-1,7.25,7.5,9.75
18000109,5.6,6.75,5.2,-1,-1,-1,5.0,7.25,9.0
18000110,5.2,5.75,3.4,-1,-1,-1,2.75,5.5,8.0
18000111,5.6,5.5,-1,-1,-1,-1,7.5,7.25,-1
18000112,8.2,6.5,4.2,5.5,7.25,5.5,-1,-1,-1
18000113,6.6,3.25,-1,-1,-1,-1,6.0,7.5,-1
18000114,2.8,4.5,-1,-1,-1,-1,4.25,6.0,-1
18000115,7.4,7.0,7.0,-1,-1,-1,2.5,7.75,8.25
18000116,7.6,6.5,6.0,6.0,7.0,3.75,-1,-1,-1
18000117,7.2,7.5,-1,-1,-1,-1,8.75,8.5,-1
18000118,5.4,5.0,-1,-1,-1,-1,5.25,5.75,-1
18000119,6.2,6.25,4.6,-1,-1,-1,7.25,6.5,8.75
18000120,3.8,5.0,-1,-1,-1,-1,5.0,5.5,-1
18000121,5.8,3.5,-1,-1,-1,-1,3.0,6.25,-1
18000122,6.4,4.0,-1,-1,-1,-1,3.75,7.25,-1
18000123,3.4,4.0,-1,-1,-1,-1,2.0,5.5,-1
18000124,6.4,6.0,4.6,-1,-1,-1,5.75,7.25,9.25
18000125,4.8,4.0,-1,-1,-1,-1,1.75,5.5,-1
18000126,3.0,4.0,-1,-1,-1,-1,4.0,5.75,-1
18000127,5.6,5.75,-1,-1,-1,-1,7.75,8.5,-1
18000128,5.2,6.25,-1,-1,-1,-1,5.0,7.75,-1
18000129,7.4,8.0,5.0,-1,-1,-1,8.75,9.0,9.5
18000130,7.2,7.5,5.8,-1,-1,-1,7.0,8.25,8.5
18000131,4.6,6.5,-1,-1,-1,-1,5.25,7.0,-1
18000132,6.0,6.25,4.0,-1,-1,-1,4.0,7.25,9.0
18000133,4.6,5.75,-1,-1,-1,-1,3.5,6.0,-1
18000134,7.6,6.5,5.0,-1,-1,-1,6.5,8.5,10.0
18000135,7.0,4.25,-1,-1,-1,-1,5.75,7.25,-1
18000136,6.4,7.5,7.8,-1,-1,-1,5.75,7.5,8.25
18000137,7.4,7.0,5.8,-1,-1,-1,4.25,8.5,8.75
18000138,7.6,8.0,9.8,-1,-1,-1,4.5,7.0,8.5
18000139,4.8,6.0,-1,-1,-1,-1,5.5,5.75,-1
18000140,3.0,4.5,-1,-1,-1,-1,7.25,5.75,-1
18000141,4.6,5.5,5.0,-1,-1,-1,4.25,6.75,8.75
18000142,8.0,8.75,9.8,6.5,7.0,7.25,-1,-1,-1
18000143,4.4,5.0,4.4,-1,-1,-1,3.0,7.25,8.75
18000144,7.2,6.0,7.2,-1,-1,-1,5.75,7.75,9.0
18000145,4.6,5.0,-1,-1,-1,-1,4.25,5.75,-1
18000146,2.8,3.25,-1,-1,-1,-1,3.5,5.25,-1
18000147,5.2,7.5,3.6,-1,-1,-1,3.75,6.0,7.5
18000148,4.6,6.75,3.0,-1,-1,-1,2.25,6.5,7.25
18000149,4.8,6.75,2.0,-1,-1,-1,3.5,6.75,8.25
18000150,8.0,8.5,9.4,-1,-1,-1,6.0,7.75,10.0
18000151,3.6,5.5,-1,-1,-1,-1,3.0,6.75,-1
18000152,5.4,7.0,5.4,-1,-1,-1,6.5,7.5,9.5
18000153,4.8,6.75,5.0,-1,-1,-1,6.5,8.5,8.0
18000154,6.0,5.75,4.2,-1,-1,-1,6.0,7.5,8.75
18000155,7.4,6.75,4.6,-1,-1,-1,6.25,8.25,7.5
18000156,7.8,7.5,4.6,-1,-1,-1,6.75,9.75,10.0
18000157,7.0,7.5,6.4,-1,-1,-1,6.5,5.75,9.75
18000158,8.0,7.5,9.4,-1,-1,-1,4.75,6.75,8.75
18000159,4.4,7.5,6.0,-1,-1,-1,5.75,6.75,8.75
18000160,6.2,6.0,4.2,-1,-1,-1,5.5,8.0,7.75
18000161,3.6,4.75,-1,-1,-1,-1,2.5,3.5,-1
18000162,2.6,3.5,-1,-1,-1,-1,3.5,3.75,-1
18000163,5.2,6.0,4.6,-1,-1,-1,6.5,6.75,8.75
18000164,8.6,9.25,9.6,-1,-1,-1,4.0,7.75,8.75
18000165,5.2,6.5,3.4,-1,-1,-1,4.0,6.25,8.25
18000166,8.2,7.75,4.6,6.5,7.25,5.75,-1,-1,-1
18000167,8.8,6.25,2.8,5.75,6.75,5.0,-1,-1,-1
18000168,7.8,7.0,6.2,5.75,8.0,7.0,-1,-1,-1
18000169,5.0,4.0,-1,-1,-1,-1,2.5,7.75,-1
18000170,4.6,3.75,-1,-1,-1,-1,4.25,6.75,-1
18000171,8.2,5.0,4.6,6.25,7.75,7.5,-1,-1,-1
18000172,4.8,5.75,-1,-1,-1,-1,7.5,8.0,-1
18000173,4.6,4.75,-1,-1,-1,-1,5.5,6.0,-1
18000174,8.2,8.0,6.8,-1,-1,-1,9.0,9.0,9.25
18000175,3.0,5.0,5.6,-1,-1,-1,4.0,7.0,7.5
18000176,7.4,5.75,5.4,7.25,8.25,6.5,-1,-1,-1
18000177,4.6,2.5,-1,-1,-1,-1,1.75,5.5,-1
18000178,7.0,6.5,4.6,4.25,7.0,4.75,-1,-1,-1
18000179,4.4,8.5,5.4,-1,-1,-1,9.0,9.25,8.5
18000180,7.6,8.25,4.8,-1,-1,-1,7.75,8.5,9.5
18000181,6.0,5.5,4.8,-1,-1,-1,3.75,6.75,8.25
18000182,5.8,5.75,7.2,-1,-1,-1,6.0,7.75,8.75
18000183,6.4,5.0,3.4,-1,-1,-1,5.0,7.5,9.5
18000184,5.0,6.25,4.4,-1,-1,-1,4.5,7.25,8.0
18000185,6.6,6.5,4.6,-1,-1,-1,5.75,7.5,8.75
18000186,6.8,7.0,4.4,-1,-1,-1,3.25,6.5,8.25
18000187,6.6,5.0,-1,-1,-1,-1,3.75,8.25,-1
18000188,7.6,6.5,5.6,-1,-1,-1,5.0,6.5,8.25
18000189,7.4,5.75,9.4,6.75,5.75,5.75,-1,-1,-1
18000190,5.4,2.25,-1,-1,-1,-1,3.75,7.75,-1
18000191,7.2,4.75,3.8,-1,-1,-1,4.75,6.75,9.5
18000192,4.6,3.5,-1,-1,-1,-1,2.25,6.75,-1
18000193,4.0,2.75,-1,-1,-1,-1,1.75,5.0,-1
18000194,4.8,5.75,4.2,-1,-1,-1,5.0,6.75,9.25
18000195,5.4,5.75,3.2,-1,-1,-1,4.75,7.0,8.5
18000196,7.0,3.75,-1,-1,-1,-1,6.25,8.0,-1
18000197,2.4,3.5,-1,-1,-1,-1,5.0,5.75,-1
18000198,6.6,6.75,6.0,-1,-1,-1,7.5,8.0,9.75
18000199,7.4,5.25,-1,-1,-1,-1,6.75,7.75,-1
