SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
21000001,5.6,5.0,-1,-1,-1,-1,5.0,6.75,-1
21000002,7.4,5.5,-1,-1,-1,-1,3.75,7.5,-1
21000003,8.6,6.75,5.8,8.0,8.25,5.5,-1,-1,-1
21000004,7.8,8.5,7.0,-1,-1,-1,4.75,6.75,7.5
21000005,5.4,4.25,-1,-1,-1,-1,4.5,7.5,-1
21000006,8.4,7.75,8.8,-1,-1,-1,4.0,6.75,7.25
21000007,5.6,7.25,3.2,4.5,2.5,4.0,-1,-1,-1
21000008,7.4,7.5,8.8,-1,-1,-1,6.0,6.5,7.5
21000009,8.2,6.25,9.8,5.75,9.0,3.0,-1,-1,-1
21000010,8.6,8.75,9.0,-1,-1,-1,5.25,7.25,9.0
21000011,9.0,8.0,9.6,-1,-1,-1,3.5,6.0,6.75
21000012,6.4,7.5,7.4,-1,-1,-1,6.75,7.0,7.5
21000013,8.8,8.0,9.0,-1,-1,-1,5.0,6.75,6.5
21000014,8.6,6.25,6.0,6.75,7.5,4.75,-1,-1,-1
21000015,9.0,-1,-1,-1,8.25,6.5,-1,-1,-1
21000016,7.4,7.75,9.0,-1,-1,-1,6.25,6.75,7.25
21000017,8.0,7.5,7.8,-1,-1,-1,-1,-1,-1
21000018,7.2,7.75,7.6,-1,-1,-1,4.25,7.25,9.0
21000019,5.0,5.5,-1,-1,-1,-1,5.75,7.5,-1
21000020,8.0,8.25,5.2,-1,-1,-1,4.75,7.0,8.0
21000021,8.4,6.25,5.6,7.0,3.25,4.25,-1,-1,-1
21000022,7.6,7.0,6.4,7.0,7.0,4.5,-1,-1,-1
21000023,5.2,4.75,-1,-1,-1,-1,5.0,7.75,-1
21000024,7.2,6.5,4.8,-1,-1,-1,3.75,7.0,7.5
21000025,5.8,6.75,-1,-1,-1,-1,5.5,6.75,-1
21000026,8.8,7.5,8.2,8.25,8.0,7.0,-1,-1,-1
21000027,6.2,5.75,-1,-1,-1,-1,5.5,7.75,-1
21000028,7.0,7.75,6.2,-1,-1,-1,6.25,8.25,8.0
21000029,8.4,6.25,7.4,7.0,7.75,6.0,-1,-1,-1
21000030,6.6,8.5,8.0,-1,-1,-1,6.25,6.75,9.25
21000031,9.2,8.25,8.8,-1,-1,-1,4.0,7.5,8.0
21000032,8.2,7.25,7.8,-1,-1,-1,8.75,8.75,8.25
21000033,9.0,7.25,9.2,8.25,4.5,6.0,-1,-1,-1
21000034,8.8,7.5,9.2,-1,-1,-1,5.5,8.75,9.25
21000035,8.4,6.75,6.8,7.25,8.5,5.5,-1,-1,-1
21000036,7.4,8.0,8.8,-1,-1,-1,5.5,6.5,7.25
21000037,7.2,6.5,9.8,-1,-1,-1,5.5,7.0,9.0
21000038,9.0,6.5,9.4,7.0,8.0,9.0,-1,-1,-1
21000039,8.0,7.0,8.6,6.5,8.25,8.0,-1,-1,-1
21000040,7.8,7.25,8.0,4.25,3.75,5.25,-1,-1,-1
21000041,8.6,5.5,5.2,8.0,7.75,4.0,-1,-1,-1
21000042,7.6,8.0,9.2,-1,-1,-1,6.75,4.0,7.25
21000043,8.4,8.5,8.8,-1,-1,-1,4.25,8.25,8.0
21000044,7.4,8.25,7.4,-1,-1,-1,6.25,6.75,9.25
21000045,8.0,6.0,4.0,7.25,7.5,4.25,-1,-1,-1
21000046,8.8,8.5,9.2,-1,-1,-1,4.75,9.0,6.0
21000047,7.6,6.5,5.8,5.75,5.5,4.5,-1,-1,-1
21000048,7.0,7.25,5.2,-1,-1,-1,5.5,7.75,6.75
21000049,4.6,5.5,-1,-1,-1,-1,3.0,5.75,-1
