SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
22000001,9.0,7.25,9.8,8.25,4.25,5.0,-1,-1,-1
22000002,4.2,6.0,9.2,-1,-1,-1,3.75,5.75,7.5
22000003,5.4,7.25,8.4,-1,-1,-1,7.0,8.5,9.0
22000004,8.4,4.5,8.8,9.0,8.25,2.75,-1,-1,-1
22000005,8.4,3.75,9.0,6.75,5.0,4.25,-1,-1,-1
22000006,6.2,7.5,8.8,-1,-1,-1,8.25,8.5,8.5
22000007,8.0,7.25,9.6,-1,-1,-1,4.5,6.75,8.0
22000008,8.0,5.25,9.8,7.75,8.5,3.75,-1,-1,-1
22000009,9.0,7.5,8.4,4.0,7.75,9.0,-1,-1,-1
22000010,8.4,6.5,9.2,7.75,7.5,4.5,-1,-1,-1
22000011,7.2,7.5,9.6,-1,-1,-1,5.5,7.0,7.75
22000012,6.0,8.5,6.8,-1,-1,-1,8.75,10.0,7.75
22000013,7.6,7.0,6.0,-1,-1,-1,4.25,6.25,7.5
22000015,9.6,7.25,7.8,6.25,9.0,8.75,-1,-1,-1
22000016,7.2,8.5,10.0,-1,-1,-1,6.25,7.75,9.5
22000017,8.6,9.0,10.0,7.75,7.25,7.75,-1,-1,-1
22000018,8.2,8.0,10.0,-1,-1,-1,7.0,8.75,9.0
22000019,7.2,8.5,10.0,-1,-1,-1,5.5,6.75,9.25
22000020,9.4,6.5,9.4,8.75,5.0,5.75,-1,-1,-1
22000021,8.4,7.5,9.8,-1,-1,-1,3.25,5.75,7.75
22000022,8.0,6.0,9.6,7.25,5.25,6.25,-1,-1,-1
22000023,9.0,4.5,4.6,7.75,7.25,4.25,-1,-1,-1
22000024,9.0,6.5,9.6,8.75,8.5,6.25,-1,-1,-1
22000025,8.6,8.5,9.8,-1,-1,-1,2.75,6.0,8.5
22000026,8.2,8.0,9.4,4.5,8.0,8.5,-1,-1,-1
22000027,8.8,7.0,9.2,4.0,8.25,8.5,-1,-1,-1
22000028,8.6,8.75,9.4,-1,-1,-1,6.0,6.75,9.25
22000029,9.2,6.75,10.0,9.25,6.0,5.75,-1,-1,-1
22000030,8.2,8.75,9.8,-1,-1,-1,4.25,7.75,8.75
22000031,7.6,7.75,9.8,-1,-1,-1,5.25,7.75,8.5
22000032,5.6,7.5,9.6,-1,-1,-1,5.5,7.5,8.0
22000033,8.2,8.0,9.6,-1,-1,-1,6.5,6.75,8.25
22000034,8.4,7.5,9.4,-1,-1,-1,3.25,5.75,9.5
