SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
23000001,2.4,4.0,2.6,-1,-1,-1,3.5,4.5,5.5
23000002,2.8,5.5,-1,-1,-1,-1,3.0,4.75,-1
23000003,3.6,6.0,6.6,-1,-1,-1,2.5,5.5,4.75
23000004,2.8,5.0,2.4,-1,-1,-1,3.5,6.5,6.5
23000005,5.6,7.0,3.0,-1,-1,-1,7.5,7.5,9.5
23000006,3.0,6.5,2.4,-1,-1,-1,4.5,7.25,7.25
23000007,4.0,6.75,1.6,-1,-1,-1,4.0,7.75,9.0
23000008,7.4,5.25,3.0,3.5,8.0,7.0,-1,-1,-1
23000009,5.8,6.5,2.4,3.5,4.5,6.5,-1,-1,-1
23000010,4.6,6.25,2.2,-1,-1,-1,5.0,7.0,9.0
23000011,4.8,5.5,2.6,-1,-1,-1,5.0,8.25,9.25
23000012,3.2,7.25,5.0,-1,-1,-1,6.75,7.5,9.25
23000013,4.4,7.25,2.8,4.25,3.25,5.0,-1,-1,-1
23000014,3.4,4.75,-1,-1,-1,-1,3.75,-1,-1
23000015,3.2,5.5,3.4,-1,-1,-1,2.75,7.0,5.5
23000016,2.2,4.0,2.8,-1,-1,-1,4.0,3.25,5.5
23000017,2.6,5.5,2.0,-1,-1,-1,4.25,6.75,7.5
23000018,3.6,6.25,3.6,-1,-1,-1,4.25,6.75,8.5
23000019,4.0,6.5,5.2,-1,-1,-1,5.25,7.5,9.5
23000020,5.8,7.25,3.2,-1,-1,-1,8.75,9.0,8.25
23000021,8.4,6.5,2.4,-1,-1,-1,4.0,7.25,7.75
23000022,9.0,4.25,4.8,9.0,9.0,3.0,-1,-1,-1
23000023,3.2,4.5,1.8,-1,-1,-1,2.5,6.5,6.0
23000024,4.2,6.0,4.0,-1,-1,-1,4.75,7.75,8.0
23000025,3.2,3.75,-1,-1,-1,-1,4.5,4.75,-1
23000026,8.6,7.5,7.2,6.25,7.5,8.25,-1,-1,-1
23000027,8.8,7.0,9.4,6.5,8.0,5.5,-1,-1,-1
23000028,3.6,4.75,6.4,-1,-1,-1,6.5,6.5,9.25
23000029,8.8,7.25,8.6,7.0,6.0,5.25,-1,-1,-1
23000030,8.2,8.5,8.2,-1,-1,-1,6.25,7.75,8.25
23000031,6.4,8.5,9.2,-1,-1,-1,5.25,7.0,8.25
23000032,9.0,6.25,7.2,5.5,8.75,9.0,-1,-1,-1
