SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
24000001,5.4,8.0,5.4,-1,-1,-1,7.75,9.0,8.75
24000002,8.6,9.25,9.4,-1,-1,-1,4.75,8.0,8.25
24000003,8.0,9.5,9.8,-1,-1,-1,9.0,7.0,9.5
24000004,9.2,6.75,6.8,7.75,8.75,5.5,-1,-1,-1
24000005,8.0,7.75,9.2,3.0,8.25,8.75,-1,-1,-1
24000006,6.0,7.5,5.8,-1,-1,-1,8.5,8.0,9.0
24000007,8.8,9.0,9.8,-1,-1,-1,7.25,8.0,9.5
24000009,9.2,9.0,9.8,-1,-1,-1,8.75,8.25,9.25
24000010,8.6,8.0,7.8,7.5,8.75,5.75,-1,-1,-1
24000011,9.6,8.0,8.0,8.5,9.0,4.0,-1,-1,-1
24000012,8.8,8.25,7.8,7.5,9.25,5.75,-1,-1,-1
24000013,8.4,7.0,8.6,-1,-1,-1,-1,-1,-1
24000014,7.0,8.5,9.6,-1,-1,-1,6.25,7.25,9.25
24000015,8.4,9.0,9.2,-1,-1,-1,4.5,6.75,9.0
24000016,8.4,9.0,9.6,-1,-1,-1,6.5,8.5,8.0
24000017,8.8,6.25,7.8,8.0,8.75,5.75,-1,-1,-1
24000018,8.4,6.75,6.4,7.0,7.75,3.75,-1,-1,-1
24000019,7.6,9.25,8.4,-1,-1,-1,7.25,9.25,9.0
24000020,7.6,9.0,9.4,-1,-1,-1,5.5,7.5,9.25
24000021,9.2,8.75,8.8,8.0,8.5,6.0,-1,-1,-1
24000022,5.8,8.5,5.0,-1,-1,-1,8.75,9.25,9.5
24000023,8.4,7.0,4.2,7.5,8.0,5.25,-1,-1,-1
24000024,9.0,6.5,9.2,9.5,9.5,7.0,-1,-1,-1
24000025,8.4,8.0,8.6,8.25,3.75,6.25,-1,-1,-1
24000026,7.0,9.0,9.4,-1,-1,-1,9.5,9.25,9.75
24000027,8.4,7.75,5.6,4.75,7.75,6.75,-1,-1,-1
24000028,9.2,6.75,9.4,8.75,8.0,7.25,-1,-1,-1
24000029,8.4,7.0,10.0,8.25,6.5,6.25,-1,-1,-1
24000030,9.0,7.5,8.6,8.25,9.25,8.0,-1,-1,-1
24000031,9.4,8.75,8.8,-1,-1,-1,7.75,8.75,9.25
24000032,7.8,7.0,7.2,5.25,7.25,8.0,-1,-1,-1
24000033,9.4,7.0,6.8,8.25,7.5,3.75,-1,-1,-1
24000034,8.0,9.0,9.8,-1,-1,-1,8.75,9.25,9.75
24000035,8.0,7.5,7.6,5.5,4.25,6.5,-1,-1,-1
24000036,8.6,9.0,8.0,-1,-1,-1,8.25,7.75,9.75
24000037,9.4,8.75,9.6,5.25,4.5,4.5,-1,-1,-1
24000038,9.0,7.75,9.4,-1,-1,-1,6.25,8.0,8.25
24000039,8.8,7.0,7.8,7.75,6.25,4.75,-1,-1,-1
24000040,9.0,5.25,9.4,8.5,6.25,5.25,-1,-1,-1
24000041,8.0,7.5,8.8,5.75,7.0,9.0,-1,-1,-1
24000042,9.0,6.75,9.6,9.0,3.75,7.75,-1,-1,-1
24000043,8.6,8.75,9.8,-1,-1,-1,5.75,8.0,9.5
24000044,9.0,7.5,9.8,8.5,6.0,5.0,-1,-1,-1
24000045,7.0,7.75,7.8,-1,-1,-1,8.5,8.75,8.5
24000046,8.0,8.25,9.0,-1,-1,-1,7.0,9.0,9.25
24000047,8.2,9.25,9.6,-1,-1,-1,6.5,7.75,9.75
24000048,9.0,7.0,8.6,8.25,7.25,6.5,-1,-1,-1
