SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
25000001,8.4,8.0,10.0,-1,-1,-1,8.75,8.5,9.5
25000002,9.0,8.5,9.8,-1,-1,-1,8.75,8.75,9.25
25000003,8.8,9.0,9.4,-1,-1,-1,4.5,8.5,9.25
25000004,8.2,8.0,10.0,-1,-1,-1,7.5,8.75,9.25
25000005,9.2,9.0,9.4,-1,-1,-1,7.0,7.5,10.0
25000006,9.0,7.5,9.6,-1,-1,-1,5.75,7.75,9.5
25000007,9.0,6.75,8.6,6.75,8.25,8.25,-1,-1,-1
25000008,8.6,7.75,9.4,-1,-1,-1,6.5,8.75,10.0
25000009,7.0,8.0,7.8,-1,-1,-1,8.75,7.75,8.25
25000010,8.0,8.0,9.8,-1,-1,-1,5.25,7.0,8.5
25000011,8.8,8.5,9.8,-1,-1,-1,8.0,8.5,9.5
25000012,7.4,6.5,7.2,-1,-1,-1,5.25,8.25,9.25
25000013,8.8,8.0,10.0,-1,-1,-1,6.25,7.75,9.5
25000014,8.2,7.5,4.8,4.75,9.0,8.75,-1,-1,-1
25000015,9.4,7.25,9.8,9.25,5.75,6.75,-1,-1,-1
25000016,9.2,5.75,9.0,8.5,8.75,9.5,-1,-1,-1
25000017,7.2,8.25,8.2,-1,-1,-1,3.0,6.5,9.25
25000018,9.0,6.75,6.4,6.5,8.25,9.5,-1,-1,-1
25000019,9.4,8.0,9.6,-1,-1,-1,6.75,7.5,9.75
25000020,9.2,5.75,8.6,8.75,8.25,8.25,-1,-1,-1
25000021,8.6,8.75,9.2,-1,-1,-1,9.0,9.25,9.75
25000022,8.6,7.75,9.2,5.75,4.5,8.25,-1,-1,-1
25000023,8.8,6.0,9.4,7.5,6.75,6.75,-1,-1,-1
25000024,8.6,6.75,9.0,7.5,8.25,5.25,-1,-1,-1
25000025,8.8,7.5,9.0,7.25,9.0,6.75,-1,-1,-1
25000026,8.6,8.0,9.6,9.25,8.0,6.0,-1,-1,-1
25000027,7.2,7.75,7.4,-1,-1,-1,8.75,9.5,10.0
25000028,8.6,6.5,9.4,8.25,3.5,5.0,-1,-1,-1
25000029,8.4,7.75,8.8,-1,-1,-1,7.0,8.0,8.0
25000030,9.2,7.25,9.0,5.25,8.75,9.25,-1,-1,-1
25000031,6.6,8.0,9.8,-1,-1,-1,9.75,8.75,9.75
25000032,8.8,8.75,9.0,-1,-1,-1,7.0,7.75,9.75
25000033,9.0,6.0,8.8,7.25,7.25,7.5,-1,-1,-1
25000034,8.8,7.5,9.8,7.75,5.0,4.0,-1,-1,-1
25000035,8.4,7.5,8.8,-1,-1,-1,4.5,8.5,9.5
25000036,9.0,6.75,9.6,8.5,5.5,6.75,-1,-1,-1
25000037,5.0,7.5,7.8,-1,-1,-1,9.5,9.0,8.75
25000038,8.4,8.75,9.6,-1,-1,-1,8.0,7.75,9.75
25000039,7.6,7.25,9.2,7.75,4.0,5.25,-1,-1,-1
25000040,8.6,6.5,9.4,7.75,5.75,6.25,-1,-1,-1
25000041,8.0,8.75,9.0,-1,-1,-1,5.25,7.25,9.25
25000042,7.6,7.75,9.8,-1,-1,-1,6.25,8.0,9.0
25000043,8.2,8.0,9.8,-1,-1,-1,9.0,8.75,10.0
25000044,8.4,8.0,10.0,-1,-1,-1,7.0,7.0,9.0
25000045,8.8,6.5,10.0,8.75,5.5,4.75,-1,-1,-1
25000046,8.6,6.75,10.0,-1,-1,-1,7.5,8.5,9.75
25000047,8.2,7.5,9.2,8.75,10.0,8.75,-1,-1,-1
25000048,8.0,8.0,9.6,-1,-1,-1,6.5,8.75,9.75
25000049,9.0,9.5,10.0,-1,-1,-1,8.25,7.75,9.75
25000050,8.8,8.75,10.0,-1,-1,-1,7.25,8.25,9.75
25000051,9.0,7.25,9.8,-1,-1,-1,7.25,8.0,8.75
25000052,7.4,7.5,8.8,-1,-1,-1,7.75,8.0,9.75
25000053,7.6,6.5,7.2,-1,-1,-1,4.75,8.25,9.0
25000054,9.4,9.25,9.8,-1,-1,-1,7.0,7.0,9.25
25000055,9.0,7.25,9.0,7.75,5.25,6.0,-1,-1,-1
25000056,9.0,7.25,8.8,8.75,9.5,5.75,-1,-1,-1
25000057,8.6,8.5,10.0,-1,-1,-1,7.25,8.5,9.5
25000058,8.8,8.0,10.0,-1,-1,-1,8.75,9.0,10.0
25000059,8.8,7.75,8.8,7.25,7.75,7.5,-1,-1,-1
25000060,8.2,8.5,9.8,-1,-1,-1,7.0,8.0,9.5
25000061,8.2,7.0,7.8,-1,-1,-1,4.0,6.5,8.75
25000062,8.8,6.25,9.6,7.75,5.25,6.0,-1,-1,-1
25000063,9.0,6.75,9.0,6.25,7.75,7.25,-1,-1,-1
25000064,9.2,8.25,9.2,7.25,9.0,9.25,-1,-1,-1
25000065,8.2,8.25,9.6,-1,-1,-1,6.25,8.25,9.75
25000066,7.8,7.5,7.8,-1,-1,-1,7.75,9.0,9.75
25000067,8.6,7.5,8.4,-1,-1,-1,8.5,8.75,9.25
25000068,7.6,8.0,9.0,-1,-1,-1,5.5,8.0,9.25
25000069,8.8,8.25,9.8,-1,-1,-1,9.25,9.0,9.75
25000070,8.6,8.5,9.6,-1,-1,-1,7.75,8.5,9.75
25000071,8.6,7.75,10.0,-1,-1,-1,7.5,8.5,8.75
25000072,9.2,6.75,9.8,8.75,7.5,7.0,-1,-1,-1
