SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
26000001,7.0,7.0,6.4,-1,-1,-1,8.25,8.75,8.75
26000002,6.4,7.25,8.8,-1,-1,-1,5.25,6.25,-1
26000003,8.6,7.5,9.0,-1,-1,-1,3.5,8.25,7.5
26000004,6.0,8.0,7.0,-1,-1,-1,6.25,7.25,9.5
26000005,2.4,3.75,-1,-1,-1,-1,3.0,5.5,-1
26000006,9.2,7.0,8.6,8.0,9.25,9.75,-1,-1,-1
26000007,8.4,8.5,9.6,-1,-1,-1,5.75,8.5,9.5
26000008,8.0,8.5,9.0,-1,-1,-1,4.25,6.0,8.5
26000009,6.8,5.25,6.0,-1,-1,-1,5.25,6.5,-1
26000010,3.6,4.0,-1,-1,-1,-1,5.75,7.25,-1
26000011,6.6,7.75,9.0,-1,-1,-1,6.25,8.25,9.75
26000012,8.8,4.5,8.8,7.25,4.25,6.75,-1,-1,-1
26000013,8.6,8.75,9.4,-1,-1,-1,3.0,7.5,9.25
26000014,8.6,4.75,8.2,7.75,4.75,6.0,-1,-1,-1
26000015,9.0,8.25,9.6,-1,-1,-1,7.0,8.25,10.0
26000016,3.8,2.75,-1,-1,-1,-1,1.25,5.5,-1
26000017,8.0,8.0,9.2,6.25,6.0,4.0,-1,-1,-1
26000018,8.6,4.25,9.0,8.25,8.0,3.0,-1,-1,-1
26000019,8.2,7.0,-1,5.25,6.75,4.75,-1,-1,-1
26000020,8.6,9.0,9.0,-1,-1,-1,6.75,7.25,9.5
26000021,6.0,6.25,-1,-1,-1,-1,2.0,7.25,-1
26000022,6.6,6.25,-1,-1,-1,-1,2.5,6.75,-1
26000023,8.4,8.25,7.0,7.0,8.0,8.25,-1,-1,-1
26000024,7.0,8.0,6.8,-1,-1,-1,10.0,9.25,8.75
26000025,6.0,5.75,-1,-1,-1,-1,6.75,6.0,-1
26000026,9.0,7.75,9.8,8.0,6.75,6.25,-1,-1,-1
26000027,7.2,6.75,-1,3.5,3.0,2.75,-1,-1,-1
26000028,9.0,8.75,9.8,-1,-1,-1,5.5,7.5,9.25
26000029,8.6,7.5,9.0,8.75,8.75,5.5,-1,-1,-1
26000030,6.8,7.5,6.6,-1,-1,-1,9.5,9.75,9.5
26000031,8.8,8.0,7.4,6.5,8.25,8.25,-1,-1,-1
26000032,3.4,2.0,-1,-1,-1,-1,1.5,3.75,-1
26000033,2.4,4.75,-1,-1,-1,-1,3.5,5.5,-1
26000034,8.0,7.5,9.4,-1,-1,-1,7.5,8.25,9.25
26000035,2.6,4.5,-1,-1,-1,-1,1.75,6.5,-1
26000036,8.4,7.25,9.6,-1,-1,-1,7.5,6.75,9.0
26000037,9.0,8.0,9.2,-1,-1,-1,7.75,7.25,9.25
26000038,5.2,5.75,-1,-1,-1,-1,5.5,6.5,-1
26000039,7.6,6.5,5.6,-1,-1,-1,5.5,8.25,-1
26000040,7.4,8.25,9.2,-1,-1,-1,5.25,7.25,10.0
26000041,7.6,7.0,8.6,-1,-1,-1,3.5,7.0,7.5
26000042,9.0,8.5,9.8,-1,-1,-1,6.75,8.25,9.5
26000043,8.4,8.0,7.8,8.5,8.25,5.5,-1,-1,-1
26000044,8.6,8.5,9.8,-1,-1,-1,6.75,8.0,7.5
26000045,6.0,6.75,6.0,-1,-1,-1,2.75,5.75,-1
26000046,8.2,8.75,9.6,-1,-1,-1,6.75,8.5,9.0
26000047,7.6,8.0,9.6,-1,-1,-1,5.75,8.0,7.5
