SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
27000001,5.8,6.0,3.8,-1,-1,-1,3.5,6.25,7.0
27000002,6.2,5.75,5.2,-1,-1,-1,4.25,6.75,7.25
27000003,7.4,6.75,5.4,8.5,8.0,6.0,-1,-1,-1
27000004,4.8,5.75,3.6,-1,-1,-1,4.75,6.0,7.5
27000005,8.0,7.5,7.6,-1,-1,-1,5.25,8.75,9.75
27000006,7.0,6.25,4.4,5.75,5.75,4.5,-1,-1,-1
27000007,6.2,8.0,5.0,-1,-1,-1,8.0,8.5,7.75
27000008,8.0,6.75,3.6,6.25,3.75,4.25,-1,-1,-1
27000009,8.2,9.0,6.0,-1,-1,-1,8.25,9.0,9.75
27000010,7.0,5.25,3.4,-1,-1,-1,6.25,8.0,9.5
27000011,5.8,5.5,2.0,-1,-1,-1,3.5,6.5,7.5
27000012,4.6,5.25,4.0,-1,-1,-1,4.75,6.5,6.5
27000013,7.2,6.5,4.8,-1,-1,-1,5.25,7.5,7.75
27000014,8.2,7.75,6.4,8.5,7.75,8.0,-1,-1,-1
27000015,6.6,6.25,4.4,-1,-1,-1,4.25,5.75,9.25
27000016,6.2,5.75,3.0,-1,-1,-1,3.75,7.0,6.25
27000017,7.2,5.75,5.6,-1,-1,-1,5.75,7.5,9.75
27000018,8.0,7.0,4.0,6.5,6.25,4.75,-1,-1,-1
27000019,7.0,6.75,4.6,-1,-1,-1,5.0,6.25,7.25
27000020,6.0,6.75,3.6,-1,-1,-1,2.5,6.75,6.75
27000021,8.8,6.25,4.6,8.5,8.75,5.25,-1,-1,-1
27000022,7.2,6.5,3.0,-1,-1,-1,6.0,7.5,9.0
27000023,5.2,7.0,2.0,-1,-1,-1,2.5,7.75,9.5
27000024,6.0,6.75,4.8,-1,-1,-1,3.75,7.25,9.0
27000025,4.8,5.5,2.8,-1,-1,-1,6.5,8.25,9.0
27000026,8.6,8.5,6.2,-1,-1,-1,7.25,8.5,9.75
27000027,7.6,7.25,8.8,-1,-1,-1,6.5,8.0,10.0
27000028,6.2,7.75,4.4,-1,-1,-1,8.5,9.0,9.5
27000029,8.4,8.5,8.0,5.5,8.5,7.75,-1,-1,-1
27000030,7.4,7.75,3.4,-1,-1,-1,3.0,6.75,8.5
27000031,8.8,7.25,6.8,8.25,8.5,4.75,-1,-1,-1
27000032,8.6,5.0,4.2,6.75,8.5,4.75,-1,-1,-1
27000033,8.4,5.0,3.2,7.5,7.25,5.25,-1,-1,-1
27000034,6.4,6.0,2.6,-1,-1,-1,3.75,7.75,9.75
27000035,6.2,5.25,3.2,-1,-1,-1,4.0,7.5,8.5
27000036,8.4,8.25,7.0,6.5,4.25,4.75,-1,-1,-1
27000037,3.6,7.0,4.0,-1,-1,-1,5.25,6.25,9.5
27000038,5.8,7.0,3.2,-1,-1,-1,5.75,7.75,8.75
27000039,5.6,9.0,6.2,-1,-1,-1,8.0,8.75,8.75
27000040,8.8,5.75,3.8,8.25,8.25,4.0,-1,-1,-1
27000041,8.0,7.5,5.6,6.5,8.25,5.5,-1,-1,-1
27000042,8.0,8.75,6.6,-1,-1,-1,8.5,8.0,9.5
27000043,8.4,8.0,8.8,6.75,8.0,7.0,-1,-1,-1
27000044,-1,7.25,-1,-1,-1,-1,10.0,9.75,-1
27000045,7.4,9.0,8.8,-1,-1,-1,8.5,7.75,10.0
27000046,5.4,7.25,5.6,-1,-1,-1,6.25,7.0,8.0
27000047,6.2,7.0,3.6,-1,-1,-1,6.25,7.5,8.5
27000048,9.6,7.5,3.8,7.25,8.25,5.5,-1,-1,-1
27000050,4.4,7.5,2.6,-1,-1,-1,8.5,8.75,8.25
27000051,6.6,9.0,5.6,-1,-1,-1,9.25,9.75,10.0
27000052,4.4,8.0,5.0,-1,-1,-1,9.75,9.0,8.0
27000053,7.2,5.0,2.0,-1,-1,-1,3.0,6.5,7.25
27000054,5.0,7.25,8.8,-1,-1,-1,9.0,7.0,9.0
27000055,7.6,5.75,3.8,4.25,5.25,2.5,-1,-1,-1
27000056,8.4,7.5,5.4,7.75,7.5,5.0,-1,-1,-1
27000057,8.2,6.5,5.8,7.0,6.0,5.25,-1,-1,-1
27000058,5.4,7.75,3.4,-1,-1,-1,6.0,8.25,10.0
27000059,8.0,8.5,8.0,-1,-1,-1,6.75,9.5,9.5
27000060,8.4,8.25,7.4,-1,-1,-1,4.75,8.0,9.75
27000061,8.8,-1,-1,-1,8.0,7.25,-1,-1,-1
27000062,6.4,6.5,3.6,-1,-1,-1,5.75,7.5,7.75
27000063,6.4,6.5,4.8,-1,-1,-1,4.5,8.25,9.25
27000064,7.8,8.25,7.4,-1,-1,-1,2.75,7.25,8.5
27000065,5.6,7.5,3.6,-1,-1,-1,7.5,7.5,9.75
27000066,8.0,7.0,6.8,-1,-1,-1,6.5,8.0,8.75
27000067,3.6,7.0,2.8,-1,-1,-1,5.25,7.75,8.75
27000068,8.8,6.0,5.8,-1,-1,-1,8.5,8.75,9.5
27000069,6.6,6.5,6.0,-1,-1,-1,8.0,7.75,9.75
27000070,6.4,6.5,4.2,-1,-1,-1,4.75,7.5,9.25
27000071,8.4,7.0,7.8,7.75,8.25,5.5,-1,-1,-1
27000072,5.6,6.25,3.2,-1,-1,-1,3.5,6.5,8.75
27000073,5.6,6.0,4.6,-1,-1,-1,4.75,7.25,8.5
27000074,5.4,6.75,3.4,-1,-1,-1,3.5,6.5,9.25
27000075,9.6,7.75,7.6,8.75,7.5,6.75,-1,-1,-1
27000076,8.4,7.25,5.6,7.0,8.5,6.75,-1,-1,-1
27000077,5.6,6.0,8.2,-1,-1,-1,8.0,8.75,9.75
27000078,6.0,6.0,4.6,-1,-1,-1,3.5,8.25,9.25
27000079,5.0,6.75,3.6,-1,-1,-1,6.0,7.5,9.5
27000080,5.6,8.0,5.2,-1,-1,-1,8.75,9.5,9.25
27000081,4.4,7.0,3.2,-1,-1,-1,3.75,6.25,8.75
27000082,5.0,6.25,4.8,-1,-1,-1,3.25,6.75,8.5
27000083,6.0,5.75,3.2,-1,-1,-1,3.0,6.0,7.25
27000084,7.4,6.25,3.2,-1,-1,-1,6.25,7.5,8.25
27000085,7.2,4.75,4.2,-1,-1,-1,4.75,7.25,8.75
27000086,7.8,7.0,9.2,8.0,3.75,3.0,-1,-1,-1
27000087,5.4,5.5,4.2,-1,-1,-1,2.25,6.0,6.0
27000088,6.4,6.25,6.0,-1,-1,-1,6.25,5.75,7.0
27000089,4.2,5.75,6.8,-1,-1,-1,6.25,7.75,7.0
