SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
28000001,8.6,8.75,9.0,-1,-1,-1,4.25,6.5,7.75
28000002,8.8,9.25,10.0,-1,-1,-1,9.0,7.75,9.25
28000003,5.2,5.0,-1,-1,-1,-1,3.5,5.0,-1
28000004,6.6,5.25,-1,-1,-1,-1,3.75,6.25,-1
28000005,8.8,7.5,6.8,5.5,8.75,4.25,-1,-1,-1
28000006,7.8,5.0,8.8,5.25,4.0,4.5,-1,-1,-1
28000007,6.8,7.25,-1,-1,-1,-1,5.5,7.0,-1
28000008,5.8,8.25,9.2,-1,-1,-1,4.0,6.25,7.75
28000009,4.8,7.25,-1,-1,-1,-1,6.25,5.75,-1
28000010,7.6,9.0,9.0,-1,-1,-1,4.75,5.25,8.75
28000011,7.6,7.25,9.4,-1,-1,-1,4.75,6.75,9.25
28000012,8.2,6.75,8.0,4.25,6.5,7.25,-1,-1,-1
28000013,7.6,7.75,9.0,-1,-1,-1,4.5,6.25,8.0
28000014,7.4,6.75,6.2,-1,-1,-1,6.5,6.75,8.25
28000015,3.6,7.75,3.0,-1,-1,-1,5.75,8.5,6.75
28000016,8.0,8.25,9.2,-1,-1,-1,3.25,7.0,7.25
28000017,7.2,8.75,6.6,-1,-1,-1,4.25,6.5,7.5
28000018,5.0,6.25,3.8,5.5,3.0,2.75,-1,-1,-1
28000019,8.4,8.5,9.2,-1,-1,-1,3.5,5.25,8.0
28000020,5.0,5.5,-1,-1,-1,-1,4.75,6.75,-1
28000021,8.4,8.5,9.4,-1,-1,-1,3.5,6.5,7.75
28000022,8.2,7.5,8.6,8.5,8.75,6.25,-1,-1,-1
28000023,2.6,7.5,3.2,-1,-1,-1,3.75,6.0,6.0
28000024,8.0,6.25,6.0,3.5,6.75,5.0,-1,-1,-1
28000025,8.6,7.25,8.4,6.0,6.75,4.0,-1,-1,-1
28000026,9.2,5.5,8.8,8.0,4.0,6.25,-1,-1,-1
28000027,7.2,8.0,4.4,6.0,7.25,6.0,-1,-1,-1
28000028,7.4,9.0,9.4,-1,-1,-1,4.0,6.25,7.75
28000029,8.0,6.0,10.0,6.5,2.5,4.25,-1,-1,-1
28000030,4.4,5.0,-1,-1,-1,-1,3.5,6.0,-1
28000031,8.0,8.25,10.0,-1,-1,-1,6.25,5.5,7.25
28000032,7.8,5.5,4.4,6.75,6.5,3.5,-1,-1,-1
28000033,8.4,9.0,9.8,-1,-1,-1,2.75,8.0,9.25
28000034,8.0,8.25,8.4,6.25,7.5,5.5,-1,-1,-1
28000035,5.6,7.0,6.6,4.0,5.25,4.75,-1,-1,-1
28000036,6.0,8.25,8.6,-1,-1,-1,7.0,7.0,8.0
28000037,7.6,8.0,9.6,-1,-1,-1,3.0,7.0,6.75
28000038,8.4,7.5,9.6,-1,-1,-1,5.5,7.0,9.0
28000039,7.2,7.5,8.0,-1,-1,-1,5.25,7.25,6.0
28000040,8.2,8.5,9.6,-1,-1,-1,6.25,6.75,8.5
28000041,7.4,8.5,8.0,-1,-1,-1,6.0,8.5,8.25
28000042,8.4,8.75,9.0,-1,-1,-1,6.0,6.75,8.25
28000043,7.8,5.58,9.2,6.25,4.75,4.0,-1,-1,-1
28000044,6.6,7.75,6.4,6.5,3.0,3.25,-1,-1,-1
28000045,2.0,4.25,-1,-1,-1,-1,2.25,3.5,-1
28000046,8.0,7.75,9.6,7.0,5.0,4.25,-1,-1,-1
28000047,8.8,8.0,8.6,8.25,8.5,3.25,-1,-1,-1
28000048,8.6,8.75,9.4,7.5,3.75,4.25,-1,-1,-1
28000049,7.6,8.25,8.6,-1,-1,-1,3.25,5.75,8.5
28000050,9.2,7.25,8.8,8.25,4.5,6.0,-1,-1,-1
