SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
29000001,9.0,7.0,8.8,8.75,4.0,4.25,-1,-1,-1
29000002,2.8,4.25,-1,-1,-1,-1,6.75,6.25,-1
29000003,4.4,7.25,4.0,-1,-1,-1,7.0,8.25,-1
29000004,7.6,-1,-1,6.75,8.0,2.75,-1,-1,-1
29000005,7.8,9.0,8.6,-1,-1,-1,4.0,7.25,9.5
29000006,9.8,7.75,6.8,7.25,8.25,4.5,-1,-1,-1
29000007,9.4,7.25,10.0,8.5,4.5,4.0,-1,-1,-1
29000008,9.0,7.25,9.6,8.0,5.75,3.5,-1,-1,-1
29000009,8.8,9.0,9.4,-1,-1,-1,5.5,7.75,8.5
29000010,8.0,8.0,9.6,5.25,5.25,4.5,-1,-1,-1
29000011,9.0,7.25,7.0,8.25,8.25,3.25,-1,-1,-1
29000012,9.4,7.0,8.4,8.75,8.75,4.5,-1,-1,-1
29000013,8.4,8.0,6.6,5.25,7.75,7.75,-1,-1,-1
29000014,8.6,8.75,9.8,-1,-1,-1,6.25,7.25,8.75
29000015,8.0,7.25,8.4,6.75,3.25,3.0,-1,-1,-1
29000016,8.2,8.25,9.2,-1,-1,-1,6.5,7.25,8.0
29000017,9.6,9.0,9.2,-1,-1,-1,4.0,6.5,8.75
29000018,8.8,6.5,6.0,6.75,8.5,3.75,-1,-1,-1
29000019,8.6,9.0,9.4,-1,-1,-1,5.75,7.0,9.0
29000020,8.6,8.5,9.6,-1,-1,-1,4.25,4.75,8.75
29000021,9.6,8.5,8.8,8.5,2.75,2.25,-1,-1,-1
29000022,7.6,8.0,9.8,-1,-1,-1,5.75,8.75,7.5
29000023,8.2,7.75,9.0,4.75,7.75,3.5,-1,-1,-1
29000024,8.8,-1,8.6,8.75,-1,-1,-1,-1,-1
29000025,8.6,5.5,9.4,8.0,4.25,3.75,-1,-1,-1
29000026,4.2,3.25,-1,-1,-1,-1,4.75,6.75,-1
29000027,8.2,8.0,9.8,8.25,6.0,5.5,-1,-1,-1
29000028,2.8,2.75,-1,-1,-1,-1,3.75,4.25,-1
29000029,8.8,6.5,6.8,8.0,8.25,3.5,-1,-1,-1
29000030,8.6,5.83,8.8,8.25,4.0,6.5,-1,-1,-1
29000031,8.6,8.0,7.8,7.75,8.75,4.5,-1,-1,-1
29000032,8.4,8.75,7.0,-1,-1,-1,8.5,7.75,8.75
29000033,8.2,8.0,6.0,-1,-1,-1,5.5,7.25,7.75
29000034,7.0,6.75,-1,-1,-1,-1,4.25,7.5,-1
29000035,7.6,8.25,8.2,-1,-1,-1,8.25,7.0,9.0
29000036,9.0,6.75,8.8,4.25,7.5,3.5,-1,-1,-1
29000037,7.2,8.75,9.2,-1,-1,-1,3.5,5.75,7.0
29000038,8.4,5.75,9.2,8.25,4.25,4.5,-1,-1,-1
29000039,4.4,3.75,-1,-1,-1,-1,4.25,6.5,-1
29000040,3.8,4.25,-1,-1,-1,-1,5.0,6.5,-1
29000041,9.0,9.25,9.4,-1,-1,-1,6.0,6.0,8.5
29000042,8.6,9.25,9.4,-1,-1,-1,6.75,9.0,9.5
29000043,9.0,8.75,9.6,-1,-1,-1,2.5,6.0,8.0
29000044,7.2,8.5,9.2,-1,-1,-1,4.25,6.25,7.75
29000045,8.8,9.0,9.2,-1,-1,-1,7.0,8.25,9.5
29000046,8.4,8.75,8.8,-1,-1,-1,2.0,4.75,5.5
29000047,7.8,9.0,6.6,-1,-1,-1,6.25,7.25,9.0
29000048,6.8,8.0,9.2,-1,-1,-1,4.5,7.75,9.5
29000049,8.4,8.5,7.6,-1,-1,-1,5.5,6.5,8.25
29000050,8.8,8.25,8.8,8.25,8.5,5.25,-1,-1,-1
29000051,8.8,8.25,10.0,4.75,8.25,3.75,-1,-1,-1
29000052,8.2,3.75,7.6,8.0,4.5,2.75,-1,-1,-1
29000053,9.2,8.5,10.0,8.25,4.75,5.75,-1,-1,-1
29000054,7.6,8.25,8.2,-1,-1,-1,4.25,7.0,9.0
29000055,5.4,7.25,-1,-1,-1,-1,3.0,5.75,-1
29000056,8.2,4.0,5.6,6.5,7.5,4.25,-1,-1,-1
29000057,8.2,5.75,8.6,8.5,4.75,4.5,-1,-1,-1
29000058,7.8,8.0,6.8,-1,-1,-1,1.75,5.25,6.75
29000059,7.8,7.5,6.8,2.5,8.25,9.0,-1,-1,-1
29000060,9.0,8.25,8.8,8.25,5.0,5.0,-1,-1,-1
29000061,9.0,7.5,9.4,8.25,9.25,6.5,-1,-1,-1
29000062,8.0,8.25,9.8,-1,-1,-1,4.0,7.25,8.75
29000063,6.0,8.0,-1,-1,-1,-1,7.25,7.25,-1
29000064,8.6,8.5,8.6,7.25,4.75,3.5,-1,-1,-1
29000065,5.4,7.75,-1,-1,-1,-1,6.75,7.75,-1
29000066,7.8,7.75,8.0,-1,-1,-1,5.0,7.5,9.25
29000067,8.0,9.0,8.6,-1,-1,-1,4.0,5.5,7.75
29000068,4.8,6.25,4.6,-1,-1,-1,3.0,5.75,-1
29000069,7.8,7.5,8.8,7.25,5.25,4.5,-1,-1,-1
29000070,8.0,8.75,9.4,-1,-1,-1,-1,-1,-1
29000071,4.6,5.75,-1,-1,-1,-1,7.0,7.5,-1
29000072,-1,4.75,-1,-1,-1,-1,-1,-1,-1
29000073,3.2,3.5,-1,-1,-1,-1,3.25,6.0,-1
29000074,5.4,-1,4.6,3.75,-1,-1,-1,-1,-1
29000075,8.6,5.5,9.8,8.75,4.25,3.75,-1,-1,-1
29000076,9.2,6.75,9.6,8.25,4.5,4.75,-1,-1,-1
29000077,8.8,-1,-1,7.25,7.5,-1,-1,-1,-1
29000078,3.8,6.25,-1,-1,-1,-1,2.25,5.75,-1
29000080,8.8,7.0,7.8,6.75,5.0,3.75,-1,-1,-1
29000081,8.4,9.0,9.6,-1,-1,-1,7.0,7.25,8.75
29000082,8.4,7.75,10.0,8.5,7.0,6.5,-1,-1,-1
29000083,6.2,7.0,-1,-1,-1,-1,7.0,7.5,-1
29000084,8.6,6.75,8.2,8.5,8.25,4.0,-1,-1,-1
29000085,8.8,8.75,9.4,-1,-1,-1,-1,-1,-1
29000086,9.2,7.0,7.2,7.25,8.0,5.0,-1,-1,-1
29000087,8.2,7.25,8.8,4.5,3.25,3.5,-1,-1,-1
29000088,5.8,5.0,-1,-1,-1,-1,6.5,6.5,-1
29000089,9.0,7.5,5.4,8.0,9.5,6.0,-1,-1,-1
29000090,8.6,6.75,8.6,4.75,8.0,4.0,-1,-1,-1
29000091,2.6,5.5,-1,-1,-1,-1,4.0,3.75,-1
29000092,-1,7.75,-1,-1,-1,-1,8.5,8.25,-1
29000093,3.4,2.0,-1,-1,-1,-1,2.25,4.75,-1
29000094,9.6,7.75,9.2,7.75,4.0,5.75,-1,-1,-1
29000095,6.0,7.75,-1,-1,-1,-1,8.5,9.25,-1
29000096,8.6,7.5,8.0,6.75,5.25,4.75,-1,-1,-1
29000097,9.0,8.0,9.6,7.5,5.0,6.0,-1,-1,-1
29000098,8.0,8.0,9.2,4.75,8.5,5.0,-1,-1,-1
29000099,7.8,9.25,9.0,-1,-1,-1,7.0,5.75,7.75
29000100,9.0,9.0,9.6,-1,-1,-1,6.5,7.5,9.0
29000101,8.2,9.0,8.2,-1,-1,-1,3.5,6.0,8.5
29000102,8.6,8.75,9.2,-1,-1,-1,4.0,5.75,7.75
29000103,8.4,8.0,8.6,3.5,8.0,3.0,-1,-1,-1
29000104,9.0,8.5,9.6,8.25,4.25,5.0,-1,-1,-1
29000105,8.4,8.75,9.2,-1,-1,-1,4.0,4.75,7.75
29000106,8.4,9.0,9.2,-1,-1,-1,4.5,7.25,8.5
29000107,9.0,8.5,8.8,-1,-1,-1,3.0,5.0,8.25
29000108,8.8,7.5,6.8,7.5,8.25,2.25,-1,-1,-1
29000109,8.2,6.0,9.2,8.25,5.0,3.5,-1,-1,-1
29000110,3.2,5.25,-1,-1,-1,-1,4.25,5.75,-1
29000111,5.4,7.75,-1,-1,-1,-1,4.5,7.5,-1
29000112,8.8,7.0,6.2,3.25,8.75,9.75,-1,-1,-1
29000113,8.0,8.5,9.2,4.25,3.0,4.25,-1,-1,-1
29000114,8.0,6.0,8.4,-1,-1,-1,7.75,7.5,8.5
