SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
30000001,6.8,6.5,8.4,-1,-1,-1,6.0,8.5,9.0
30000002,8.6,7.5,7.6,-1,-1,-1,4.75,8.25,9.25
30000003,4.2,7.25,5.4,-1,-1,-1,7.75,8.0,8.5
30000004,5.8,7.25,5.4,-1,-1,-1,5.5,8.5,10.0
30000005,9.0,8.25,8.8,6.25,8.25,9.75,-1,-1,-1
30000006,6.8,6.0,4.2,6.0,7.5,4.75,-1,-1,-1
30000007,6.4,6.75,4.8,3.25,4.5,3.75,-1,-1,-1
30000008,6.8,8.0,5.2,-1,-1,-1,3.0,6.0,6.75
30000009,9.2,7.5,8.4,8.25,4.0,5.25,-1,-1,-1
30000010,8.2,7.0,4.2,7.75,7.0,3.5,-1,-1,-1
30000011,7.0,7.75,4.0,-1,-1,-1,8.0,7.25,9.0
30000012,7.6,6.75,5.6,-1,-1,-1,3.75,6.75,9.5
30000013,6.2,9.0,3.8,-1,-1,-1,3.0,6.75,8.75
30000014,6.2,7.25,5.6,-1,-1,-1,3.75,6.0,7.75
30000015,8.2,8.5,8.8,-1,-1,-1,7.75,9.0,10.0
30000016,7.0,6.25,3.4,5.25,8.25,9.25,-1,-1,-1
30000017,8.2,7.25,7.0,-1,-1,-1,5.25,7.25,9.25
30000018,7.6,7.75,7.8,-1,-1,-1,5.25,7.5,9.5
30000019,4.8,7.75,8.4,-1,-1,-1,7.5,8.25,8.5
30000020,7.6,8.25,5.8,5.75,8.0,8.0,-1,-1,-1
30000021,8.4,8.0,5.8,-1,-1,-1,9.25,9.5,9.75
30000022,7.4,8.25,8.4,6.75,9.0,10.0,-1,-1,-1
30000023,7.8,7.25,7.6,-1,-1,-1,5.5,9.0,9.75
30000024,8.0,8.0,6.8,-1,-1,-1,9.0,7.25,9.0
30000025,7.4,8.5,8.0,-1,-1,-1,7.0,8.25,9.25
30000026,9.0,8.0,9.6,9.0,6.0,5.75,-1,-1,-1
30000027,8.2,7.75,8.6,7.5,8.75,9.75,-1,-1,-1
30000028,6.0,8.0,4.8,-1,-1,-1,5.5,9.0,9.25
30000029,8.2,9.25,8.2,-1,-1,-1,5.75,7.75,8.25
30000030,5.8,8.0,-1,-1,-1,-1,3.25,6.5,-1
30000031,8.4,8.25,7.6,-1,-1,-1,5.25,7.5,9.5
30000032,4.6,7.0,2.0,-1,-1,-1,4.75,6.75,7.0
30000033,4.8,7.5,2.8,-1,-1,-1,5.0,8.0,9.25
30000034,7.2,8.0,8.4,-1,-1,-1,5.75,7.25,7.0
30000035,5.6,6.75,6.4,-1,-1,-1,5.0,7.75,8.0
30000036,7.0,9.25,9.0,-1,-1,-1,8.0,8.0,9.75
30000037,8.0,7.75,4.8,7.0,7.5,3.75,-1,-1,-1
30000038,7.8,7.75,9.0,-1,-1,-1,5.25,9.0,9.25
30000039,5.8,7.25,6.4,-1,-1,-1,4.0,8.0,9.5
30000040,7.4,9.0,7.6,-1,-1,-1,6.75,7.75,9.5
30000041,9.2,6.25,2.4,8.0,8.5,4.0,-1,-1,-1
30000042,6.6,7.75,4.6,7.25,6.5,5.5,-1,-1,-1
30000043,8.4,6.25,6.6,7.25,8.5,5.0,-1,-1,-1
30000044,7.6,7.75,7.8,-1,-1,-1,7.0,8.25,10.0
30000045,8.8,8.0,7.4,9.0,9.0,7.5,-1,-1,-1
30000046,7.2,8.25,7.2,-1,-1,-1,7.0,7.75,9.0
30000047,8.2,6.75,5.0,6.25,8.0,10.0,-1,-1,-1
30000048,9.0,7.75,9.2,7.75,8.5,8.5,-1,-1,-1
30000049,4.2,7.5,5.0,-1,-1,-1,5.5,8.0,8.25
30000050,6.6,5.75,-1,-1,-1,-1,5.25,6.5,-1
30000051,7.0,6.5,5.0,5.75,7.0,5.5,-1,-1,-1
30000052,7.2,6.25,5.0,6.25,7.25,5.25,-1,-1,-1
30000053,3.4,5.0,-1,-1,-1,-1,4.0,3.25,-1
30000054,6.2,6.5,5.4,-1,-1,-1,5.5,7.75,8.5
30000055,6.0,6.75,4.2,-1,-1,-1,4.75,7.75,7.75
30000056,7.2,7.0,6.6,-1,-1,-1,5.5,6.5,9.5
30000057,2.4,6.25,2.4,-1,-1,-1,4.5,6.5,9.0
30000058,3.4,6.0,-1,-1,-1,-1,5.25,6.5,-1
30000059,8.0,8.0,8.0,7.5,8.0,4.25,-1,-1,-1
30000060,8.8,6.5,6.8,8.25,8.25,6.0,-1,-1,-1
30000061,5.8,6.75,-1,-1,-1,-1,5.5,6.25,-1
30000062,7.6,9.0,9.2,-1,-1,-1,7.25,8.5,9.25
30000063,7.8,9.25,8.4,-1,-1,-1,5.5,8.25,9.75
30000064,6.0,7.75,7.2,-1,-1,-1,5.0,7.5,8.0
30000065,8.2,8.5,6.8,-1,-1,-1,5.75,9.5,9.25
30000066,8.6,7.5,5.4,8.0,9.0,6.0,-1,-1,-1
30000067,8.2,8.25,6.4,-1,-1,-1,7.25,9.25,9.25
30000068,7.2,7.0,7.2,-1,-1,-1,7.5,8.0,9.75
30000069,9.2,7.5,6.2,8.75,8.75,9.0,-1,-1,-1
30000070,9.0,8.0,9.8,-1,-1,-1,7.5,8.75,9.5
30000071,8.4,8.75,9.2,-1,-1,-1,8.75,9.25,9.25
30000072,8.2,9.0,9.8,-1,-1,-1,8.0,7.75,9.5
30000073,7.8,7.0,6.6,-1,-1,-1,4.25,6.5,9.25
30000074,6.0,5.25,5.2,-1,-1,-1,4.0,6.25,8.5
30000075,2.6,2.75,-1,-1,-1,-1,2.25,2.75,-1
30000076,3.4,3.0,-1,-1,-1,-1,3.75,5.5,-1
30000077,3.8,7.25,4.4,-1,-1,-1,2.0,6.75,7.75
30000078,6.6,6.5,-1,-1,-1,-1,6.5,7.75,-1
30000079,9.0,6.25,7.6,8.75,9.75,9.75,-1,-1,-1
30000080,5.0,5.75,-1,-1,-1,-1,5.25,5.75,-1
30000081,4.6,3.5,-1,-1,-1,-1,3.25,6.5,-1
30000082,3.6,5.75,3.6,-1,-1,-1,4.5,4.5,7.0
30000083,2.0,4.0,-1,-1,-1,-1,2.25,3.75,-1
30000084,7.8,7.0,3.6,3.25,8.25,9.25,-1,-1,-1
30000085,4.2,4.75,2.0,-1,-1,-1,4.25,5.75,9.0
30000086,7.6,7.5,5.0,-1,-1,-1,8.25,8.25,9.25
30000087,7.6,8.0,5.6,-1,-1,-1,7.25,7.75,9.75
30000088,5.2,6.75,4.8,-1,-1,-1,5.75,7.25,8.5
30000089,5.8,5.25,-1,-1,-1,-1,2.5,5.75,-1
30000090,6.2,7.0,5.2,-1,-1,-1,3.5,6.5,8.5
30000091,5.8,7.0,5.8,-1,-1,-1,5.25,8.25,8.5
30000092,5.6,8.0,9.0,-1,-1,-1,7.5,7.0,9.25
30000093,6.8,6.25,5.2,-1,-1,-1,4.5,8.25,9.0
30000094,5.6,6.0,-1,-1,-1,-1,3.75,5.5,-1
30000095,8.0,8.25,9.6,-1,-1,-1,5.25,7.0,7.75
30000096,5.4,7.5,6.6,-1,-1,-1,5.75,7.0,7.75
30000097,6.2,7.0,2.2,-1,-1,-1,2.75,6.5,6.5
30000098,5.8,7.0,5.4,4.5,5.0,7.5,-1,-1,-1
30000099,6.0,6.5,6.0,-1,-1,-1,5.75,9.25,9.75
30000100,7.8,7.75,6.8,7.75,7.5,6.75,-1,-1,-1
30000101,5.0,6.5,4.0,-1,-1,-1,4.75,6.75,8.25
30000102,4.2,4.0,3.0,-1,-1,-1,4.25,6.75,8.75
30000103,7.6,7.0,4.4,-1,-1,-1,6.0,7.25,8.75
30000104,6.2,7.5,5.4,-1,-1,-1,9.0,8.5,8.25
30000105,8.2,6.0,2.8,4.5,8.0,8.5,-1,-1,-1
30000106,2.4,5.75,3.0,-1,-1,-1,2.75,5.0,8.25
30000107,8.0,5.0,3.2,6.5,8.0,4.5,-1,-1,-1
30000108,3.8,5.0,-1,-1,-1,-1,3.75,5.5,-1
30000109,2.6,5.0,-1,-1,-1,-1,2.75,6.75,-1
30000110,4.4,5.75,-1,-1,-1,-1,2.5,6.75,-1
30000111,5.8,7.5,4.6,-1,-1,-1,2.75,6.5,6.25
30000112,8.4,8.0,8.0,-1,-1,-1,5.75,7.75,9.25
30000113,6.2,8.75,6.2,-1,-1,-1,7.25,8.5,9.5
30000114,8.2,8.5,5.6,4.5,7.75,7.75,-1,-1,-1
30000115,6.6,7.5,5.0,-1,-1,-1,4.5,7.25,8.5
30000116,6.8,8.0,6.8,-1,-1,-1,6.5,7.75,9.75
30000117,6.4,6.75,3.8,-1,-1,-1,3.0,7.75,7.75
30000118,3.8,7.75,3.8,-1,-1,-1,7.0,8.5,9.25
30000119,8.8,8.5,5.0,-1,-1,-1,9.25,9.0,10.0
30000120,7.2,8.25,4.6,-1,-1,-1,7.0,8.0,8.5
30000121,8.6,8.0,7.2,8.0,8.5,5.75,-1,-1,-1
30000122,5.6,6.75,4.2,-1,-1,-1,5.75,7.25,9.25
30000123,7.6,6.75,4.4,-1,-1,-1,4.25,8.5,9.5
30000124,5.4,6.25,5.0,-1,-1,-1,3.5,7.0,8.5
30000125,5.0,8.5,5.8,-1,-1,-1,3.75,8.0,9.5
30000126,6.6,7.0,6.4,-1,-1,-1,6.25,9.0,9.5
30000127,5.8,6.5,7.6,-1,-1,-1,5.0,6.25,9.0
30000128,8.0,6.5,4.4,5.25,7.75,7.75,-1,-1,-1
30000129,5.8,7.75,4.4,-1,-1,-1,4.75,7.25,9.0
30000130,7.4,7.25,4.2,6.25,7.25,4.75,-1,-1,-1
30000131,8.0,7.0,4.6,7.5,8.5,3.5,-1,-1,-1
30000132,6.2,7.25,3.4,-1,-1,-1,2.5,6.0,9.25
30000133,4.8,6.0,-1,-1,-1,-1,5.5,5.75,-1
30000134,7.0,8.0,5.0,-1,-1,-1,6.25,8.25,9.25
30000135,7.4,7.75,7.2,-1,-1,-1,5.75,7.25,9.0
30000136,6.8,8.0,4.6,-1,-1,-1,4.0,7.5,10.0
30000137,6.8,8.25,6.0,-1,-1,-1,4.0,7.25,9.0
30000138,5.4,8.0,3.8,-1,-1,-1,1.75,7.25,8.75
30000139,7.6,6.75,6.4,-1,-1,-1,5.75,8.75,9.0
30000140,4.6,7.25,-1,-1,-1,-1,6.75,6.75,-1
30000141,4.4,7.0,6.0,-1,-1,-1,5.25,7.25,6.25
30000142,6.4,7.5,-1,-1,-1,-1,6.75,8.0,-1
30000143,4.0,6.25,-1,-1,-1,-1,5.75,6.0,-1
30000144,7.4,7.25,8.4,-1,-1,-1,7.5,8.0,9.25
30000145,8.6,8.0,7.2,7.25,8.5,6.25,-1,-1,-1
30000146,7.0,8.0,4.8,-1,-1,-1,8.0,6.5,8.25
30000147,5.6,4.5,4.4,-1,-1,-1,5.25,7.25,8.75
30000148,7.4,6.5,7.2,7.0,8.25,5.5,-1,-1,-1
30000149,5.6,7.0,4.6,-1,-1,-1,2.75,7.0,6.5
30000150,6.0,7.5,5.6,-1,-1,-1,5.0,7.25,9.0
30000151,5.6,7.75,4.2,-1,-1,-1,10.0,9.75,8.75
30000152,8.2,7.75,5.0,7.5,7.5,5.0,-1,-1,-1
30000153,9.8,7.0,7.8,7.25,9.25,10.0,-1,-1,-1
30000154,9.0,6.5,5.4,8.5,8.0,5.25,-1,-1,-1
30000155,8.2,4.25,4.4,7.75,8.0,2.25,-1,-1,-1
30000156,7.0,8.25,6.2,-1,-1,-1,4.0,8.25,9.0
30000157,5.8,7.25,4.2,-1,-1,-1,5.5,8.0,8.25
30000158,3.2,7.25,4.4,-1,-1,-1,5.75,7.25,9.5
30000159,6.4,8.0,6.4,-1,-1,-1,7.75,7.75,9.5
30000160,8.0,8.0,6.0,-1,-1,-1,7.25,8.0,8.5
30000161,7.0,7.75,5.2,-1,-1,-1,3.75,6.0,8.75
30000162,4.8,7.5,7.4,-1,-1,-1,4.25,6.25,8.0
30000163,5.4,7.25,5.2,-1,-1,-1,7.5,7.5,9.25
30000164,5.6,7.25,3.6,-1,-1,-1,4.0,6.75,8.5
30000165,3.4,5.5,-1,-1,-1,-1,2.0,5.25,-1
30000166,5.2,7.75,4.2,-1,-1,-1,4.5,7.25,8.5
30000167,4.0,4.5,-1,-1,-1,-1,5.0,5.25,-1
30000168,8.2,8.5,7.8,7.75,9.5,7.0,-1,-1,-1
30000169,3.6,6.0,2.2,-1,-1,-1,2.5,5.5,7.5
30000170,5.2,7.75,4.6,-1,-1,-1,7.0,8.5,9.5
30000171,7.6,8.75,8.8,-1,-1,-1,4.75,7.75,8.25
30000172,5.4,6.25,-1,-1,-1,-1,3.5,5.0,-1
